#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	csgA//mgrR//
AcrR	uhpT//glcG//leuL//hdeA//fecD//fadJ//skp//ptsG//zraS//hlyE//pgaB//
Ada	yhbT//malM//mipA//ompC//
AdiY	moaD//glnG//ygbK//patD//paaA//yjbG//cpxA//aslB//
AgaR	gcvT//lsrK//marR//csgE//yqjI//trpE//ycgZ//pheT//gcvH//aceE//uxaC//
AidB	mgtA//
AlaS	rybB//
AllR	rutB//tnaB//gspJ//mhpE//phnE_1//gcvB//appY//hybO//cysN//
AllS	trxC//nrfD//moaD//
AlsR	puuC//hycI//frdA//purM//dinI//sdhC//
AppY	rbsA//gor//purC//ilvC//ydfW//fabD//dapD//atoE//tnaA//rpoS//
AraC	phnI//puuC//nuoL//ccmE//fliC//lamB//mgtL//artP//rcsA//malS//agaI//mazG//fixC//ymjD//
ArgP	rclA//rbsA//osmB//rarA//ahpF//manZ//srlR//casE//nagC//dtpA//cas1//ihfA//hyaC//moaA//
ArgR	gcvH//flgB//fliT//feoC//exbD//fiu//pck//recC//ynfG//napF//exbB//ilvC//hipA//pyrD//glnK//lgoR//fecE//sgrT//fadL//lldR//wecE//gutM//cueO//oppC//hcaC//rhaA//astC//hycC//hcaD//hyfJ//csiD//rutF//accA//lpxC//sroC//gadY//ppdC//dcuA//
ArsR	hdeA//pspF//ybiT//
AscG	tehB//ddpX//napB//lsrR//rtcB//
AsnC	rhaT//ydhW//glcA//udp//
AtoC	ddlB//nimT//paaG//yebG//
BaeR	oxc//rffM//slt//tbpA//ogt//qseC//flgK//caiC//
BasR	yciX//ppiD//yqaE//hcaB//yiiS//asr//ftsK//ycjF//idnD//ybjG//tauA//bamE//argG//
BetI	leuD//ynjI//agaV//phoQ//
BirA	ydfD//ogt//srlE//cysP//csgE//
BluR	phoQ//yjhB//dmsD//asnA//
BolA	ugpQ//nagE//
CadC	sodA//ptsH//metA//
CaiF	ynfK//sucD//rhaD//rfe//tyrB//iraP//pepD//csgD//narJ//artJ//
Cbl	hlyE//yiaM//psiE//rbsC//cirA//polA//ydiV//hyfJ//tyrP//
CdaR	ahpC//entF//pgm//fadE//ulaF//folE//dsbG//gcvT//glmY//atoA//
CecR	rpsO//lldP//dhaK//hdeA//fhuB//
ChbR	cysI//hyfC//oppD//crr//creA//guaB//
ComR	rutE//
CpxR	araG//rpoE//ddpA//rpoS//nuoA//astA//putA//yciW//flgN//allD//nuoI//purL//slyB//ssuC//citX//yibQ//sufE//ulaD//yciG//ykiA//mgrR//hypB//slt//gspH//deoA//malF//melB//ycgZ//flhA//hdeA//flgI//yagK//mglC//fliC//znuA//wzyE//gapA//narI//yrbL//xylF//phnN//rhaT//fucP//astC//phoA//dmsB//flgG//malZ//cusR//murR//glnD//ycgR//fixC//napH//psiE//zraP//asnA//ssb//phnE_1//bolA//dinG//relA//nirD//ugpE//fepE//ubiX//tdcE//yhjC//gspE//hyi//
Cra	sdhD//purC//asnC//fes//iraM//ydiU//rutA//bioF//mdtB//argT//pitB//cydC//alkA//gatA//fadE//cyaR//ptsG//ppiD//alsA//sgbH//mhpA//nrdF//caiC//uxuB//ulaD//glgP//gspH//puuC//cynR//ccmC//idnR//oppA//dgkA//cysU//mhpC//creA//yfaE//cyoA//manX//gspG//dctA//ynbA//phnF//gutM//lacZ//entF//yjeV//cdaR//gltI//murI//feaB//ycjG//fliP//lolA//envC//ulaG//hyfE//garP//gcvA//chbF//agaW//nuoC//caiD//focA//narK//fimB//ybhL//argG//ptrA//nuoJ//yeiL//pheT//lolA//rimP//yciX//nuoL//aceK//oxyR//artQ//
CreB	cspD//hyi//leuB//nrfD//cysJ//
CsgD	tnaB//srlE//purR//yjjQ//dinI//aslB//rutC//fliC//gltI//fbaA//aspA//nirB//katG//sucD//micF//ydhV//allD//psiE//hdeD//borD//acrZ//tolC//malK//hyfH//glpQ//ebgC//narX//lpxA//
CsiR	hypA//recC//baeR//aceK//fepG//
CspA	dkgA//wzzE//
CueR	prpR//poxB//ulaB//nmpC//zwf//trpB//fabG//
CusR	glgX//fiu//hyfJ//cadC//glxR//ydhW//yaiW//rcnR//argH//lacY//pnuC//garK//
CynR	pstB//tnaB//leuD//leuC//
CysB	sodA//ddpB//ilvC//cynX//fecD//yfiB//mhpD//rnlA//glnP//ompC//dtpA//nikE//malI//tyrA//fixC//waaZ//gntX//ccmC//purK//dcuR//ynbD//ddpB//sra//norR//tcyJ//phnO//yccT//paaD//mhpA//metE//moaA//higA//
CytR	hyaD//srlE//gntU//nupG//fliA//yafN//chiP//safA//yhbS//yiaK//chbA//purD//glnG//
Dan	iraM//argR//malT//ybjC//
DcuR	ynfG//nuoL//bioB//mhpT//yccJ//sucD//evgA//chbG//aroH//
DeoR	entS//fabG//ybjN//fecI//argI//fecR//
DhaR	metQ//sodB//yhcH//creB//
DicA	emrB//recB//yfbR//exuR//chbA//tynA//nhaA//entS//
DinJ-YafQ	cyoD//aroP//glnA//
DnaA	umpH//rprA//cadC//fbaA//rffT//tyrA//ybiT//fbaA//tyrP//yfiR//paaX//ttdA//
DpiA	hflD//yciW//dhaR//cusR//glpX//envC//fau//yfaE//umuD//ftsK//gutQ//
DsdC	argC//wzc//glk//
EbgR	yqjI//melB//
EnvR	ulaA//ptrA//
EnvY	yccA//hcaE//
EvgA	umuC//pgaC//yedX//yjbE//pspB//ftsI//fecE//metJ//zntA//phnO//murE//cusB//gltF//agaD//bglB//dsdC//fucK//slt//higA//
ExuR	cusS//garK//oppB//rpoH//feoA//yqhG//nuoA//cspI//lexA//
FabR	fadE//mntS//
FadR	lpxC//tdcD//zntA//kdpA//leuD//acrR//ydfN//dinD//ygbA//ymjC//alaC//mgrB//kbaZ//fucR//nadB//ilvY//rcsA//omrA//mdtA//treC//allA//ppiD//hycG//
FeaR	phnI//iscR//
