#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	purF//pspF//
AcrR	fliK//trpL//chiP//lrhA//ugpE//dsbA//hyaF//gdhA//murR//iraM//aceE//
Ada	bacA//malQ//ygiZ//betB//
AdiY	cynR//metH//pyrD//gloA//purF//xylA//tnaC//rbsD//
AgaR	bhsA//yiaJ//cysW//yidQ//sbcC//arsR//yqjI//dsrA//gspJ//rbsC//fepE//
AidB	yaiW//
AlaS	dgcC//
AllR	fixX//argE//inaA//puuE//recA//yhcH//yhjC//aidB//mioC//
AllS	lsrC//fliK//adiA//
AlsR	dapD//flgM//cbl//zwf//bioF//ascB//
AppY	dgkA//flgN//mlc//wzxE//dcuD//hyfI//sucB//pgaA//ygiZ//frdC//
AraC	ulaF//puuA//aceE//edd//glmY//fadB//galT//gspG//metH//tdcA//narH//argT//crp//mdtA//
ArgP	fhuA//feaB//hyfH//metH//katE//araE//rbsK//mdtD//hyfC//ydbD//glcC//kbaZ//purM//ilvY//
ArgR	fliO//fnr//wcaA//leuB//fliK//ccmA//ydhT//tyrA//allE//ygeH//ygiZ//argH//hybG//yfiB//slt//alsB//fhuF//rutB//nfsA//gntT//omrA//hisQ//dapB//dgkA//yhhY//fliT//rffH//ydfE//ariR//emrK//ydfE//nuoN//cpxA//ftsQ//nusA//ydfH//ymgA//purF//
ArsR	hemL//araJ//tdcG//
AscG	cspE//allD//nrfF//malZ//phoR//
AsnC	phnK//tnaB//dacC//iscA//
AtoC	phnL//gcvT//micF//mhpD//
BaeR	ynbD//hemL//yeaG//rbsC//ydbK//xylA//hcp//ubiA//
BasR	hemH//nupG//hisQ//fabB//araB//metL//flu//pspD//leuC//rbsA//mqsR//rcnB//ygiB//
BetI	murD//casD//ydiU//trpD//
BirA	slt//hokE//ybhL//pspD//aceA//
BluR	prs//glcD//fliD//cdd//
BolA	mdtF//glxR//
CadC	uidA//tehB//mzrA//
CaiF	ycjF//crl//eda//cynT//mhpA//nirB//yrbL//bamE//rtcA//gltF//
Cbl	mngA//dcuD//dkgA//motA//rclB//mdtD//oxyR//ydiU//trpB//
