# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	accC//dmsA//
Ada_neg	cysK//gcvH//
Ada_pos	ahpC//astC//cysC//paaZ//
AdiY_pos	hyaB//argC//paaG//pykF//
AgaR_neg	sdhC//
AidB_neg	glcF//
AlaS_neg	paaI//
AllR_neg	sdaA//pdxA//trmA//tdcD//dacC//sbcC//
AllS_pos	caiD//puuD//ssuE//
AlsR_neg	dhaK//rhaA//purA//
AppY_pos	gadB//rimK//
AraC_neg	hycD//yiaK//fabA//pflB//umuD//
AraC_pos	pflB//nrfC//hemA//umpH//rsmH//phnH//
ArcA_neg	manA//hemH//tadA//rtcA//add//cysH//puuD//dkgA//yfdE//slt//katE//mhpD//ilvI//rffM//moaD//glpD//fbaB//patA//leuA//dusB//ssuE//umuC//yiaK//hycB//xapA//ftsI//malZ//lysC//hycE//dmsC//citF//fumC//hypF//ydcS//murC//ulaD//nrfC//hemF//cysG//purC//pheS//dinB//argC//trpE//argA//glpD//glnA//zwf//xylA//hycG//bacA//ldtB//uxuB//tdcE//ilvA//waaZ//murF//mhpE//sbcD//ilvD//tdcG//fbaB//rffG//agp//nadA//mhpD//rhaD//pgi//aspA//
ArcA_pos	pgm//truB//chbF//pykF//chbG//accD//lacA//frdB//cysE//rutD//adhE//dhaK//xapA//pspE//rffC//phnH//ahpF//epd//hemH//atoB//puuD//gpsA//glk//gabD//ynfF//eno//fucI//yedX//alaA//epd//acs//
ArgP_neg	
ArgP_pos	ychF//dmsB//murD//dhaM//upp//leuA//phnI//pdeL//waaZ//
ArgR_neg	preA//gadA//glgX//nemA//adhE//hcaD//deoC//malS//napG//pgm//phnI//cysN//purE//nemA//ada//arsC//galM//hcaF//
ArgR_pos	allB//ttdB//kbaZ//tdcB//eda//
ArsR_neg	bglB//phnG//
AscG_neg	cysG//argF//
AsnC_neg	wzb//
AsnC_pos	fdhF//
AtoC_pos	napH//fadA//dapD//
BCCP_neg	mhpE//
BaeR_pos	cysH//caiD//
BasR_neg	astD//
BasR_pos	chiA//ydcS//
BetI_neg	gcl//ydcS//bioA//
BirA_neg	nanA//glmU//patZ//nrfD//xdhC//
BluR_neg	
BolA_neg	cadA//tdh//
BolA_pos	rfe//fbaA//
BtsR_pos	napA//
CRP_neg	entH//fumC//glpX//aroG//glcB//patZ//paaZ//frc//frdA//narI//uxaA//tdcG//glmS//fumC//sufS//glcB//hycE//paaG//lpxD//cysI//ruvA//sdhA//sdaA//fabB//hemH//purN//hyaA//epd//argD//rbsD//metC//caiD//lysA//glsA//xdhB//hycC//acnA//araB//leuB//aceA//bioD//aceB//polB//malP//preA//caiB//frdC//paaK//ydcS//citX//malZ//ppiA//malY//bacA//allD//fumB//deoA//recF//serC//bioC//yeaG//galK//gltD//purB//deoA//moeB//moaA//ung//sodB//gadA//gabT//
