# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	mngB//glpE//
Ada_neg	tadA//katG//
Ada_pos	nrdE//mazG//narI//ribA//
AdiY_pos	glpE//rutE//alsE//araD//
AgaR_neg	hyaC//
AidB_neg	ilvB//
AlaS_neg	gapA//
AllR_neg	araD//ccp//allB//idnK//eda//waaH//
AllS_pos	pheT//accD//glcD//
AlsR_neg	bioD//hycB//hemF//
AppY_pos	mngB//idnO//
AraC_neg	dusB//glgC//aceE//aspA//uxaC//
AraC_pos	grxA//leuD//puuD//polB//hycE//argC//
ArcA_neg	pykF//sucB//fadA//glpC//gatY//fabD//murF//glpK//sbcC//sodA//idnK//hcaB//xdhA//entF//nanK//prmC//dhaK//tktB//gcvH//purL//gutQ//mhpD//nanK//phnI//rfe//rffH//patZ//fau//tam//adiA//leuC//glgP//fabH//ldtD//puuB//lysA//dhaK//torC//glmU//nrdA//amn//serA//paaF//gdhA//glnA//prpE//tnaA//cynT//glcF//rbsK//trpE//purK//fadM//fucO//umuD//ackA//fadD//hycG//fabZ//putA//nemA//mhpB//recD//pepD//asnB//ldtD//fabH//ychF//purN//
ArcA_pos	purM//edd//rsmH//adiA//nanK//moaC//tyrA//pck//dhaK//nrfD//ilvA//trpE//ugpQ//gltX//malQ//argF//paaK//serC//rffG//mhpB//glpA//gutQ//nrdF//gapA//cheB//waaZ//ilvM//ubiA//malQ//lsrK//fadE//
ArgP_neg	
ArgP_pos	glcF//kbaZ//asnB//ygeA//purB//moaE//garK//yqhD//tpiA//
ArgR_neg	queA//ilvB//uvrC//sodB//cmoM//fumA//tktB//sucB//metL//fabZ//sdhC//glcE//araA//dapB//alkA//murD//tdcD//nemA//
ArgR_pos	aspA//phnP//cysM//tdcE//bioD//
ArsR_neg	fumB//accA//
AscG_neg	uvrB//gltB//
AsnC_neg	amn//
AsnC_pos	fbaA//
AtoC_pos	hemA//nanK//recF//
BCCP_neg	entF//
BaeR_pos	pdeH//icd//
BasR_neg	ttdA//
BasR_pos	pdxA//ugpQ//
BetI_neg	upp//hcaD//glcE//
BirA_neg	fadM//cysI//prpC//umuD//phr//
BluR_neg	
BolA_neg	cadA//nanA//
BolA_pos	fucI//tdh//
BtsR_pos	idnD//
CRP_neg	epd//phnI//glpK//gabD//lldD//ampD//fadM//puuD//ogt//fabI//speB//puuE//allE//tdcG//torA//purM//tnaA//yqjH//nadC//murF//ftnA//acnA//hemH//leuD//guaB//pspE//phnO//sgbU//narG//nadA//gor//rutC//ilvM//galT//idnO//trpB//eno//fucI//cueO//cysJ//icd//aroH//entA//allC//hcaB//rutC//chiA//aroF//cynT//allC//dapB//ccp//malP//betB//serA//sucD//nrfD//moeA//aroH//prpB//cadA//mpaA//xylB//murF//yqhD//cpdB//paaK//gutQ//apaH//glgC//leuC//
