# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	gabD//srlD//
Ada_neg	cheR//hcp//
Ada_pos	pgaC//purC//prpD//mtlD//
AdiY_pos	glpA//cysC//nrfA//cysJ//
AgaR_neg	fabI//
AidB_neg	napA//
AlaS_neg	pck//
AllR_neg	ftnA//pgaB//preA//icd//nanA//trpE//
AllS_pos	ruvB//cysE//yiaK//
AlsR_neg	rtcB//argC//ldtD//
AppY_pos	pspE//fbaB//
AraC_neg	dhaM//ubiG//cyaA//cysE//gntK//
AraC_pos	pdeF//lacA//gltD//ilvA//sucD//rfe//
ArcA_neg	srlD//sbcD//moeB//glxR//lsrG//ldtD//uvrA//ldtD//leuC//paaY//pgk//speA//umuC//sodB//hemH//hyaC//serA//purD//preT//glk//ndh//bcsZ//paaH//fadM//nrdA//glcD//gpmA//glpA//galT//rtcA//purK//yqhD//ascB//fucU//pagP//ndh//galE//kbl//purC//pfkA//tnaA//cadA//lysU//xdhB//hcaD//hyi//dkgA//accD//phnP//malQ//treC//melA//dmsB//metE//nadB//chbG//purH//metK//cynS//dacC//treC//glgP//leuD//hcp//idnD//pheS//pdeL//hycD//acnB//
ArcA_pos	rhaD//glpX//prpB//fabI//sdhA//accC//hchA//pgi//nrdE//caiB//paaZ//relA//xdhB//polB//murC//xdhB//wecB//wzb//gloA//rimK//adeD//bcsZ//hyi//nirD//dgcN//murD//cynT//torC//astB//ccp//arsC//
ArgP_neg	
ArgP_pos	caiD//atoA//ppiA//gntK//cysG//ilvD//bioA//deoC//rffT//
ArgR_neg	glpB//moeB//bioF//nrfD//uxaB//lpd//aroA//ydcS//yeaE//iscS//amiA//pflB//dapB//rffM//lhgO//patA//nrdA//purF//
ArgR_pos	deoA//rnpB//fruK//ynfE//queA//
ArsR_neg	moaD//gor//
AscG_neg	ogt//glk//
AsnC_neg	acnA//
AsnC_pos	fau//
AtoC_pos	paaF//hycB//murF//
BCCP_neg	rtcA//
BaeR_pos	ppc//trmD//
BasR_neg	tadA//
BasR_pos	garL//trpC//
BetI_neg	lysU//idnK//edd//
BirA_neg	yqhD//polB//nanK//galE//fabA//
