# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	araD//fabZ//
Ada_neg	ravA//hemA//
Ada_pos	wecB//manA//ydcS//paaI//
AdiY_pos	paaZ//rfe//cyaA//paaI//
AgaR_neg	gatY//
AidB_neg	fadM//
AlaS_neg	ybjG//
AllR_neg	pheT//uvrC//purM//dadA//dinB//pagP//
AllS_pos	metL//nadB//yqhD//
AlsR_neg	murI//frdA//alaC//
AppY_pos	malY//hchA//
AraC_neg	citG//lsrK//recB//pdeF//aroF//
AraC_pos	hpt//purH//fumC//tdcE//bioC//lpxD//
ArcA_neg	tynA//citC//dadA//ppsA//citX//lysC//paaY//wecC//chbG//phnI//atoB//aroA//fadJ//tyrB//fabA//paaB//prpB//hyaA//metB//rbsK//carB//nrdD//psd//purH//trpC//mpl//dgcC//alkA//waaZ//galK//hmp//thrS//umuC//tdcB//araB//ynfE//yqhD//ddlB//ulaD//bioF//ugpQ//luxS//pheS//lsrG//hyaB//argC//polA//ldtD//fabD//hemA//gabD//frdC//ttdB//fadJ//rtcB//accC//fabH//nrfC//glpB//guaA//ynfH//cysC//hypB//cysD//mtlD//feaB//phr//citE//sdhD//
ArcA_pos	accD//ynfH//lacA//gpmM//rutA//napH//fucU//metL//yedX//pfkA//relA//uvrA//fabD//phnM//ynfE//hycD//ilvB//prpE//frdD//nfsA//asnA//hcaB//ruvB//fes//ssuD//fabI//uxuA//kbaY//ampC//idnK//paaA//
ArgP_neg	
ArgP_pos	nrdE//ftsI//trpC//guaA//cpdB//cynS//atoB//purA//murF//
ArgR_neg	purK//nfsB//narG//fabG//narH//prpE//xdhB//gcd//murF//glpA//glgB//rhaB//trmD//hcaF//glgA//katE//ilvH//sodB//
ArgR_pos	trpE//rhaA//metB//sodB//napA//
ArsR_neg	murC//chbG//
AscG_neg	manA//napH//
AsnC_neg	hcaD//
AsnC_pos	thrS//
AtoC_pos	fruK//moaA//frdC//
BCCP_neg	glyA//
BaeR_pos	katE//puuA//
BasR_neg	aldB//
BasR_pos	ppc//entF//
BetI_neg	rffC//pepD//dapD//
BirA_neg	allD//nrdA//entF//argB//cyoE//
BluR_neg	
BolA_neg	hycD//umuD//
BolA_pos	pyrD//feaB//
BtsR_pos	uxaB//
CRP_neg	argH//accA//cysH//fabH//nadB//gltA//mhpC//asnB//fabZ//argB//gloA//poxB//ssuE//uxuB//purL//fadM//speA//phnI//patA//hcaE//ynfG//idnK//hflX//rbsK//mhpF//ycjG//nrfA//cdd//hyi//malS//yfdE//oxc//pagP//uxuA//araB//pncB//ogt//allB//yedX//napG//aspA//hyaC//wecB//fumC//sdhC//allB//wecE//rffM//ubiX//accD//dmsC//argC//yedX//glcB//fau//tnaA//ttdB//aroG//ulaG//apaH//codA//argH//sgbE//fabG//paaA//allE//yqhD//fumC//ilvH//bcsZ//metA//
CRP_pos	cynT//tdcB//rutB//rutC//mhpC//galK//xdhA//purK//avtA//rffH//rbsK//dinB//narG//xdhA//fbaA//yeaE//glk//glmU//paaG//ugpQ//hycF//rffG//carA//glnA//preA//glpQ//allC//rutD//chbG//trpB//ftsI//metC//tdcB//gapA//ftsI//rutD//fabG//hypB//guaB//hycG//gltB//yqhD//gatD//sbcC//pyrC//fumA//narH//phnP//rutE//gadA//dapB//fumB//xapA//glpC//uidA//cysM//allA//fucI//alaC//sucC//oxc//entH//lsrK//icd//mazG//gatZ//atoD//wecC//fbaB//deoB//phr//argD//prpE//tadA//gntK//rutA//pck//fumB//uvrA//araB//argD//trpB//purN//aceE//upp//yeaG//paaE//nagB//glgX//puuC//ydcS//glpC//rffM//rutD//glpA//nemA//metC//oxc//gatY//pck//glnA//glgP//prpD//serC//ulaE//ftnA//carA//ansB//allE//aceF//araD//glpE//fau//preA//deoB//glxR//phnN//cmoM//hpt//murE//argC//bioD//malQ//aceB//hyaB//fadJ//dsdA//ilvA//upp//xapA//ansB//rutB//argG//pagP//fes//rimK//gor//phnN//hycD//fumA//araD//leuD//nemA//betB//fadA//fbaA//yfdE//metC//paaB//araA//hycE//pheT//idnD//ttdA//prpE//trpE//hcaB//cysE//manA//rutD//nanK//dapD//gatD//dacC//cysK//nadC//cheR//polA//rhaD//ftnA//ddlB//nrdB//entC//purE//acnB//phnI//sgbU//sdhB//tam//hyaB//ubiC//kbaY//luxS//add//ssuE//feaB//sgbH//garK//astA//lpxC//phnN//epd//yeaG//fumA//tdh//yqjH//wzb//glyA//rutD//ccp//ulaE//appA//polB//lacA//tdcG//sucA//leuA//sodB//murE//mhpC//xylB//acs//phnJ//cmoM//fadE//tyrA//prpB//sgbE//eno//cysH//nfsB//gltX//deoA//gapA//mhpE//alkB//torA//rffC//psd//gpmM//frc//nrdA//astA//ppc//hemF//rutE//allC//nirB//dapD//dusB//ttdB//atoB//luxS//cueO//lldD//lsrK//fadH//hcaC//prs//
CadC_pos	alaA//atoB//yiaK//
CaiF_pos	recD//alkB//sodB//ansB//metK//
Cbl_pos	betB//moaA//phnH//mraY//ycjG//
CdaR_pos	sgbU//glyA//galE//glgX//umuC//citX//aroA//ilvN//carB//
CecR_neg	phnO//
ChbR_neg	argE//galE//atoD//
ChbR_pos	phnI//gadA//tadA//
ComR_neg	
CpxR_neg	acs//serA//acnB//
CpxR_pos	mdh//hcaD//cpdB//pgpC//wecB//xdhA//recB//polB//sucA//citF//bacA//ppiA//uvrA//ygeA//zwf//astE//hmp//apaH//
Cra_neg	prmC//adiA//fadE//frdD//leuD//paaH//fabD//purK//nfsA//sodA//mtlD//rhaA//srkA//pfkA//ilvC//fadD//dmsA//gcd//paaF//pgi//pyrD//nanA//codA//pgaD//sdhA//dmsC//murI//pykF//lysA//prpB//ubiC//ackA//fbaB//lysU//glmS//tadA//galE//rhaB//nirB//ubiC//lyxK//lsrK//pspE//ravA//yeaE//
Cra_pos	hcaD//hcaF//moaD//ampD//rutC//rbsD//rbsK//ilvI//ackA//lysC//tynA//mhpC//ddlB//purA//sucA//yiaK//rffC//
CreB_neg	ilvG_1//
CreB_pos	glxK//
CsgD_neg	argF//purA//
CsgD_pos	recB//folA//caiC//
CsiR_neg	dmsA//gltA//frdB//purD//
CspA_pos	dadX//
CueR_neg	wecB//paaY//lhgO//
CueR_pos	yqjH//fdhF//
CusR_pos	purA//alaS//sgbE//paaE//
CynR_neg	
CynR_pos	alaA//napA//pgm//
CysB_neg	murF//tyrB//psd//
CysB_pos	nrdB//prmC//rbsD//paaK//alaS//sdhD//serA//lpxC//pdeR//ilvC//purE//tam//fadM//lacZ//
CytR_neg	pdeF//ulaG//sdhB//rsmA//rutE//thrS//ilvD//mhpB//rnpB//acnB//
DcuR_pos	purE//phnN//argH//hypF//
DeoR_neg	tdcE//nrdB//dadA//entH//hchA//nanM//
DhaR_neg	
DhaR_pos	hchA//
DicA_neg	
DinJ-YafQ_neg	ppc//
DnaA_neg	ynfE//cheR//sdhA//sbcC//ruvA//
DnaA_pos	ogt//icd//allA//
DpiA_neg	
DpiA_pos	preT//gltX//aroA//phnN//puuA//
DsdC_neg	
DsdC_pos	glgB//glxR//
EbgR_neg	
EnvR_neg	fadB//hcp//
EnvY_pos	nagB//pnp//
EvgA_pos	murD//gpmM//paaC//hycG//dgcN//aspC//
ExuR_neg	nrdF//preA//ilvE//pncB//mtlD//sdhA//
FNR_neg	ldtD//trpE//mhpB//kbaY//srlD//gutQ//garR//sdhD//luxS//recD//tdcB//add//deoD//purB//alaA//ahpF//nanM//ilvA//metC//sdhB//luxS//uxuA//lhgO//wecE//entF//dgcN//puuE//gdhA//ruvB//frdD//pgaC//pdeH//dmsB//pyrC//paaC//murG//rpiB//prpD//dkgA//hemH//fadB//chbG//pncB//dhaM//
FNR_pos	truB//rffH//nirB//bcsZ//aspC//ada//torA//accD//narG//pncB//guaB//napB//prs//hchA//psd//uxuB//phnN//rffG//pheS//ilvG_1//ddlB//amn//sdhA//hycB//fumB//sucA//sdhB//rffH//glcF//narH//ruvA//glcB//ruvB//cysI//nrfD//entF//aspA//nfsA//sdhC//gcvP//fes//purE//rhaD//dusB//murG//cysC//cheB//hcaB//lyxK//prpD//hcp//recD//aldA//gatY//hcp//fumB//aspC//ilvM//cysJ//patD//aspA//ruvA//lsrG//sucC//rpiB//fadM//malZ//wzb//fumC//fadM//aldA//rtcA//fadH//pyrD//rfe//sbcC//alaC//speB//pck//galM//arsC//uvrB//gnd//sufS//melA//murG//nemA//paaY//gcvT//citG//pfkA//puuE//araA//paaH//pdeL//patZ//
FabR_neg	manA//paaJ//caiC//
FadR_neg	moaA//allD//hemA//accA//argH//ulaE//iscS//moaA//nrdD//
FadR_pos	glpC//gutQ//preT//accC//pyrC//betB//narI//dadA//pheS//rutE//
FeaR_pos	ulaD//rutC//
FhlA_pos	garL//truB//ppc//phr//pepD//pflB//aroL//yeaE//
Fis_neg	wzb//umuC//metH//ubiC//gcvH//glgB//iscS//sbcC//dmsB//aceA//yedX//hflX//nadC//moaE//asnB//gabT//guaB//ubiA//fucK//paaZ//fucK//mhpB//sgbE//purA//mazG//hycC//cpdB//astA//aspC//rffT//putA//phnH//cysH//accA//ynfG//nanK//pgk//hemL//rbsK//napG//nanA//nadC//rbsK//srkA//purC//idnD//
Fis_pos	murG//sucC//ravA//carA//cysE//caiA//cysJ//xdhB//bioF//nrdD//garR//bglB//ilvA//purL//folE//cmoM//torC//rutE//lsrG//cdd//fadB//pgk//ybjG//gltX//gltX//slt//phnG//guaA//argC//fabA//ascB//cynT//sdaA//glpQ//aceA//wzc//entE//
FlhDC_neg	metH//malS//
FlhDC_pos	cdd//hycG//hemA//hcaE//fumC//cysD//dadA//hyi//aroL//dusB//wecE//argH//
FliZ_neg	hemL//xylB//rutD//codA//malQ//
FucR_pos	queA//phnP//oxc//gcvH//glgX//leuA//
Fur_neg	pgaC//rutE//ycjG//nadA//fabB//polB//ravA//fabD//cysC//hcaD//carB//fbaA//umpH//glpC//pdeR//acnB//trpC//ravA//add//ruvB//aroA//add//gcd//thrS//uxaC//dkgA//ppsA//alsE//nirB//acs//napG//aceF//hemH//atoA//psd//fruK//torC//ttdA//lysC//asnA//pck//hcaF//uxaA//dhaK//nfsB//aldA//argH//rutE//cysH//nagA//bioC//pgm//uxuA//
Fur_pos	gpmM//lacZ//dapD//lpxC//gltA//cysJ//speB//pflB//aceA//tynA//leuB//speA//carB//sucD//cysI//rnpB//
GadE-RcsB_pos	uidA//malQ//amiA//rpiB//rbsK//
GadE_pos	alkA//galK//metK//xdhA//gatD//trpA//napG//hycG//umpH//poxB//
GadW_neg	trpA//talA//entB//
GadW_pos	feaB//moaC//pnp//ttdA//
GadX_neg	sbcD//lysA//
GadX_pos	katG//glnA//lsrG//lpxD//puuA//umuC//pagP//cysE//fucK//citD//rffM//
GalR_neg	gnd//purH//paaC//ilvN//lpd//ilvI//
GalR_pos	sufS//xdhA//cysG//murG//
GalS_neg	ampC//pdeL//umuC//yqjH//aldA//napA//
GalS_pos	lldD//glcF//glmS//phnJ//
GatR_neg	torA//murQ//deoB//
GcvA_neg	gloA//waaZ//ada//
GcvA_pos	wecC//galK//rfe//
GlcC_neg	
GlcC_pos	waaH//aldB//accA//
GlpR_neg	cysH//alaS//mhpE//gabD//acs//lhgO//lacA//
GlrR_pos	
GntR_neg	cpdB//mhpA//uxaA//glgX//yqjH//rpiB//fadI//rsmA//galK//
GutM_pos	nrdE//aceA//ccp//
H-NS_neg	ubiA//torC//rfe//hypB//ung//prpE//ung//sdaA//hemH//alkA//cadA//umuC//metF//dhaL//waaY//luxS//purC//preA//trpE//fbaB//paaH//prpD//mpl//glcB//nrdF//atoA//aspA//cheB//dhaM//allC//sufS//bcsB//mltF//ttdB//mpaA//fadA//polA//fabG//sbcC//garD//mnmG//allE//pagP//araB//aroA//lsrF//ansB//dadX//argC//murC//fadH//
H-NS_pos	trmA//glnA//rffG//xapA//glk//rbsK//alaC//tnaA//leuD//aceF//fadJ//alaS//patD//pgpC//gnd//
