# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	nrdF//ascB//
Ada_neg	feaB//fes//
Ada_pos	ilvN//phnO//gudD//prpE//
AdiY_pos	fabG//wzb//gutQ//prs//
AgaR_neg	metB//
AidB_neg	garK//
AlaS_neg	fadD//
AllR_neg	pyrC//bioF//pnp//uvrC//dsdA//wecE//
AllS_pos	sdhD//dkgB//mnmG//
AlsR_neg	rtcB//accD//betB//
AppY_pos	mhpC//speB//
AraC_neg	ldtC//arsC//napG//paaK//alsE//
AraC_pos	adhE//tdcD//tdcG//aceB//ulaE//mpl//
ArcA_neg	ynfE//phoA//phr//alaC//paaB//ubiC//murC//hcp//psd//mhpC//rffG//eda//srkA//paaZ//xdhB//hyaB//pgpC//tdcB//rutC//chbG//icd//nanM//pgaD//alaC//rutC//mdh//appA//nrdF//puuE//mpl//ribA//ribA//gapA//mpl//hcaF//gcvP//atoB//recB//lsrF//uxaA//srlD//hycE//preT//patD//glgC//glcD//dmsA//allE//lsrG//dgcN//lpxC//glcE//treC//fadD//fadI//glpK//uvrB//cysJ//hcaD//ilvM//manA//ilvC//waaH//trpE//deoA//nirB//pdeF//lldD//aceE//
ArcA_pos	pgk//fadJ//prpE//argG//ahpF//argE//dgcN//dhaK//moeB//frdD//putA//wecE//nirD//nrfA//uxaA//cysI//cynS//ppc//fbaB//ddlB//aceF//metF//sdhC//leuC//caiA//nirB//alaC//citG//allE//aceB//agp//
ArgP_neg	
ArgP_pos	rsmA//uvrB//pgaB//tdcD//malZ//bioA//napG//hcaF//fumB//
ArgR_neg	argB//prmC//preT//ung//ubiX//moaA//uvrC//pyrC//cysN//preT//dhaK//waaZ//umuC//aceA//malY//pfkA//dadA//allD//
ArgR_pos	aspC//araD//sodA//atoD//ynfE//
ArsR_neg	entD//cadA//
AscG_neg	ada//hcp//
AsnC_neg	narG//
AsnC_pos	caiC//
AtoC_pos	atoA//fadM//treC//
BCCP_neg	aceE//
BaeR_pos	tehB//cheB//
BasR_neg	cynS//
BasR_pos	dmsA//sdhB//
BetI_neg	xdhC//moeB//argE//
BirA_neg	ulaE//cysK//mpl//adeD//citG//
BluR_neg	
BolA_neg	dapB//cysM//
BolA_pos	uxuB//cdd//
BtsR_pos	ilvC//
CRP_neg	bioA//speA//glnA//sdhD//amiA//gpsA//aceA//sucA//dhaK//cysH//fabA//alaA//adeD//mhpE//ilvN//glpE//eno//ugpQ//phoA//ssuE//pheS//galE//trpB//serC//recD//cynS//acnA//melA//melA//trmA//hyaB//wzc//folE//ppc//ppiA//fadJ//uxuB//entE//glgB//hemL//alkA//caiA//malS//icd//fucA//agp//tadA//dapB//hemA//purF//rpiB//rsmA//ldtD//ascB//yeaG//purA//nrdA//lldD//murG//eno//argC//lyxK//aceF//paaJ//aroF//speB//ilvD//garK//uxaA//fadA//phnP//
CRP_pos	speC//metA//caiD//glmS//pdeF//frdD//serC//fadM//lldD//lacA//nemA//asnB//rbsD//ldtC//sdhD//ada//pgaB//gadB//gudD//xylA//deoC//ssuD//phnI//fabH//astB//sdhC//mhpA//gatZ//lsrK//fadM//pgk//dkgA//ccp//argF//pgpC//pdxA//rutD//argE//murE//gpmA//dmsC//purM//gntK//rffC//hycB//alkA//garL//rffT//adhE//hyaB//fadA//hypB//cysN//ppc//recB//prpD//fabH//mhpB//uvrA//glgB//glpD//mazG//mraY//gnd//hypF//truB//bacA//bioF//purD//poxB//cysJ//purH//phnG//cysJ//galK//hchA//paaF//rhaA//tdcD//wzb//mdh//argI//leuC//sgbE//ldtB//rpiB//ydcS//nfsB//rbsD//rffG//dgcC//dinB//aceB//uxaA//garR//pfkA//sufS//garL//prmC//phr//glk//pykF//dapD//ldtD//yedX//nanE//araD//pdeR//recD//pykF//argA//atoB//ogt//pgk//srlD//glsA//cysD//fruK//ldtB//idnK//hflX//nanM//mhpC//mnmG//wecC//pncB//wzc//eda//agp//galM//ubiX//cysN//carB//ilvD//glpQ//trpC//hyaC//trmA//entH//glpK//ackA//sucD//bioB//metC//hcaB//rbsK//yedX//melA//ung//galK//glmS//pheS//hemA//citF//citG//hpt//ilvM//garL//murE//purM//ilvD//murQ//idnD//sdaA//citF//argG//garD//ubiG//waaY//entH//aceA//ubiX//nanK//thrS//patD//glpK//sbcC//cysK//fucU//alaA//ynfG//cadA//hycB//ynfF//preA//nemA//dgkA//paaA//agp//metH//fumA//idnO//hcaB//bcsZ//ilvB//hflX//frdC//ilvH//udp//ftnA//argD//phnH//cysD//glpB//relA//wzb//lysA//bioC//rfe//ftnA//purC//arsC//ubiX//codA//yqjH//pfkA//ilvH//cysK//moeA//luxS//ppc//fadH//bioA//umuD//bioC//dadA//recF//pncB//argE//galT//talA//amiA//paaE//phoA//gltA//phnG//cpdB//bioB//uvrB//sucC//purF//atoD//ubiA//eno//mltF//chbF//tyrA//phnG//sodB//
CadC_pos	fadI//gloA//srkA//
CaiF_pos	amn//cmoM//phoA//nanM//glgP//
Cbl_pos	glsA//garL//ilvI//sucB//avtA//
CdaR_pos	purM//nrdF//gltX//garR//tdcE//xdhB//trpA//idnD//tdcE//
CecR_neg	mhpD//
ChbR_neg	torC//astB//glpD//
ChbR_pos	rffC//uidA//dmsB//
ComR_neg	
CpxR_neg	pgaD//lacA//leuC//
CpxR_pos	tdcE//purA//puuC//argC//astC//accC//cpdB//ssuD//paaF//rutB//argA//guaA//ilvM//nirB//gapA//galE//fadM//cysD//
Cra_neg	pgi//argE//appA//ackA//ynfH//nfsA//paaG//glxK//fes//fadE//paaF//dapB//rbsD//glnA//grxA//ilvN//amn//recF//prs//deoB//hyaA//torA//malS//nanE//ilvI//yeaG//phr//fadJ//glcF//pheS//rtcA//dgcC//hypF//gatY//glpC//guaA//manA//folE//aceE//puuC//wzb//murD//fadB//nfsB//codA//
Cra_pos	malY//garD//trmD//nrdF//sgbE//tdcE//cyaA//paaK//metF//fau//ada//allE//torA//rnpB//galE//umuC//fabA//
CreB_neg	aroF//
CreB_pos	chbF//
CsgD_neg	ruvB//hcaD//
CsgD_pos	pgi//tynA//hchA//
CsiR_neg	zwf//polB//malP//dhaM//
CspA_pos	murQ//
CueR_neg	rffC//napH//hcaC//
CueR_pos	hycE//ilvG_1//
CusR_pos	murD//nirD//pgk//allC//
CynR_neg	
CynR_pos	phnH//deoC//sdhA//
CysB_neg	ilvE//fadH//cheR//
CysB_pos	malY//torC//paaC//idnO//astB//paaH//dgcC//dmsA//nrfA//tam//fucO//cysC//sucD//folE//
CytR_neg	mhpD//ilvH//gcvT//ampC//leuB//ubiA//uvrC//kbaY//fadM//entE//
DcuR_pos	mhpC//purF//chiA//rhaB//
DeoR_neg	rutD//pdeR//glmS//glpK//fabI//gcvP//
DhaR_neg	
DhaR_pos	allB//
DicA_neg	
DinJ-YafQ_neg	hyaB//
DnaA_neg	speA//hycG//ubiG//eda//purM//
DnaA_pos	hycF//betB//lacZ//
DpiA_neg	
DpiA_pos	ulaD//metC//recF//gatZ//hycC//
DsdC_neg	
DsdC_pos	atoB//mhpB//
EbgR_neg	
EnvR_neg	hflX//kbaZ//
EnvY_pos	accD//lyxK//
EvgA_pos	gatZ//astC//sucB//aspA//ansB//xylB//
ExuR_neg	mraY//pgi//dhaL//ubiA//mpl//dadX//
FNR_neg	hchA//kbl//paaB//purM//glcD//cpdB//trpC//sgbU//srlD//nadA//metL//fadE//lldD//garD//wecB//torC//guaA//recF//preT//accA//tynA//puuA//lpd//pepD//ldtD//umuC//ttdA//murG//sdhC//ynfG//apaH//ilvB//ruvB//bcsB//glmS//hyi//pdeL//wecC//alaS//nanM//entC//ulaF//aroF//hmp//
FNR_pos	ansB//luxS//ruvB//glxR//zwf//dacC//aroL//lldD//waaH//srlD//fbaB//sucB//glcE//iscS//purH//leuA//citD//talA//idnO//bioD//tnaA//lpxC//metH//lacZ//rffM//metB//adiA//murD//gltX//ynfG//cysE//hcaD//nrdD//purF//dacC//umpH//paaI//glgA//avtA//purH//umuC//ulaG//hyaA//idnK//phoA//dhaL//pfkA//leuC//glsA//ubiG//truB//fucK//aceF//ygeA//atoA//guaA//gcl//xylB//ppsA//atoA//waaY//cynS//rffT//melA//trpB//nadA//glpA//yqhD//manA//aroH//bioF//recF//sufS//argG//avtA//trmD//paaJ//mazG//mnmG//rtcA//speA//nfsA//paaH//glgP//deoB//uxuA//ascB//mhpF//tyrB//narH//moaD//malY//citF//rpiB//fucK//gltD//
FabR_neg	cdd//xylA//kbaY//
FadR_neg	phnN//folE//tadA//rffG//tdcE//rffH//purK//tynA//garD//
FadR_pos	accC//aceE//pspE//nrdA//add//torA//galK//nrdD//lyxK//preT//
FeaR_pos	aceE//appA//
FhlA_pos	fadJ//sucD//rsmA//puuE//queA//slt//nirD//paaY//
Fis_neg	ppsA//prs//alkB//phnI//ssuE//tdcD//rfe//trpA//aroG//frdB//bglB//cysK//xdhC//nagA//araB//acs//cynS//nrdB//accA//fucU//dacC//arsC//rutC//fbaB//nrfC//hpt//mraY//cheB//speA//trpD//fes//lpxA//tadA//napB//nrdB//carA//aroG//bioF//malQ//uvrB//lyxK//tdcE//ravA//yedX//wzc//murE//
Fis_pos	ilvE//psd//katG//paaE//uvrA//paaC//acs//gltA//fadA//tdcB//atoA//alaS//uvrB//srkA//metC//caiA//rhaA//ulaG//cysJ//bioC//hycC//fabD//fadJ//paaY//hycG//tdcG//phr//murC//metA//paaK//mpaA//ldtC//ulaF//fadM//dsdA//guaA//yeaE//
FlhDC_neg	srlD//ilvA//
FlhDC_pos	sucA//purH//puuA//gpsA//metE//fbaB//aspC//aroA//alsE//astD//glmU//kbaZ//
FliZ_neg	sdhA//malQ//rtcA//rhaA//kbaZ//
FucR_pos	add//feaB//srlD//paaZ//argF//dmsB//
Fur_neg	ppc//sucB//gltD//preA//prs//udp//ubiA//allA//hycC//nrfD//mngB//idnK//katG//trpB//upp//sgbU//mtlD//dapD//ulaE//paaK//glgC//hyaA//pdeL//speA//hmp//oxc//purN//lysC//rffH//allE//accA//putA//dusB//cysM//fabA//cmoM//metC//srkA//alsE//gudD//araB//dgcZ//wzc//upp//garL//lldD//cysE//rpiB//ansB//sbcD//trmD//fabB//paaI//
Fur_pos	sdhA//gcd//cynT//fadD//purA//ubiC//fbaA//serC//astD//uvrA//paaH//lysU//guaB//aceB//paaH//argC//
GadE-RcsB_pos	paaK//fucO//ldtC//leuA//mhpA//
GadE_pos	argB//agp//bcsZ//ravA//mhpB//pdeH//dmsA//carA//uxuA//metB//
GadW_neg	gatD//lyxK//amn//
GadW_pos	dhaM//purK//nirD//ubiX//
GadX_neg	ilvI//fbaB//
GadX_pos	prs//cysD//malZ//alkB//hchA//patZ//pagP//lsrK//narG//adeD//glgC//
GalR_neg	cysD//hcaD//putA//ansB//caiA//uvrA//
GalR_pos	mltF//dsdA//phnH//trpA//
GalS_neg	gcvT//hycD//mpl//aspC//ackA//citX//
GalS_pos	ilvE//pheT//gcd//hmp//
GatR_neg	yedX//dgcC//rffG//
GcvA_neg	tauD//cysC//hcaB//
GcvA_pos	pheT//glgB//tktB//
GlcC_neg	
GlcC_pos	hycC//leuC//rutE//
GlpR_neg	patD//prpE//rutC//ynfF//glcD//glpK//glmS//
GlrR_pos	
GntR_neg	lpd//gabT//uxuA//puuD//mtlD//ldtB//chiA//katG//citF//
GutM_pos	entC//moaD//citE//
H-NS_neg	ilvN//aspC//thrS//lpxC//ampD//dmsB//frdB//rffH//katG//argH//lsrK//uxuB//frc//cpdB//puuC//moaD//cysD//glgB//murD//mltF//murI//paaZ//arsC//deoA//rffC//hcp//acs//argD//chbG//moaC//rutE//uvrA//asnA//astC//hycD//nadC//argH//fadB//kbl//pheT//hycB//glmU//deoC//sufS//paaH//dsdA//nrfC//garL//hycC//dusB//gatZ//
H-NS_pos	trmD//gdhA//glcB//ynfH//sucD//metK//ycjG//rtcA//kbaZ//sgbE//gatY//murC//ilvB//ulaE//murI//
HU_neg	carB//tktB//glpD//tyrA//hycF//araA//hflX//
HU_pos	
HcaR_neg	
HcaR_pos	purH//astD//
HdfR_neg	
HdfR_pos	
HigA_neg	fucI//
HigB-HigA_neg	murC//
HipAB_neg	cmoM//appA//
HipB_neg	napH//hyi//murQ//
HprR_neg	nrfA//idnK//
HprR_pos	bioA//puuB//
HyfR_pos	pgm//
HypT_neg	glcF//grxA//
HypT_pos	gpmM//relA//caiB//sdhA//sdhB//
IHF_neg	glpA//idnD//amiA//truB//adiA//rsmH//gpmA//waaZ//hyaC//frdB//pgm//glcF//luxS//moaE//ilvM//fucU//napB//mhpC//epd//purE//citF//malP//tdcE//gltA//patZ//bcsZ//pyrC//deoB//lyxK//fumA//xylA//glpA//tdcG//speA//dmsA//katG//dapD//entH//glxR//argB//glgP//ilvH//ahpC//
IHF_pos	pyrC//araB//wrbA//gabD//ilvI//pflB//hycE//prpC//prpC//ldtC//nrdB//acnA//oxc//nanM//deoD//ung//tehB//apaH//recD//pdeR//acnA//cysE//accC//yeaG//deoB//nirB//rhaD//rutD//nagA//mhpE//uxuB//patD//trpA//pgaB//alaA//fadD//nadC//rhaB//paaZ//ychF//uvrA//purB//yeaE//kbaY//frdD//ppc//dacC//argC//rutE//yeaG//malP//rtcA//ybjG//kbl//ppiA//sodB//hemL//entC//narG//uidA//napH//aldB//dgcZ//narG//cysK//rhaB//ilvB//fruK//ddlB//trpE//rimK//
IclR_neg	ilvH//sdhD//patZ//
IdnR_neg	moaD//dhaM//
IdnR_pos	guaB//fumA//glxK//sdhA//
IlvY_neg	
IlvY_pos	dapD//
IscR_neg	pdeL//umuC//entE//mhpA//mhpF//moeB//
IscR_pos	hycC//ilvE//
KdgR_neg	folE//yfdE//
KdpE_pos	paaJ//
LacI_neg	paaH//metC//rffC//
LeuO_neg	
LeuO_pos	rbsD//kbaY//ilvH//apaH//argE//fadJ//
LexA_neg	serC//nirB//moaC//malZ//rfe//acnB//cyoE//galE//katG//rffT//ttdB//treC//pfkA//glk//nrdD//mraY//glpA//araB//dhaK//citF//nrfA//fadE//gudD//
LldR_neg	purD//fucO//
LldR_pos	kbl//gltA//
LrhA_neg	
LrhA_pos	
Lrp_neg	ilvN//cysI//murF//fumB//gpmA//ilvH//srkA//folE//gabD//fadE//pykF//fabG//argA//murG//sbcD//argC//adeD//ilvM//fabG//codA//galK//dmsC//ung//
Lrp_pos	gdhA//eda//manA//argH//argF//mngB//argF//deoB//ldtD//dmsC//citD//pncB//glcB//lpxC//gadB//lysU//pdeF//narI//caiD//nemA//
LsrR_neg	cynS//nanK//ruvA//xylA//arsC//
LysR_neg	
LysR_pos	fucA//
MalI_neg	melA//rutA//
MalT_pos	cyoE//nrdB//xdhA//citC//polB//hflX//
MarA_neg	gpsA//
MarA_pos	purL//sgbU//sucC//polB//argA//mdh//katE//speB//glpD//accC//gudD//cysC//sodB//uxaC//gnd//gutQ//hemL//gabT//xdhC//xdhA//deoB//citD//deoA//
MarR_neg	
MatA_neg	ynfH//
MatA_pos	
MazE-MazF_neg	speB//
MazE_neg	aceB//
McbR_neg	
McbR_pos	
MelR_neg	hycD//pdeH//
MelR_pos	chbF//tnaA//
MetJ_neg	aldB//xapA//mnmG//phnM//paaB//aceF//glpC//ndh//polA//aroA//
MetR_neg	ccp//
MetR_pos	lpxC//adhE//pspE//uvrC//
MhpR_pos	pdeL//glgB//fumA//ilvD//frdA//pflB//
Mlc_neg	cynS//zwf//waaY//umuC//
MlrA_pos	ftsI//
MngR_neg	glnA//napH//
MntR_neg	nrdF//
MntR_pos	aspA//
ModE_neg	acnB//prpE//feaB//purC//metA//fbaB//lsrF//malS//
ModE_pos	narH//sgbE//tktB//ppsA//metF//fadE//relA//mpl//hpt//
MprA_neg	fadB//ilvD//fadA//
MqsA_neg	purD//rimK//
MraZ_neg	rffG//zwf//hemA//ldtB//aroA//xdhB//prpC//pdeL//tnaA//ilvA//
MurR_neg	nanK//pck//trmD//
MurR_pos	
Nac_neg	accD//frdB//napA//
Nac_pos	gdhA//astD//argE//gltD//gcvT//paaC//trmD//aroL//
NadR_neg	frdD//codA//idnD//sdhD//
NagC_neg	frc//hcaB//nfsB//fabG//glmU//hyaA//sdaA//paaZ//fadM//gntK//yqjH//udp//fruK//agp//eno//prmC//pgk//melA//
NagC_pos	rffH//ppsA//
NanR_neg	rffM//folA//recD//ppsA//cueO//uxaB//
NanR_pos	
NarL_neg	allB//metC//glgA//appA//oxc//folE//fabA//xdhC//cynT//argD//cysJ//preT//glpA//argB//glgX//fucA//adhE//rffT//caiB//eno//tdh//fucO//gcl//glpA//purA//xylA//glmS//glmS//
NarL_pos	appA//ilvC//fadH//cysK//yqjH//cysC//hycG//asnA//leuA//ccp//argA//aroA//rffT//uxaB//aroF//
NarP_neg	entD//tdcG//garR//truB//gutQ//
NarP_pos	pyrD//rffC//ilvC//nanA//narG//deoB//metC//uxuB//lacZ//ynfH//dinB//gadA//lpxD//ubiX//
NemR_neg	nanE//dhaL//
NhaR_pos	fadA//paaK//glnA//fabB//dgkA//
NikR_neg	napB//
NimR_neg	mhpC//
NorR_neg	
NorR_pos	aroL//
NrdR_neg	appA//argA//prpB//hycD//
NsrR_neg	adhE//rutD//deoD//dkgA//lsrK//torA//malP//feaB//gntK//hflX//tehB//leuA//alkB//poxB//fadH//rutB//cadA//hcp//mhpF//slt//lacA//mpl//ahpC//wrbA//pheS//sodA//uvrB//phnJ//sgbE//cyaA//iscS//dgcN//pfkA//gltA//gatD//ulaG//preA//gloA//ugpQ//fadA//
NtrC_neg	poxB//hycB//
NtrC_pos	phnI//ycjG//phnO//dsdA//phnN//cysC//cysD//fabD//mdh//narH//folA//katG//pfkA//psd//rffM//purH//ynfG//paaB//pgk//malP//murC//
OmpR_neg	pgm//moeB//fadM//oxc//iscS//
OmpR_pos	acs//pfkA//ampC//gudD//
OxyR_neg	waaH//fucK//argE//nagA//phr//
OxyR_pos	gnd//dgkA//dhaK//fumC//cheB//gpmM//dapD//metH//manA//trpE//pdxA//prpE//
PaaX_neg	lpxC//dadA//rutE//ilvD//paaK//pspE//glpD//glgB//fbaB//
PdeL_pos	fabH//
PdhR_neg	bglB//nrfC//sdhA//paaB//uvrB//pdeL//malZ//lldD//mpl//pheT//sgbH//umuC//gltA//queA//mpl//fau//feaB//fumC//dadX//hemF//polB//malP//fadB//
PdhR_pos	frdA//ilvC//
PepA_neg	glmS//hcaE//
PgrR_neg	idnK//glgP//
PhoB_neg	aroL//amiA//gudD//thrS//sdhA//
PhoB_pos	pflB//murG//ilvB//napG//moeA//prpE//hcaC//lhgO//ppiA//ribA//mhpC//moaA//guaA//astA//lacA//garL//rbsK//
PhoP_neg	umuD//patD//sdhD//
PhoP_pos	ilvN//trpB//wzb//polB//caiD//ilvB//ravA//phnG//purK//tyrB//paaI//ampC//cysE//ilvN//xdhA//paaB//yqhD//cheB//prpC//pdxA//glgP//ppsA//ilvG_1//cysM//aroL//pheS//iscS//preT//nadA//rhaD//fucU//
PrpR_neg	
