# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	entE//upp//
Ada_neg	purN//guaA//
Ada_pos	entB//rnpB//purC//aceA//
AdiY_pos	lyxK//pyrC//gcvT//gpsA//
AgaR_neg	tehB//
AidB_neg	rutC//
AlaS_neg	citX//
AllR_neg	xylA//purN//ribA//paaI//argH//ssuE//
AllS_pos	rutA//bioD//adiA//
AlsR_neg	fadJ//pheT//patZ//
AppY_pos	ldtC//gltB//
AraC_neg	rutA//prpD//purA//ynfE//gdhA//
AraC_pos	gcl//alkB//sbcD//putA//hemA//bcsZ//
ArcA_neg	dmsB//dapB//moeB//paaI//cyaA//uxaB//galT//feaB//sbcD//fabG//nrdE//rpiB//hpt//paaZ//phnM//cueO//moaE//polB//nadA//bglB//nirD//fbaB//adeD//fumB//argE//glnA//narG//paaG//nrdF//mhpC//murE//gltB//pepD//cysE//apaH//pyrD//mhpD//glgC//adeD//ilvE//nrfD//argF//dgcC//ttdA//rimK//aroA//psd//purF//aroL//murF//fbaB//ccp//gltA//mtlD//moaA//deoB//tdcE//murC//fadI//pgaB//gadA//rutD//deoB//pdeH//fumA//argI//uxaC//prpB//entD//
ArcA_pos	fabD//srkA//aceB//pdeL//phnH//hycG//gcd//acnA//ppc//hemL//frdB//prpD//fadD//sgbE//nrfD//caiB//puuB//wecE//mraY//paaA//sgbE//upp//ubiC//betB//upp//glcE//adhE//xapA//tdcD//hcaB//rffH//
ArgP_neg	
ArgP_pos	moaD//pflB//umuC//fbaB//xapA//pykF//rhaA//uxuB//garK//
ArgR_neg	yqhD//deoB//mpl//chiA//ppsA//ttdB//gltA//acnA//pflB//tyrB//pgaC//wecE//murG//ilvA//gcd//hycE//gpmM//pspE//
ArgR_pos	gudD//xylA//araA//dgcN//nadC//
ArsR_neg	ruvB//frdA//
AscG_neg	trpD//hemH//
AsnC_neg	sgbE//
AsnC_pos	ung//
AtoC_pos	metB//pdeL//atoB//
BCCP_neg	trmA//
BaeR_pos	malY//citX//
BasR_neg	pdeH//
BasR_pos	tyrB//ldtB//
BetI_neg	argH//lacA//ilvI//
BirA_neg	phnO//galE//ppsA//talA//puuE//
BluR_neg	
BolA_neg	deoA//allA//
BolA_pos	pagP//galM//
BtsR_pos	paaB//
