# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	glgB//puuD//
Ada_neg	ttdB//glcB//
Ada_pos	manA//citX//araB//dkgA//
AdiY_pos	dhaM//cpdB//uxuB//edd//
AgaR_neg	bioF//
AidB_neg	alkB//
AlaS_neg	aceA//
AllR_neg	metK//glnA//speA//lysU//entD//cueO//
AllS_pos	asnB//rtcA//argD//
AlsR_neg	paaC//argF//glpX//
AppY_pos	umuC//icd//
AraC_neg	ogt//dkgA//entC//amn//citE//
AraC_pos	dgcZ//deoC//citE//nfsB//mnmG//argF//
ArcA_neg	accC//napB//ftnA//rtcA//aceE//dusB//mpaA//edd//hycF//acnB//leuC//cysG//garL//patD//rutC//hchA//gcd//trpE//idnO//accA//carB//argA//gcvH//ybjG//eda//speA//fabD//cadA//codA//allE//aroA//atoD//rsmH//gadB//malZ//idnD//paaH//uxaA//pgpC//cysC//lsrF//nirB//fadE//paaF//polA//malZ//phnL//hyaC//phnN//napH//ldtB//srlD//dhaK//lacZ//cheR//rtcB//dadX//puuE//bacA//aceB//lpxD//edd//metE//ung//phnO//ldtC//sgbE//puuB//dgcC//
ArcA_pos	araA//fumB//aroH//argE//ldtB//bioB//nagA//ubiA//mazG//mtlD//sdhD//fes//glpK//pyrD//rpiB//epd//pheT//entH//fucU//uvrC//aroL//idnD//hycB//hcaE//tyrA//aspA//yiaK//mazG//pdeR//tam//cysG//
ArgP_neg	
ArgP_pos	hemA//ynfH//trmA//tyrB//patZ//glxR//chbG//sdhB//lyxK//
ArgR_neg	napB//metK//ogt//hcaF//entB//tktB//glsA//rbsK//trmD//allA//paaE//entH//rffT//preA//tpiA//rffM//add//allE//
ArgR_pos	deoD//aceF//entH//mpaA//prpD//
ArsR_neg	yqhD//fabA//
AscG_neg	mpl//cysD//
AsnC_neg	paaZ//
AsnC_pos	gabD//
AtoC_pos	glmS//sdhC//alaA//
BCCP_neg	pgpC//
BaeR_pos	fumB//pspE//
BasR_neg	gudD//
BasR_pos	argD//cysH//
BetI_neg	yqhD//betA//lhgO//
BirA_neg	gatY//guaA//purM//gcl//hycF//
BluR_neg	
BolA_neg	gltD//fadH//
BolA_pos	nirD//pck//
BtsR_pos	rsmH//
CRP_neg	chiA//tdcG//gltB//pagP//aroG//phnJ//sdhC//dacC//accC//ubiG//mhpF//alaA//purL//putA//dmsC//murF//gcd//hycG//cysI//nanK//adiA//caiA//dacC//moeB//ung//accC//ulaE//dmsB//prs//glgP//paaF//mtlD//paaJ//pgaC//recB//cueO//nirD//trmA//ychF//uxaA//dgcN//ackA//accC//phnJ//glpX//gatD//paaK//ddlB//phnO//psd//entE//nanM//fabG//astB//garK//ubiC//lacA//moeB//alaS//ascB//dgkA//ynfE//allD//dsdA//purD//nanK//entF//ilvI//cysN//paaA//mtlD//
CRP_pos	astB//udp//glyA//narI//glk//hcaC//gltD//xylB//phoA//garR//agp//citG//folE//hypF//uxaA//cmoM//tnaA//waaY//hyaA//ygeA//pdeH//lpxD//xapA//cysK//nfsA//gadA//pheT//poxB//ubiC//eno//araB//paaA//purB//nanM//caiD//fucI//cueO//citC//purN//sodA//moaC//bcsZ//ccp//fucO//mazG//sgbH//xylB//nrdB//gloA//nemA//glcE//ftnA//pheT//carB//puuA//fumA//cyoE//cysN//yeaE//argH//sdhD//speA//cysD//malY//pgaD//astE//slt//phnP//bacA//dgkA//puuD//bglB//katG//lhgO//accA//folA//lldD//ilvB//ansB//adeD//metB//ugpQ//lsrK//dhaK//wecB//purA//katG//ascB//citF//puuE//katE//atoD//tehB//ynfG//hchA//sufS//mhpB//murF//pflB//glcD//nanM//leuA//ruvB//fadI//uxuA//narH//hemF//nrdB//tynA//lpxD//alaS//moeA//fumB//zwf//phnL//rhaB//rtcB//xylA//uvrC//argG//sgbE//hpt//ppiA//galE//glgA//hyaC//citG//recF//argD//dapD//metE//fabA//glk//glmS//gltA//pagP//ldtC//relA//glxK//moaE//pgaD//ychF//aspA//pgpC//pfkA//luxS//idnO//rhaD//rffM//phnO//dhaL//mltF//umuC//glcE//recB//uidA//mhpE//lsrG//murD//waaY//frdB//glgA//hyaA//allB//eda//atoB//udp//wecC//uvrA//ubiC//cheR//truB//dgcZ//glpC//pheT//chiA//paaA//metL//allA//recB//puuA//nagA//sdhD//grxA//rutC//glpK//kbaZ//xylB//xdhA//pnp//allE//mnmG//acnB//aceA//mpl//acs//puuD//fadB//cysN//ampC//glpK//cheR//slt//yfdE//patA//lpxA//dacC//nagA//eno//dadA//rffG//patD//phoA//lysU//nrdA//ilvA//lysU//garD//gpmM//tdh//moaD//adiA//puuD//paaB//gor//putA//ybjG//paaB//polA//yfdE//murC//mraY//astE//sdhA//waaZ//glnA//argA//cysN//ulaF//atoA//gntK//glxR//gltD//leuD//kbl//gutQ//ilvH//cyaA//ilvM//
CadC_pos	paaZ//tnaA//fabB//
CaiF_pos	ulaE//aroH//amn//malZ//allE//
Cbl_pos	hycF//umuC//pflB//ddlB//pgm//
CdaR_pos	aceE//gutQ//fabG//hycE//aceA//hemL//recF//deoA//prpC//
CecR_neg	mpaA//
ChbR_neg	malQ//dkgB//atoA//
ChbR_pos	citD//hycF//ydcS//
ComR_neg	
CpxR_neg	pgm//speA//cheB//
CpxR_pos	gntK//cysC//hemL//yeaG//purA//sgbU//hcaB//yeaG//wecC//ssuD//paaE//fucO//uxaB//tpiA//dadA//ycjG//cmoM//xylB//
Cra_neg	puuD//speA//guaB//rsmH//prs//moaA//umpH//mhpF//gatZ//argD//pfkA//dkgA//deoA//murD//uvrA//fruK//nadC//yiaK//srlD//sgbH//dadX//cysJ//tadA//sucA//rutC//recD//fadA//argD//paaY//entA//paaZ//dmsA//ilvD//fbaB//mngB//aceA//ppc//chbG//rimK//ddlB//nirD//nrfD//folA//astD//wecE//
Cra_pos	hflX//uxuB//nfsB//hemL//caiA//ftsI//ribA//ddlB//ulaF//trpB//purK//xylB//cdd//paaJ//fucI//chiA//nrfA//
CreB_neg	epd//
CreB_pos	aroF//
CsgD_neg	fbaA//malY//
CsgD_pos	purH//dgcZ//codA//
CsiR_neg	fumB//cueO//rfe//lysC//
CspA_pos	citC//
CueR_neg	malP//rhaD//napH//
CueR_pos	malY//ulaD//
CusR_pos	xdhA//gltA//patA//alaS//
CynR_neg	
CynR_pos	mraY//dadA//ssuD//
CysB_neg	ahpF//gadB//grxA//
CysB_pos	glxR//tehB//ribA//rfe//fbaA//pspE//fucU//ppsA//gltA//mhpC//hyaC//uxaC//glpB//astD//
CytR_neg	sgbE//argG//thrS//avtA//hyaC//srlD//ttdA//folE//araA//zwf//
DcuR_pos	ampC//citC//murG//ybjG//
DeoR_neg	paaH//tadA//atoB//kbaZ//aceB//entA//
DhaR_neg	
DhaR_pos	argD//
DicA_neg	
DinJ-YafQ_neg	cynT//
DnaA_neg	mraY//lpxD//paaA//nrfD//mngB//
DnaA_pos	aroL//cysG//glpA//
DpiA_neg	
DpiA_pos	kbaZ//tehB//speA//argD//bioF//
DsdC_neg	
DsdC_pos	atoA//serC//
EbgR_neg	
EnvR_neg	adeD//nrdA//
EnvY_pos	puuB//pepD//
EvgA_pos	ldtB//aroG//araB//pnp//uxaC//mpl//
ExuR_neg	nrdF//dapB//iscS//hemF//sucB//nagB//
FNR_neg	glpE//eno//purN//hemF//guaA//bcsZ//lpxA//alkB//moaC//sucA//ubiX//pdeL//ubiC//aroH//paaZ//amiA//dkgB//oxc//gltB//argC//narH//yeaE//gutQ//rimK//aldA//prpD//folA//cysK//pyrD//uvrB//ynfH//mhpD//dkgA//pdeH//arsC//puuC//yqhD//ydcS//pgk//napG//bcsB//pgk//dsdA//uxaA//
