# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	galK//nadB//
Ada_neg	ppiA//cysK//
Ada_pos	aroL//hemH//mazG//pdeH//
AdiY_pos	fes//fabH//ogt//araD//
AgaR_neg	xylB//
AidB_neg	frc//
AlaS_neg	hyaC//
AllR_neg	moeA//hcaB//phnM//ychF//dgcC//ung//
AllS_pos	hyaC//glcE//mtlD//
AlsR_neg	dgkA//rnpB//gpsA//
AppY_pos	bioF//dusB//
AraC_neg	pgm//ilvE//gnd//tdh//prs//
AraC_pos	glpD//gcd//puuD//ilvH//allA//tynA//
ArcA_neg	paaJ//fau//leuA//moaD//gudD//allE//glyA//lysC//narG//dkgA//frdB//sgbE//phnI//narG//gcvP//frdA//ddlB//ilvD//glpX//rpiB//phnJ//recD//alkA//alkB//narH//srlD//ilvH//dkgB//fbaA//treC//pdxA//argF//sgbU//hycF//purD//fabA//narH//glsA//sbcC//wzc//amn//entF//dhaM//phnP//ada//leuA//speC//dacC//nrdE//arsC//rsmH//phnG//fadB//fucU//garD//dadA//argI//gnd//pdxA//purD//feaB//fadM//psd//rutA//garR//mhpD//glcD//fruK//kbaZ//
ArcA_pos	araB//malY//sgbH//trpC//metE//uvrB//ilvE//ilvE//argF//entB//bioA//ppc//deoD//mhpF//carA//gltX//tyrA//sbcC//dinB//ruvB//glpC//hemH//ldtB//rutB//lysU//sgbU//arsC//pgpC//paaY//ackA//purN//
ArgP_neg	
ArgP_pos	wrbA//paaZ//entB//lacZ//leuB//sodB//astE//trpE//acnA//
ArgR_neg	nfsB//fabI//alsE//pgm//pagP//rfe//recF//fruK//astD//nanK//tdcD//xylB//ychF//wecC//ftsI//aldB//dgkA//argC//
ArgR_pos	epd//pdeH//aroA//argE//ldtD//
ArsR_neg	add//citX//
AscG_neg	sdaA//astA//
AsnC_neg	ydcS//
AsnC_pos	citX//
AtoC_pos	asnB//pspE//gcd//
BCCP_neg	hyaB//
BaeR_pos	phnL//fumB//
BasR_neg	gcvT//
BasR_pos	phnP//purL//
BetI_neg	prmC//fdhF//entE//
BirA_neg	dusB//fruK//ydcS//gloA//metF//
BluR_neg	
BolA_neg	mtlD//ubiX//
BolA_pos	gor//rffC//
BtsR_pos	ftsI//
CRP_neg	ilvC//nagA//narG//phoA//pgk//rutC//nemA//phnN//rffT//hyaC//pgaB//gloA//codA//dgcC//citF//tdcG//asnA//nanE//glcB//cheB//pnp//metH//fadE//gutQ//adhE//wecE//idnD//tnaA//sgbU//tdcE//phnI//fucI//bacA//accA//purE//galK//frdA//prs//betB//argH//agp//ldtD//nfsB//ppc//rutA//epd//ldtD//recB//dmsC//tdcG//uvrA//lpd//nrfA//rutD//tyrB//dgcC//xdhC//pepD//idnK//ilvB//phoA//ascB//prmC//fadM//purH//argH//lysA//trpB//asnB//sodB//pgm//
CRP_pos	cadA//caiA//dgcN//betA//paaY//tadA//cdd//mhpA//hycF//glgP//rsmH//sodB//waaZ//sodA//trpA//tktB//prpE//nrdB//ttdA//allA//manA//tdcG//sdhA//tynA//pdxA//moaD//rffM//acnB//yqjH//sucC//lacZ//prpD//chbF//ppc//gcd//murG//phnP//dapD//ada//epd//aceF//ubiG//tyrB//hycE//purN//metE//fbaA//yiaK//mtlD//gor//prpD//dapD//cysE//wzb//gpmA//puuD//gatY//allA//prpD//malZ//ynfH//ftsI//hycD//atoA//argD//metE//napB//gcl//phnH//cysG//hcaB//lsrF//hycE//sgbU//glpC//uxuA//astE//dmsC//gcvT//queA//gatZ//aceB//acs//pdeL//gcvP//frdD//murI//metK//kbaZ//idnO//gcvP//glpK//carA//araD//glcD//pdeL//agp//moaD//dmsB//cpdB//sucA//cynS//lysA//bioD//sdhC//mngB//nanM//sdhB//lysA//phnO//alkB//ilvH//garD//rtcB//puuB//gadB//malS//ubiC//ulaD//wecB//sdaA//glpQ//pgaC//dacC//lpxC//ilvN//kbaZ//feaB//wecB//pagP//yeaG//trpA//mhpC//ybjG//dadX//patZ//ahpC//pgaD//caiB//bioB//astC//codA//dkgB//alaC//accD//avtA//betB//sucC//wecC//phnO//sbcC//ydcS//purF//fruK//xylA//fabG//wzb//mhpA//garD//chbF//aceB//ahpF//atoB//leuC//frdD//fabD//glcB//acnB//dapD//fadJ//fucU//fadH//mtlD//astC//glxK//ilvG_1//napG//phnH//sufS//srkA//gcl//tpiA//phnH//tyrA//ogt//garL//phoA//purF//dinB//bioB//frdA//rsmH//sucD//paaK//gudD//glcE//metE//fbaA//allE//serA//folA//ftnA//torC//moaE//ilvB//hyi//ulaF//galM//uxaB//sucB//gcvT//glpK//rbsD//metL//relA//dmsB//glpB//mhpB//paaG//hycB//araA//ccp//sucA//garL//argA//srkA//alsE//gcd//trpE//tpiA//bcsB//dkgA//araA//ascB//aceA//entF//cyoE//lsrG//metB//hycC//moaA//carB//chbF//cysD//ackA//puuE//glgC//ulaF//atoD//
CadC_pos	uxuB//tdcE//entH//
CaiF_pos	nadB//xylB//metH//cysI//gutQ//
Cbl_pos	phoA//purD//ascB//nfsB//malQ//
CdaR_pos	cysC//frc//phnP//putA//glnA//garL//caiB//sufS//bacA//
CecR_neg	ttdA//
ChbR_neg	paaY//manA//uvrA//
ChbR_pos	gltX//citF//glgP//
ComR_neg	
CpxR_neg	ppiA//fbaA//aspC//
CpxR_pos	garK//rhaA//glpQ//glnA//fabG//mhpC//purF//hemL//gapA//citE//lacZ//rhaA//cyoE//gcvT//gabD//cysJ//uvrA//idnO//
Cra_neg	purM//pdeL//nrfC//ttdB//phnL//uvrA//pnp//hyaA//pyrC//ascB//cysC//rutC//purB//asnB//treC//gabT//phnN//sbcD//aspC//fbaA//nrfC//entF//deoA//cpdB//dadX//accD//amn//gcvH//nirB//lhgO//caiB//hyi//purM//xapA//ftsI//hcaF//lysC//sucC//nrdA//fucU//trpD//napG//ydcS//waaZ//hcaB//
Cra_pos	narH//ccp//mhpD//putA//sbcD//nagB//gutQ//tehB//gutQ//serA//glcD//phnG//nrfD//ung//uxaA//adeD//waaH//
CreB_neg	entC//
CreB_pos	paaK//
CsgD_neg	serA//kbaY//
CsgD_pos	pykF//sgbH//glcE//
CsiR_neg	wecB//add//gntK//tdh//
CspA_pos	gapA//
CueR_neg	gadB//paaJ//ribA//
CueR_pos	carB//bioB//
CusR_pos	ndh//mpl//leuA//hcp//
CynR_neg	
CynR_pos	cheB//gdhA//rhaD//
CysB_neg	speC//accC//hcaC//
