# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	ilvD//pepD//
Ada_neg	dmsB//argA//
Ada_pos	rbsD//lhgO//mltF//nanK//
AdiY_pos	purB//cmoM//rutA//trpE//
AgaR_neg	phnO//
AidB_neg	nagB//
AlaS_neg	ynfG//
AllR_neg	lsrK//tnaA//nadC//trpE//fbaB//puuE//
AllS_pos	mhpD//sbcC//ada//
AlsR_neg	sdhA//lysC//pfkA//
AppY_pos	ttdA//xylA//
AraC_neg	ubiG//caiD//tynA//ybjG//rutE//
AraC_pos	cadA//umuD//lacA//xdhC//phnH//wrbA//
ArcA_neg	wecB//aldB//gltD//trpB//glpX//ulaG//mpl//pheS//ygeA//purN//cysG//aceE//yqjH//hpt//lpd//paaE//rfe//lacA//ppsA//torC//nrfC//cysN//acnB//glxK//glmU//nrfA//glpD//moeA//murG//murG//pepD//malY//ydcS//rutC//trmD//pagP//alkB//cysK//ybjG//lacA//tktB//accD//puuA//trpA//aceF//narI//frc//entD//recD//paaZ//metH//nagB//xdhC//bioF//tnaA//tdh//glpB//mhpA//atoA//pgpC//sdhD//narI//yqjH//hyaA//ygeA//mhpE//gnd//argI//nrfD//
ArcA_pos	metA//pgaC//tdh//metF//chiA//nfsB//mhpB//nirD//ada//rpiB//betA//wzb//chiA//ycjG//lysU//ssuD//pdxA//tauD//ldtB//aldA//narH//srlD//caiB//mpaA//metB//nrfA//lpd//fes//tdcD//ulaE//prs//
ArgP_neg	
ArgP_pos	trpA//accA//garD//fumC//dsdA//phnP//phnJ//mtlD//umpH//
ArgR_neg	alkB//polB//acnB//lyxK//phr//gatY//fumC//gloA//ydcS//cysK//allC//ilvH//glgA//ilvC//cmoM//mhpF//mdh//sgbH//
ArgR_pos	cmoM//ahpF//dapB//allE//moaA//
ArsR_neg	putA//yqjH//
AscG_neg	puuA//puuC//
AsnC_neg	lsrG//
AsnC_pos	chbF//
AtoC_pos	chbG//nagB//bioB//
BCCP_neg	lpxC//
BaeR_pos	hycB//ndh//
BasR_neg	glcD//
BasR_pos	ascB//mhpE//
BetI_neg	glpA//nrfD//dgcZ//
BirA_neg	hcaE//dhaK//gltB//melA//puuD//
BluR_neg	
BolA_neg	mltF//aroL//
BolA_pos	metF//deoD//
BtsR_pos	pgaD//
