# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	rsmH//tauD//
Ada_neg	ldtD//mazG//
Ada_pos	gutQ//phnO//bioF//wzb//
AdiY_pos	recF//puuA//paaK//cdd//
AgaR_neg	glpC//
AidB_neg	narI//
AlaS_neg	hycF//
AllR_neg	hycF//aldA//fabD//umuC//pyrC//gltD//
AllS_pos	hyaB//dmsC//hemF//
AlsR_neg	ilvD//alkB//ldtB//
AppY_pos	tdh//trpD//
AraC_neg	fadE//dgcZ//waaY//ascB//recD//
AraC_pos	malS//pck//guaA//allC//paaI//purN//
ArcA_neg	polA//narI//glgB//metL//glcD//caiB//nagB//gabD//metH//ldtB//yqjH//ppiA//gcl//cysE//leuA//ubiX//gltX//gcvP//fadA//glyA//ung//aspC//apaH//recB//nrdD//manA//ascB//pyrD//yqjH//metA//waaY//glgP//avtA//metB//appA//tnaA//phnN//mtlD//leuC//fabG//alaA//idnK//entF//leuA//ubiA//patZ//metK//gltA//astD//dmsB//trmD//mraY//sgbU//lpd//ilvN//paaC//mhpA//umuD//icd//aroG//paaC//phr//hycE//allD//nfsA//cdd//gcvH//alaS//ugpQ//
ArcA_pos	entF//dmsB//gadB//cadA//mhpF//aldA//xdhB//garL//deoD//hemF//gabT//sodA//ccp//feaB//ubiG//ilvI//bioF//adeD//gltA//hemL//prs//purL//gatD//pncB//ybjG//metE//cysM//fadH//murC//hyaC//dhaM//
ArgP_neg	
ArgP_pos	lhgO//pdeH//deoC//kbaY//fucK//glmS//glcB//umuC//uxaA//
ArgR_neg	sdhA//rffG//relA//ynfH//fucO//prs//araD//fbaB//queA//betA//garL//pgi//pgaD//avtA//moeB//lysC//lsrK//feaB//
ArgR_pos	ubiG//alkA//cyaA//kbaZ//dmsB//
ArsR_neg	rffT//argA//
AscG_neg	kbaZ//nagB//
AsnC_neg	lysC//
AsnC_pos	citD//
