# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	aspA//nanE//
Ada_neg	pdxA//gudD//
Ada_pos	leuC//fucI//glk//phnO//
AdiY_pos	hcaD//rffT//lpxD//glgC//
AgaR_neg	phnO//
AidB_neg	gatY//
AlaS_neg	rtcA//
AllR_neg	purK//nanA//gltB//puuD//gcvT//purK//
AllS_pos	pdeH//rffT//garR//
AlsR_neg	glsA//moaE//argD//
AppY_pos	hchA//pykF//
AraC_neg	pncB//ribA//poxB//sucC//fumB//
AraC_pos	cysG//purF//tpiA//tehB//melA//wzb//
ArcA_neg	napA//tdcD//ulaF//rutE//dmsC//paaY//prs//alsE//gdhA//malQ//bioB//uxuB//murE//melA//citD//dapB//mazG//mnmG//garR//aceA//acs//glxR//araD//mhpA//cysJ//ybjG//aceA//asnB//argF//frdA//rffM//nadB//araD//moeB//entE//asnB//yedX//glgP//ravA//fucO//rhaD//paaI//phnJ//ilvN//murI//psd//fruK//ugpQ//rutA//waaZ//xapA//tehB//folA//metL//puuE//argD//trpC//leuD//fucA//pflB//kbaZ//ravA//lhgO//entC//tdh//dhaM//phnG//phnP//avtA//
ArcA_pos	lldD//nirD//entH//codA//fdhF//fumB//hcaD//codA//lldD//cheR//metK//dhaM//bioC//rtcA//nrdF//speB//mraY//luxS//gloA//ribA//murF//patA//luxS//lpxA//lacZ//entB//napG//tktB//purK//ulaF//phnJ//
ArgP_neg	
ArgP_pos	waaZ//citX//tauD//bcsB//pheS//uxuA//ynfH//patZ//waaH//
ArgR_neg	aroH//pncB//prpC//waaH//lysA//asnA//pdeR//napA//astD//puuD//tdcB//gor//pgaC//narH//tyrB//ldtC//mhpE//tpiA//
ArgR_pos	tdcB//fes//fadA//purC//sdhC//
ArsR_neg	hycC//napG//
AscG_neg	nagA//paaC//
AsnC_neg	nirD//
AsnC_pos	prs//
AtoC_pos	ynfH//narI//metB//
BCCP_neg	acnB//
BaeR_pos	lysU//fucO//
BasR_neg	metC//
BasR_pos	umuC//hycF//
BetI_neg	xdhC//ttdB//sdaA//
BirA_neg	mhpB//nirD//mraY//fdhF//cheB//
BluR_neg	
BolA_neg	prpB//rbsD//
BolA_pos	mhpD//mhpF//
BtsR_pos	murQ//
CRP_neg	ilvE//paaH//idnD//thrS//recB//puuB//cynT//metE//rnpB//deoC//gutQ//recD//hcp//sdhB//aceE//metH//purH//yedX//cyaA//murF//uvrB//murG//trpE//pheT//dapD//entA//rsmH//paaC//hycG//mhpB//rffG//fau//malY//cysM//aspC//gatD//citF//galE//murE//rhaA//nirB//xdhA//nanE//pheS//gltD//accA//moaE//gadB//gcl//sucB//betA//metF//puuC//rhaA//dusB//dadX//uvrA//murI//leuC//gnd//dkgB//umuC//waaH//gltB//alsE//rutD//paaH//hyaC//hemF//dmsC//lldD//
CRP_pos	sucC//paaH//pheT//xdhC//glpX//gcd//accA//murI//recB//bioD//sucC//preT//frdC//fadH//cysN//moaD//astD//glnA//cysC//metC//accA//hycB//uxaC//murI//dkgB//ubiX//eda//uvrA//dgcZ//garL//lyxK//appA//lpxD//purH//dacC//pyrC//patD//paaC//aceF//cysI//ugpQ//adiA//glpX//ycjG//sgbE//paaJ//fes//cysI//ilvA//hycE//ftsI//psd//cyaA//ilvM//ilvA//dhaL//hcaC//pdxA//narI//fadA//tadA//hcaD//ftsI//sucC//paaH//patD//guaB//pdxA//mdh//glcB//purD//uxuA//rbsK//tdcB//hyi//glmU//waaZ//rutA//purM//glk//glgX//paaZ//ynfF//fucU//napG//atoD//rutA//paaC//araA//fadD//iscS//nirB//yeaG//gabT//hemH//rhaA//mhpB//hmp//ndh//lpxA//citE//mhpB//pdxA//add//caiD//lacA//galM//citX//fadI//gltB//fabA//pfkA//patD//xapA//chiA//cueO//ulaD//hchA//metK//gadA//arsC//phnO//prs//amiA//phnP//glcD//rffC//gapA//ilvC//purE//ppc//lysA//glgB//hemF//glxR//uxaA//hycC//nrdD//argH//gltB//hemA//trpA//murF//citD//hycC//torA//idnK//allD//recB//adeD//dhaM//lysA//tyrB//glgP//pykF//ppsA//purB//paaJ//hycB//fabG//cpdB//astC//rutB//deoD//cheR//ygeA//dmsB//nfsA//dmsB//glpA//hcaC//mhpE//lpd//yiaK//allA//ftsI//ftnA//cheR//zwf//galT//gltA//rhaA//metC//pdeF//fruK//uxuA//lacZ//tdcB//cueO//narG//add//gcvT//pgi//rfe//fes//prmC//ilvD//dmsC//gnd//glmU//paaA//fabD//pyrD//cmoM//metF//dmsC//metB//ruvA//carB//rutE//ygeA//garL//metL//araA//ccp//sdhD//recF//cysJ//pfkA//aldA//pncB//folA//bglB//rnpB//rffH//serA//arsC//puuD//dgkA//nadA//pdxA//purA//caiB//phnP//napA//rutC//aceE//sgbU//metH//dmsB//purB//appA//yfdE//aroL//ynfG//cynS//gutQ//glk//tyrB//
CadC_pos	fau//garR//patZ//
CaiF_pos	dsdA//hypF//fadH//fumC//dhaM//
Cbl_pos	ulaG//cheB//recD//bioB//ilvI//
CdaR_pos	malP//purE//argA//umuC//asnA//melA//gatY//gltD//aroG//
CecR_neg	paaH//
ChbR_neg	glyA//nanK//nirD//
ChbR_pos	rffH//murF//paaC//
ComR_neg	
CpxR_neg	astD//fadH//gudD//
CpxR_pos	asnA//thrS//dadA//trpE//ilvM//rtcA//paaZ//icd//nirD//gabD//fumC//eda//cysK//entH//gcd//icd//hycG//rtcB//
Cra_neg	hycC//rutE//ubiA//ychF//aroF//hypF//tktB//idnD//uxaA//yiaK//phnO//rhaA//gcl//pdeF//ldtD//paaG//fucU//phnM//lysA//rffG//bglB//glcB//cmoM//mngB//rhaD//purM//nrfD//moeA//allA//prpC//glgC//truB//puuC//ychF//glgA//eda//yeaE//astA//mhpD//cyoE//napA//speC//aroL//adiA//pdeL//
Cra_pos	torA//uxaA//dhaM//kbaZ//phnH//hemH//argG//lysA//pgpC//trmA//tyrA//ppiA//aroL//recB//gatZ//idnK//serC//
CreB_neg	lyxK//
CreB_pos	astB//
CsgD_neg	glsA//glk//
CsgD_pos	yqhD//queA//alaA//
CsiR_neg	lpxA//wecB//fau//xylA//
CspA_pos	trpD//
CueR_neg	lacZ//uxaB//dkgB//
CueR_pos	moaE//murG//
CusR_pos	cysI//mhpE//ruvB//malP//
CynR_neg	
CynR_pos	upp//srlD//sodA//
CysB_neg	moaD//fumC//tdcE//
CysB_pos	aldB//preT//ruvA//ilvI//frdD//ldtB//rimK//glnA//paaE//ssuD//prmC//srkA//guaA//fadB//
CytR_neg	nrfA//tadA//argE//chbF//citG//purD//citF//gatZ//gntK//glcE//
DcuR_pos	nrdB//ilvG_1//phoA//astE//
DeoR_neg	accD//narI//sgbE//thrS//fabD//hypF//
DhaR_neg	
DhaR_pos	hmp//
DicA_neg	
DinJ-YafQ_neg	nanM//
DnaA_neg	tdcB//argE//dgkA//ahpC//dacC//
DnaA_pos	iscS//mraY//argF//
DpiA_neg	
DpiA_pos	araA//ogt//uxaB//recB//cyoE//
DsdC_neg	
DsdC_pos	tehB//phnH//
EbgR_neg	
EnvR_neg	cyoE//nagB//
EnvY_pos	lysU//ygeA//
EvgA_pos	malZ//phnH//garD//nadC//mhpC//hycD//
ExuR_neg	hcaC//cysN//accA//dsdA//argB//luxS//
FNR_neg	udp//pyrC//pepD//murF//ilvH//metB//metC//yqjH//glcB//sdhB//phnO//ynfE//rutA//gcvT//speB//wecB//paaB//pykF//yeaG//ackA//cdd//nirD//phnO//hemH//ybjG//ugpQ//citF//argB//mhpF//dgcC//accA//phnP//murI//ydcS//puuE//aspC//argD//gcvP//napB//metE//astC//caiD//ndh//alsE//
FNR_pos	rtcA//dmsA//citC//argI//hycD//yeaE//murI//metB//napA//chbG//murI//preA//glmS//glnA//alsE//astD//ttdA//metA//nagB//gapA//cysD//tdcD//rutA//katG//metB//narH//ubiG//pgaC//glcF//asnA//alaA//treC//mltF//uxuB//ldtC//trpD//idnO//nrdB//kbl//accD//fabZ//deoC//tpiA//argG//ldtD//cysI//yqjH//aroF//phnG//astA//sodB//galE//leuA//metB//paaH//sucB//metH//betB//paaZ//mpl//tadA//ppiA//recB//aldB//napG//murG//agp//citG//kbaZ//murC//lacZ//tdcE//mhpF//glgX//ybjG//dgcN//prpC//pgk//sgbU//gcl//serC//pgpC//hemL//codA//dmsA//purC//rhaD//phoA//argF//napG//lpxD//deoA//bacA//glpK//pagP//metA//
