# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	polB//glgP//
Ada_neg	ubiG//purF//
Ada_pos	fadH//srlD//katG//uxuA//
AdiY_pos	fadH//pdeF//nagA//prs//
AgaR_neg	aceB//
AidB_neg	mhpD//
AlaS_neg	metE//
AllR_neg	glpC//rutB//grxA//pheT//metC//sdaA//
AllS_pos	puuE//cynS//rbsD//
AlsR_neg	ahpF//nrdF//phnM//
AppY_pos	galK//trmD//
AraC_neg	ada//paaI//dhaK//astA//treC//
AraC_pos	gcl//glmS//glmU//lysC//folA//lyxK//
ArcA_neg	accD//gloA//hycG//oxc//glgP//phnM//fucA//aceE//yqhD//aceF//pnp//hemL//nrdF//ruvA//argA//nanK//edd//alkA//paaG//aspC//hemL//ugpQ//nrdF//phnG//eda//aldA//nirD//acnB//rffH//deoC//mhpA//alkB//gadA//dhaK//hypB//cysJ//asnB//ilvM//gltX//dkgA//amn//mtlD//metE//aroA//tdcE//dsdA//lyxK//asnA//betB//agp//cynS//gloA//paaY//mtlD//caiC//rhaD//cysJ//entC//paaB//lpxA//murF//dkgB//paaI//chbF//astB//alaA//rutC//ssuD//lyxK//
ArcA_pos	glpQ//ccp//ahpC//fucA//tdcB//nirB//serC//pfkA//dapB//katG//rhaD//sdaA//pdxA//cmoM//ogt//glyA//dkgB//cynS//ampD//hflX//bglB//ychF//metH//ynfG//recF//pdxA//ilvB//ndh//speA//deoB//dhaK//
ArgP_neg	
ArgP_pos	wzc//sodB//pncB//deoC//mhpD//putA//tdh//glpQ//moaA//
ArgR_neg	hycE//tdcE//dgcZ//napB//tpiA//napB//wecE//cysI//xylB//fruK//glyA//ilvB//pgi//rutE//ansB//rutC//adhE//tpiA//
ArgR_pos	nadA//moaD//fadI//glpD//metH//
ArsR_neg	waaZ//allC//
AscG_neg	malQ//folE//
AsnC_neg	cpdB//
AsnC_pos	argH//
AtoC_pos	chbG//glgP//yeaG//
BCCP_neg	purH//
BaeR_pos	ubiC//mltF//
BasR_neg	araA//
BasR_pos	aldA//phnM//
BetI_neg	tdcD//cynT//moaE//
BirA_neg	fadE//allD//tdcG//add//dkgB//
BluR_neg	
BolA_neg	cynS//ilvC//
BolA_pos	citX//gor//
BtsR_pos	speB//
CRP_neg	puuA//pgpC//metA//mraY//uxuB//murE//frc//hcaE//cysN//glgA//rffH//ssuD//rtcB//fau//sufS//tdcG//gcvT//fucO//fadI//waaZ//atoD//ruvB//fucK//fadB//waaH//caiB//feaB//hflX//sgbU//carA//paaF//leuB//mhpA//melA//nrfC//phnO//ubiX//ilvH//hflX//rutC//accC//add//bacA//metA//phnJ//wzb//gatY//avtA//pgaD//lysA//paaI//argC//folE//cysM//glcD//argF//gabD//entH//phnL//prpE//serA//glpC//dapB//prs//trpA//cysM//rpiB//trmA//aldB//adhE//betA//
