# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	nrdA//fbaA//
Ada_neg	glk//ilvB//
Ada_pos	uxaC//fbaA//dkgA//fbaB//
AdiY_pos	ubiC//tpiA//paaI//citG//
AgaR_neg	preA//
AidB_neg	ulaF//
AlaS_neg	paaI//
AllR_neg	uxaB//glk//gutQ//pdeL//citX//glcE//
AllS_pos	wecB//dmsA//kbaY//
AlsR_neg	galM//glmS//deoB//
AppY_pos	glk//mhpE//
AraC_neg	xapA//glpQ//rnpB//polA//mhpA//
AraC_pos	pgpC//deoB//grxA//frdC//epd//trpA//
ArcA_neg	fadH//hyaA//argI//pnp//fucI//dsdA//moaA//epd//pck//ttdA//dkgA//fadB//ilvC//dmsC//ulaE//iscS//nrdE//aceE//bacA//ilvH//phnP//argF//ynfG//mhpF//ahpC//mtlD//dsdA//fadI//lpd//garD//yedX//fabD//napG//rhaA//alsE//paaB//deoD//manA//nadA//lldD//trpE//metK//glcD//prpD//mngB//kbaZ//glpD//glpQ//glcD//tauD//apaH//arsC//phoA//mngB//pykF//waaY//allB//torC//luxS//frdC//ampD//alaS//moeA//citD//argE//moaD//metB//srkA//ada//
ArcA_pos	cysD//idnD//mhpA//citF//gabT//dmsA//pncB//glyA//cdd//fucU//glpC//argB//gcvT//amn//garD//purC//gutQ//dgcC//slt//dusB//rnpB//glmU//nrfA//ilvM//purM//uxuA//puuB//fadI//gltA//deoD//fau//
ArgP_neg	
ArgP_pos	allA//ynfG//deoB//preT//lyxK//argA//phoA//phnM//rfe//
ArgR_neg	epd//melA//bcsB//fadA//cyoE//uvrA//cyoE//gadA//patZ//dkgB//fucI//trmA//murQ//entE//lyxK//fbaA//feaB//pdxA//
ArgR_pos	paaG//ttdB//leuC//gatY//ynfG//
ArsR_neg	ackA//tyrB//
AscG_neg	recF//cheB//
AsnC_neg	dapD//
AsnC_pos	tpiA//
