# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	fadI//serC//
Ada_neg	araD//galE//
Ada_pos	fadM//epd//xdhC//aspC//
AdiY_pos	sucB//uvrA//malP//phnM//
AgaR_neg	ahpC//
AidB_neg	purH//
AlaS_neg	atoD//
AllR_neg	nadB//sbcC//sdhA//fucU//rutD//cdd//
AllS_pos	mhpE//uvrA//nrdD//
AlsR_neg	ilvB//rffT//fucI//
AppY_pos	serA//prs//
AraC_neg	xdhB//gloA//betA//galK//allB//
AraC_pos	atoD//upp//cpdB//amiA//hcaC//polA//
ArcA_neg	metA//gntK//tauD//recD//dgcN//icd//ribA//dusB//gadA//edd//cadA//patD//ulaG//paaG//cysK//arsC//ydcS//dkgB//ynfH//cysK//cysI//ansB//metL//xdhA//ahpF//srkA//ychF//dgkA//leuB//dmsC//accC//mngB//rbsD//srkA//phnP//ppc//lysA//cyaA//argB//pck//codA//serC//mhpE//tdcG//dhaL//leuA//gatD//ogt//garR//fadH//murG//ppsA//wecE//treC//aroL//putA//rfe//garD//paaG//upp//ulaE//nagB//codA//hypF//citD//hcaB//dapB//fabA//caiD//
ArcA_pos	alsE//cyoE//sdhC//uvrA//murD//glcD//gadA//mhpA//ada//betA//paaA//rffT//thrS//eda//argC//recF//ulaG//cysI//fau//rffG//sdhB//glgX//argA//pgaD//aroF//serC//nadC//glpQ//rpiB//bioF//rutD//
ArgP_neg	
ArgP_pos	gcl//fau//folA//chbF//lhgO//purL//frdC//gatY//fabI//
ArgR_neg	alkA//lacZ//gcd//lyxK//hcaB//glpK//murG//rhaB//ascB//pspE//guaA//srkA//ynfG//amiA//mhpC//bacA//glgB//hcaB//
ArgR_pos	cyoE//atoD//hycG//rbsK//mngB//
ArsR_neg	yeaE//waaY//
AscG_neg	leuB//sucC//
AsnC_neg	cysI//
AsnC_pos	lpxD//
AtoC_pos	alkB//dgkA//galM//
BCCP_neg	fadI//
BaeR_pos	accA//lpd//
BasR_neg	paaZ//
BasR_pos	pgaD//cheB//
BetI_neg	putA//galM//ddlB//
BirA_neg	murC//uxaA//malZ//trmD//tehB//
BluR_neg	
BolA_neg	citF//avtA//
BolA_pos	tdcG//rtcA//
BtsR_pos	nagA//
CRP_neg	mazG//entE//speB//entF//sdhB//purF//xdhB//fabI//dhaM//yedX//astE//lsrK//lpd//bioF//ilvB//uxaC//nadB//lldD//ilvN//nrdA//frc//rnpB//aroH//speB//citG//ulaF//uvrC//sucA//nfsB//fumA//nanE//lacZ//lyxK//glk//asnB//atoB//pgaB//deoD//ilvH//gltB//aroH//sufS//tdcD//dgkA//hflX//lsrG//epd//gudD//idnO//argC//alaC//lpxD//pnp//dapD//sdhD//rbsD//chiA//atoB//nfsB//lsrK//bioB//trmD//malS//prs//murE//rhaD//fadD//gnd//adiA//gadA//fucI//
