# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	leuB//tadA//
Ada_neg	icd//fabA//
Ada_pos	puuE//cysD//dgcN//sdhC//
AdiY_pos	nagB//lpxA//ruvA//fdhF//
AgaR_neg	dhaM//
AidB_neg	paaI//
AlaS_neg	metF//
AllR_neg	sodA//ldtC//uvrC//idnD//ppc//uxaC//
AllS_pos	rhaB//hpt//xdhB//
AlsR_neg	sucA//chbF//aceE//
AppY_pos	aceB//rutB//
AraC_neg	nadC//ubiC//sbcD//glgX//paaZ//
AraC_pos	malP//ynfG//tktB//fadA//ilvB//fadJ//
ArcA_neg	rffG//prpD//gadA//murE//folA//gntK//napG//uvrC//pgpC//paaE//napA//fucU//citE//gadA//sdhC//metE//aspC//lldD//gatZ//sgbH//tpiA//slt//prs//xdhB//allE//hycF//pgaD//caiA//pheT//prpB//bioB//glpA//ftnA//ilvG_1//argF//mraY//fdhF//sucB//hpt//hcaF//ssuD//araA//fadH//gltD//apaH//trmD//serC//pdeH//astC//hycD//sucA//glmS//nanE//metA//pheT//mraY//sdhB//murC//pyrD//alsE//trmA//sdhB//fabG//rffM//uxuB//hemH//paaA//puuC//agp//
ArcA_pos	metF//alaC//metH//dhaL//gabT//glyA//astD//mazG//rffG//murI//fabZ//alkA//iscS//yedX//aroG//rffT//aroL//ulaE//glcE//glk//argH//fucO//ydcS//wecC//fabD//eda//metE//apaH//sodB//rbsK//bglB//
ArgP_neg	
ArgP_pos	paaY//prpD//atoD//ldtD//ilvI//cdd//pspE//nrfA//patA//
ArgR_neg	ampC//trpD//pyrD//ldtD//aroH//moeA//pgaD//pgaB//leuC//moeB//mpaA//deoA//ddlB//nfsB//sdhD//avtA//gntK//moaE//
ArgR_pos	argD//gntK//fucA//napA//tktB//
ArsR_neg	trpA//glpX//
AscG_neg	cmoM//moaA//
AsnC_neg	ulaG//
AsnC_pos	acs//
AtoC_pos	atoD//apaH//nrfC//
BCCP_neg	araB//
BaeR_pos	sdhB//sufS//
BasR_neg	ada//
BasR_pos	prmC//citF//
BetI_neg	pgaB//pncB//ribA//
BirA_neg	gadB//glmU//astB//mhpB//glpQ//
BluR_neg	
BolA_neg	moaA//tynA//
BolA_pos	trpD//recD//
BtsR_pos	manA//
CRP_neg	ssuD//napB//glcD//ttdA//ilvC//nrdA//aceE//lacA//gcd//udp//malP//araD//aceE//yedX//bioD//hcp//ilvM//rffC//glcB//aspA//mltF//fabI//accD//recB//relA//fucO//hcp//bglB//adeD//cysK//glgC//gatD//patZ//gadB//fbaB//xdhA//purE//allB//acnA//gpsA//idnK//rffT//dmsA//nrdA//frdB//folA//xylB//sbcC//metL//rbsD//glpX//lsrG//zwf//phnG//polB//polA//metF//tynA//glpB//lyxK//fadB//kbl//sucB//phnP//murC//malQ//ahpC//fdhF//cheR//tyrA//fbaB//
CRP_pos	tyrA//hemL//edd//ilvE//purE//sucD//apaH//paaH//serA//hycE//sgbE//fumA//fabI//fabI//nrfC//ycjG//metH//speB//astE//prpC//pykF//caiB//cpdB//sdaA//frdD//glgP//carA//umuD//pgm//carB//citE//polA//ruvA//nanM//aceF//xdhC//gatZ//sgbE//phnM//idnK//gltB//araB//glpB//tdcG//deoD//nrdB//galE//glpC//speB//cdd//gadB//hcaE//gutQ//pfkA//glgX//rsmH//fucK//nfsA//sdhA//phnO//phnM//purH//gcd//nadB//citX//entB//atoA//umuD//rffM//patZ//cueO//paaY//cysJ//pyrC//ddlB//ppsA//rffT//tdcB//prpB//katE//ulaG//mhpE//rnpB//trpD//fbaB//folE//sdhC//cysN//fabD//gltA//accD//astD//trpB//recB//adiA//araD//rsmH//rutB//prs//xylB//glnA//mnmG//trpE//ssuD//nrfC//glcE//alaC//yedX//gcl//narH//uxaC//ubiA//fumA//puuC//gutQ//pgk//ndh//cysJ//entF//atoA//wrbA//hemF//nrdB//torA//lhgO//gcvH//wrbA//paaY//metC//gpmA//bioA//metL//katE//frdD//ftsI//preT//nrdE//tynA//aldB//yeaG//argI//aroL//dgcZ//lhgO//astD//dhaK//citE//gcvH//sucA//glsA//carB//adeD//dsdA//recD//tpiA//gabD//cysC//nirD//gapA//putA//nanE//uidA//caiC//argF//idnD//xylB//entH//ubiG//gnd//sucD//ttdA//malS//fadE//glpX//citC//gltX//metK//murC//fau//glgX//sucA//queA//arsC//malS//lldD//ruvA//fucU//pgaD//fadE//aroA//prpB//fucK//fruK//fruK//metL//dhaL//dmsA//trpE//waaZ//ung//pykF//glk//alaA//glpE//citC//glcB//waaH//sdhB//rffG//nrdF//oxc//nanE//torA//fucK//rutB//accD//ssuD//napG//glmU//acs//uvrB//galE//cysM//lacA//murE//carA//ilvG_1//glgC//rbsK//nanA//astD//serC//argG//tadA//puuD//carA//carA//ilvI//patZ//gabD//gntK//nrdA//murQ//carA//melA//glpQ//leuD//aspC//speA//
CadC_pos	gapA//pgk//purC//
CaiF_pos	nirB//argH//deoC//cysI//fabG//
Cbl_pos	fucI//pnp//narI//lacA//dsdA//
CdaR_pos	alaC//sucD//uxaC//glgB//paaB//hmp//purF//malY//melA//
CecR_neg	fabI//
ChbR_neg	phoA//cmoM//dmsC//
ChbR_pos	malQ//mhpF//uvrA//
ComR_neg	
CpxR_neg	sucA//fbaB//glpB//
CpxR_pos	nadB//tauD//srlD//mhpF//ulaG//allB//fabB//rffM//hmp//aroA//mpl//ttdB//talA//fabA//hycE//ychF//purH//frdD//
Cra_neg	dgkA//sbcC//astB//citF//pfkA//glmS//glcD//ahpC//zwf//ldtC//mngB//rimK//hemH//entC//purL//ravA//dmsC//mazG//ubiC//recF//galM//deoD//ilvB//pheS//ilvG_1//tnaA//gatZ//prs//hcaC//frdB//aceF//adhE//ulaG//gpmA//fruK//trpB//gapA//eno//purE//hyi//lsrG//hcaC//hypF//chiA//prpB//
Cra_pos	ydcS//sucD//dsdA//cheR//fruK//phnI//phnP//speC//pdeR//xdhC//dhaK//galT//aldA//moeA//ldtB//fbaB//fadJ//
CreB_neg	lacZ//
CreB_pos	phnG//
CsgD_neg	katE//ttdB//
CsgD_pos	phoA//luxS//mazG//
CsiR_neg	sucB//umuD//sgbU//asnA//
CspA_pos	allC//
CueR_neg	metA//gcvH//fabB//
CueR_pos	entD//hemA//
CusR_pos	fabZ//purE//queA//cyaA//
CynR_neg	
CynR_pos	citD//pdeH//hcaF//
CysB_neg	entC//kbl//paaE//
CysB_pos	ldtB//glgP//ahpF//paaE//pspE//phnJ//acnA//sdhB//glgA//narH//ulaF//rhaB//rhaA//kbaZ//
CytR_neg	fucA//fabI//phnM//folA//lysA//glmS//xdhA//frdD//ruvB//ung//
DcuR_pos	feaB//malQ//bioA//atoD//
DeoR_neg	allE//chbF//sucB//ftnA//argH//fumC//
DhaR_neg	
DhaR_pos	feaB//
DicA_neg	
DinJ-YafQ_neg	ybjG//
DnaA_neg	glpK//galM//katG//cheR//pykF//
DnaA_pos	wecC//hycD//lacZ//
DpiA_neg	
DpiA_pos	rffM//rbsD//phnO//cmoM//lysU//
DsdC_neg	
DsdC_pos	murE//phnH//
EbgR_neg	
EnvR_neg	rbsD//lsrF//
EnvY_pos	tdcD//appA//
EvgA_pos	hemH//citG//lysC//ung//dusB//speC//
ExuR_neg	glgA//iscS//ampC//kbaZ//ynfE//cheR//
FNR_neg	pdeR//phnI//speC//gcvH//hyaC//murD//pfkA//purB//aldA//hemL//atoA//fucO//fadE//srlD//glcE//rhaD//ubiA//lsrG//amiA//kbaY//xdhB//ubiG//malQ//glcD//hcaC//alaS//prmC//xdhA//hcp//cdd//alaS//nagA//sbcD//gdhA//sdaA//ftsI//mhpB//bacA//hcaF//hcaC//rffC//bglB//dgcN//icd//
FNR_pos	nanA//hcaC//hyi//mhpE//glpX//sgbH//nanK//sdhB//argB//paaB//nrdD//hyaA//entA//cadA//uvrA//tktB//speC//ndh//metC//hcaE//ddlB//fucI//allB//wecC//sucA//rffC//leuB//glpD//hycD//phnM//fucA//agp//moaE//hcaC//cysC//patD//aldB//dsdA//asnB//lysC//ssuE//gcvT//bcsZ//gudD//sdhB//sucD//ddlB//nadA//sbcD//phoA//recB//alaS//cysN//speA//eno//accD//hypF//dmsB//psd//metL//aroH//guaA//ssuD//hycB//luxS//gcd//aldB//fruK//nirD//cysN//gatY//ldtD//prs//lacA//murF//ogt//dapD//dacC//murC//wecC//fabI//gltB//fumA//uxaC//purB//purC//polA//cysE//fau//argI//ilvE//hyaA//citX//ldtD//eda//glpQ//
FabR_neg	phnJ//narG//ygeA//
FadR_neg	fabZ//cysH//purF//adeD//grxA//carB//trmA//rutB//gpmM//
FadR_pos	citD//cysI//citX//icd//fadJ//gcvH//garD//cpdB//murQ//ahpF//
FeaR_pos	tauD//cynS//
FhlA_pos	purF//hcp//dusB//speA//ampD//argA//argG//fdhF//
Fis_neg	ascB//pnp//adhE//deoD//glpC//acs//gltX//pepD//katE//cysE//ldtC//rutE//paaF//gatD//poxB//deoD//preA//gatD//prmC//chbG//prpC//ssuE//malQ//ulaD//prpB//paaC//aldB//nrfD//rsmH//hemA//rfe//caiB//torA//prpE//ulaE//ugpQ//fadA//hcaC//folA//tpiA//putA//hemA//alkB//glcE//paaZ//puuA//
Fis_pos	mngB//umpH//tpiA//lysU//gcd//glmS//tauD//mhpA//entH//lacA//gltD//edd//cysG//aspC//ddlB//putA//fucI//adiA//galT//fadA//deoA//tam//gdhA//atoA//umuC//iscS//argC//murQ//tauD//phnP//aceB//moaD//malP//fabI//hflX//dsdA//paaK//
FlhDC_neg	phnN//mtlD//
FlhDC_pos	wecC//citC//trpB//rsmH//ung//atoD//murI//malZ//agp//hchA//psd//glpA//
FliZ_neg	hycG//sodB//entE//uidA//ttdA//
FucR_pos	fumA//hcaE//pgpC//yedX//dgcC//torA//
Fur_neg	yeaG//glcD//paaG//pnp//thrS//hcaF//cysD//napH//asnA//atoB//tdcD//ynfE//sgbH//rpiB//ndh//tdcE//nirD//recB//glsA//prs//paaF//fucA//rhaB//srlD//rnpB//paaB//glgB//paaA//citF//dadX//deoA//glcE//xdhA//nrdF//tyrA//gltB//rutC//narG//moeA//nrdF//ilvH//galT//glk//dhaK//yedX//caiB//dgkA//truB//hpt//pck//pncB//pykF//trmD//
Fur_pos	murG//xylA//ybjG//speB//fucU//poxB//glpD//mngB//srlD//tam//phnN//napB//ppc//citC//patD//hcaF//
GadE-RcsB_pos	citC//argC//caiD//metC//metH//
GadE_pos	glpA//rsmH//wzc//purA//bioD//glgP//metK//fadA//cysG//nrdB//
GadW_neg	hycE//nadB//add//
GadW_pos	phnH//puuE//yeaE//pflB//
GadX_neg	napH//fbaA//
GadX_pos	recF//tdh//tdcB//dadX//tdcD//dgkA//paaZ//lpxA//idnO//ydcS//dinB//
GalR_neg	mdh//fadD//mpl//trpA//rsmH//gloA//
GalR_pos	frc//caiD//ilvC//umuD//
GalS_neg	prs//preT//sucB//fabA//iscS//guaB//
GalS_pos	mhpC//ilvH//accC//dacC//
GatR_neg	tadA//pdxA//cynS//
GcvA_neg	hemL//bglB//argH//
GcvA_pos	galE//rffC//gcvT//
GlcC_neg	
GlcC_pos	fadI//aceA//yeaE//
GlpR_neg	glcE//mhpC//ppiA//chiA//lpxC//ilvI//cysE//
GlrR_pos	
GntR_neg	argI//lsrG//ugpQ//ilvG_1//mhpC//aldB//paaH//argI//sdhC//
GutM_pos	glsA//tyrB//gltA//
H-NS_neg	purA//rbsK//glgX//accA//thrS//uvrC//gcvT//pck//metA//prmC//tynA//citC//trpA//dgcC//gpmA//purC//torC//citF//gabT//mhpE//caiB//fabG//ilvH//nanM//nadA//aroL//ilvG_1//sgbU//dadA//alaS//yeaG//paaA//ldtB//murC//mazG//amiA//ahpF//puuA//entC//sbcD//phoA//hycG//garD//phnN//dacC//glxR//malP//ubiG//atoB//rbsK//garD//
H-NS_pos	wzb//ubiX//betB//tnaA//ttdB//ilvE//glgP//chbG//fadH//apaH//yedX//adiA//phoA//xylB//feaB//
HU_neg	preT//ahpF//paaJ//bcsB//cynT//lpxD//umpH//
HU_pos	
HcaR_neg	
HcaR_pos	puuC//allE//
HdfR_neg	
HdfR_pos	
HigA_neg	eda//
HigB-HigA_neg	glpD//
HipAB_neg	glpQ//pgi//
HipB_neg	deoD//moaC//paaZ//
HprR_neg	patZ//ldtB//
HprR_pos	astD//acs//
HyfR_pos	glpC//
HypT_neg	glgC//cynT//
HypT_pos	paaB//nrdF//sodA//rnpB//lysA//
IHF_neg	phnG//uvrB//cadA//hyi//fumC//fabA//aspA//narG//gloA//ampC//ascB//dacC//cmoM//waaH//lsrG//hemA//fumC//tdcD//glgA//argI//cysN//moeA//lyxK//ada//argE//idnD//uvrC//nrdE//rutA//preA//ttdA//aroH//xdhA//fabG//xdhB//mhpC//hcaE//bioB//garL//deoC//frdD//idnD//agp//
IHF_pos	aceE//purD//yiaK//cysM//dinB//katG//gcvH//gdhA//paaC//wecB//srlD//pgaD//talA//frdD//lyxK//phnN//gcvT//feaB//ascB//paaB//aldA//lysU//pdeH//ulaG//phnG//aroH//nanA//nfsB//cyoE//aspC//prpD//atoB//pdxA//yqjH//psd//rsmH//glnA//phnH//argB//allD//recD//mhpA//pagP//uxaB//malP//fabH//fabZ//glk//gltX//bioC//pykF//citG//avtA//sgbU//aceE//dmsA//galK//nanM//fau//icd//phnH//sufS//ubiX//recB//guaB//ddlB//umuD//ugpQ//pdeL//ilvC//purH//
IclR_neg	nadA//sufS//hemH//
IdnR_neg	luxS//serC//
IdnR_pos	lpxD//prmC//aspC//aldB//
IlvY_neg	
IlvY_pos	nanK//
IscR_neg	cynT//ulaG//rffG//entD//rsmA//cysK//
IscR_pos	paaI//accC//
KdgR_neg	glgP//paaC//
KdpE_pos	rutE//
LacI_neg	mhpB//nrfD//phnH//
LeuO_neg	
LeuO_pos	lpxA//phnG//appA//pnp//kbaZ//uxaA//
LexA_neg	putA//gadA//pncB//pagP//kbl//hycC//arsC//patZ//fabG//polB//ulaD//yqhD//phnM//dacC//sbcD//wzb//ppiA//trpD//recF//hypB//dhaK//dmsA//moeB//
LldR_neg	udp//bcsZ//
LldR_pos	waaY//rutA//
LrhA_neg	
LrhA_pos	
Lrp_neg	pgm//guaA//dadA//cynT//patD//dhaL//recF//entB//deoC//cysE//dgcN//acnA//kbaY//citD//rutD//eda//adeD//aspA//glgA//ftsI//fabA//argE//glpD//
Lrp_pos	gltA//hchA//alaC//sufS//napG//citX//entA//sucB//puuD//nfsB//purF//pgaD//trpE//ulaF//accD//gadA//ynfE//napA//guaB//treC//
LsrR_neg	galM//umuD//ilvG_1//rsmH//manA//
LysR_neg	
LysR_pos	pgi//
MalI_neg	pfkA//malQ//
MalT_pos	astB//asnA//recF//dkgB//fabG//ynfH//
MarA_neg	idnO//
MarA_pos	metA//gltD//cynT//glcB//cyoE//mpl//pgpC//nirB//dhaK//cheB//glpD//fucO//caiC//trpD//ulaE//yedX//caiA//napA//dapD//gpmA//torC//uvrC//frdA//
MarR_neg	
MatA_neg	metK//
MatA_pos	
MazE-MazF_neg	slt//
MazE_neg	sdhA//
McbR_neg	
McbR_pos	
MelR_neg	hyi//nrfD//
MelR_pos	bioC//dgcZ//
MetJ_neg	nadB//phnJ//tynA//tyrA//uvrB//rfe//alaC//udp//hemA//paaJ//
MetR_neg	idnK//
MetR_pos	nrfD//phnI//deoD//ppiA//
MhpR_pos	rhaD//glpX//gadA//rffM//leuC//ilvA//
Mlc_neg	arsC//prs//lyxK//dadA//
MlrA_pos	ada//
MngR_neg	rutE//caiD//
MntR_neg	fbaB//
MntR_pos	moeA//
ModE_neg	fadA//paaY//cdd//argF//kbl//cyoE//ruvB//ynfH//
ModE_pos	galT//epd//sbcC//allE//luxS//glpE//mraY//uidA//fadA//
MprA_neg	yeaG//pdeF//gatZ//
MqsA_neg	katG//hyaC//
MraZ_neg	purM//alkA//leuD//rffH//fucA//recB//pgm//purH//ycjG//paaE//
MurR_neg	frdA//araB//aceE//
MurR_pos	
Nac_neg	epd//ppsA//deoC//
Nac_pos	argG//nrfA//moaD//gltX//glpC//betB//ung//frdD//
NadR_neg	patZ//cueO//glgC//acs//
NagC_neg	tauD//moaA//waaZ//prs//fabA//acnA//rffH//chbF//astD//argE//tam//nanA//xapA//lpd//asnB//speB//argH//ribA//
NagC_pos	rsmA//fbaA//
