# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	rbsD//patD//
Ada_neg	lpd//ada//
Ada_pos	idnK//recD//trpE//apaH//
AdiY_pos	lsrK//ilvB//napB//icd//
AgaR_neg	idnD//
AidB_neg	allE//
AlaS_neg	lacZ//
AllR_neg	ilvE//glmS//cheB//glgB//purB//fucA//
AllS_pos	paaA//asnA//paaK//
AlsR_neg	waaY//pdeF//talA//
AppY_pos	yedX//argI//
AraC_neg	paaJ//alsE//glpE//deoB//ldtD//
AraC_pos	cysH//hcp//cyoE//hycC//wecE//ackA//
ArcA_neg	relA//entE//fadB//rffM//yedX//tyrB//sbcD//torC//ampC//mpaA//napB//guaA//waaY//aspC//fau//waaZ//aspA//dmsA//tktB//citF//gatD//yiaK//kbaY//ynfF//alkA//tadA//edd//glcF//tynA//xylA//fabD//phr//prpD//nrfD//allD//xylA//nadB//rffG//allC//glmS//kbl//aspA//icd//dhaK//prpB//gloA//fucK//xdhC//pheS//malP//alkB//cheB//frdD//frdC//apaH//glyA//carA//prs//ppsA//aceF//uvrB//argB//cynS//tdcB//caiD//cysI//rutE//nanE//argH//
ArcA_pos	uxaB//pfkA//ilvE//gntK//lysA//pepD//nanK//pfkA//frc//uxuA//melA//puuD//queA//cpdB//gabT//ampD//icd//puuE//garR//lsrF//phnJ//pck//guaB//gatZ//chbF//glyA//ada//nanA//nrfA//waaZ//puuD//
ArgP_neg	
ArgP_pos	gadB//fumB//lldD//cyaA//pgm//galT//mhpE//aldA//phnJ//
ArgR_neg	glyA//ulaD//trpE//purB//folE//paaC//yfdE//rsmA//puuD//ilvA//tdcE//malP//mltF//gpsA//pnp//narG//serC//hycG//
ArgR_pos	glgC//chbF//paaY//rnpB//sgbE//
ArsR_neg	entD//caiD//
AscG_neg	ilvB//rnpB//
AsnC_neg	narH//
AsnC_pos	uxuB//
AtoC_pos	sdhB//entE//rutC//
BCCP_neg	polB//
BaeR_pos	rpiB//sdhB//
BasR_neg	hemF//
BasR_pos	fadM//recD//
