# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	allA//ampD//
Ada_neg	dgkA//mhpA//
Ada_pos	ppsA//aroA//amiA//rsmH//
AdiY_pos	entH//sucD//pnp//add//
AgaR_neg	uxuB//
AidB_neg	glgX//
AlaS_neg	glpQ//
AllR_neg	ychF//pgm//glcD//caiA//argB//ubiX//
AllS_pos	glcB//allA//phnN//
AlsR_neg	adeD//katE//pyrD//
AppY_pos	purH//arsC//
AraC_neg	gntK//aceE//caiC//dhaK//gpmA//
AraC_pos	ascB//puuA//glxK//thrS//leuB//aceE//
ArcA_neg	ilvN//cysM//accD//icd//fabB//manA//ynfE//glpE//xylA//garR//umuD//uxuA//poxB//mazG//leuC//pykF//avtA//pepD//prs//napH//pgaD//nrfC//adiA//ldtC//nagB//glgP//chbF//rutB//cynS//glpA//trpD//speB//puuE//fabA//gabT//fadH//gabD//melA//ccp//dkgA//rtcB//caiD//ydcS//dhaL//pdeF//treC//moaE//gutQ//pdxA//ssuE//speC//phnP//adiA//cyaA//ada//dgcN//cheB//dadX//ulaD//mhpC//waaH//hcp//purB//glxK//avtA//glpB//pheS//hcaF//gcl//
ArcA_pos	rnpB//trpB//yedX//dkgB//serA//glyA//rffM//aceE//umpH//hemH//glmS//mdh//gdhA//ilvC//ilvN//dgcN//gltD//entF//malZ//hchA//malQ//xapA//sgbU//bioA//guaB//katG//srlD//accC//ssuE//fucI//puuC//
ArgP_neg	
ArgP_pos	uvrC//lsrK//glxK//argI//entH//argH//gltB//dapB//putA//
ArgR_neg	umuD//recD//wecB//astE//purD//lhgO//puuD//truB//lldD//gapA//nrdD//glpD//apaH//mhpB//relA//tdcG//prpD//cyoE//
ArgR_pos	ttdB//pck//fabZ//srkA//codA//
ArsR_neg	rsmH//bioB//
AscG_neg	pheT//recB//
AsnC_neg	entA//
AsnC_pos	dmsB//
AtoC_pos	gabD//xapA//aceB//
BCCP_neg	nrfC//
BaeR_pos	glcE//ubiG//
BasR_neg	pyrC//
BasR_pos	glpX//talA//
BetI_neg	dadA//nemA//hcaD//
BirA_neg	psd//frdB//paaI//cueO//hycD//
BluR_neg	
BolA_neg	ttdB//glpX//
BolA_pos	sbcD//feaB//
BtsR_pos	gltD//
