# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	pdeL//fabD//
Ada_neg	murF//fruK//
Ada_pos	ulaE//nanA//pnp//phnM//
AdiY_pos	araD//hcaB//gapA//preA//
AgaR_neg	caiB//
AidB_neg	iscS//
AlaS_neg	asnA//
AllR_neg	glpQ//trmA//cyaA//moaC//dusB//uvrB//
AllS_pos	trpC//rffM//ahpF//
AlsR_neg	nadA//hycD//fadM//
AppY_pos	mpl//gcvH//
AraC_neg	pagP//ogt//yeaG//xdhB//atoB//
AraC_pos	trmD//yeaE//alaS//xdhC//caiB//hemL//
ArcA_neg	alaS//lpd//pgaC//ppiA//dgcZ//hemA//sufS//ssuD//lpxD//frc//ilvN//ubiC//caiA//trpA//paaJ//aroA//hcaC//pdeL//gpmM//gltX//moaA//hypF//cysD//pncB//entH//pgaB//ilvD//mhpA//thrS//chbF//putA//ilvB//glpQ//dkgB//recB//alaS//astC//galM//metE//tpiA//moeB//hchA//uvrC//arsC//phr//moaA//garL//pyrD//edd//yiaK//puuC//betB//dmsC//icd//deoC//fucI//atoA//tdcG//tdh//paaJ//phnJ//aceB//argA//tehB//acs//uvrB//pck//fadJ//paaB//
ArcA_pos	sdhA//uxuB//fabZ//galE//epd//xapA//uxaA//fumA//pykF//dacC//moaC//gpmM//tdcE//glk//frdB//purC//glgP//lacA//sdhA//xylA//paaK//fadM//amn//sgbU//glpQ//fabH//hcaD//adeD//gltD//ddlB//acs//
ArgP_neg	
ArgP_pos	rutB//sbcD//hcaC//entD//purN//queA//uxuA//purK//putA//
ArgR_neg	torC//mdh//glpK//rffG//wzb//ruvB//hemF//atoB//ubiA//malP//mhpD//argI//yqhD//dgcN//katG//aceF//sgbE//murG//
ArgR_pos	cysK//cysD//glgX//astD//fadA//
ArsR_neg	glpE//fabZ//
AscG_neg	dgcN//tnaA//
AsnC_neg	carB//
AsnC_pos	hcaC//
AtoC_pos	betB//narG//feaB//
BCCP_neg	ychF//
BaeR_pos	uvrB//sdhD//
BasR_neg	treC//
BasR_pos	ogt//ynfG//
BetI_neg	cheB//phr//aceB//
BirA_neg	entF//hypB//aldB//lsrG//paaK//
BluR_neg	
BolA_neg	dusB//fau//
BolA_pos	alsE//wecC//
BtsR_pos	napH//
CRP_neg	dadX//prpE//accA//fumC//paaF//agp//mraY//deoA//leuA//gcl//dmsB//sodB//cysD//ssuD//yfdE//mazG//trpD//pgaB//tyrA//lsrG//putA//nrdD//murF//ugpQ//dgcZ//nrfD//sdhD//betA//metF//lpxC//lldD//purK//mhpC//rpiB//murG//paaF//pgpC//purK//citX//asnA//napH//hemA//xylA//araD//tdcD//uvrC//melA//dinB//cheR//xdhC//wecC//yeaE//bioD//psd//argG//hcaD//fadH//srkA//sufS//dgcN//fruK//putA//phnG//nanM//deoA//accA//lpd//gatY//pflB//phr//napB//
