# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	tyrA//add//
Ada_neg	cyoE//cysK//
Ada_pos	gatZ//ampC//pyrD//entA//
AdiY_pos	cysD//astA//metF//ulaF//
AgaR_neg	gatD//
AidB_neg	ynfE//
AlaS_neg	paaK//
AllR_neg	glpX//puuA//ydcS//pgaC//ascB//trpB//
AllS_pos	waaH//mhpB//bcsZ//
AlsR_neg	purN//xylB//uvrB//
AppY_pos	rfe//argC//
AraC_neg	argG//nirD//ackA//tpiA//tdcB//
AraC_pos	xapA//citD//gabD//glpK//polB//gatY//
ArcA_neg	pck//caiA//alaC//rsmA//acnA//add//nrfA//fadD//recD//xdhC//slt//nagB//murG//wzc//puuD//torA//narG//add//mhpE//mnmG//aceA//gcd//glpQ//dgcZ//serC//allC//dhaL//glpC//paaI//dapB//prs//ssuE//nrfD//paaF//metF//rtcB//ttdA//murD//ubiC//paaE//puuA//purE//ilvE//dhaK//allB//purF//torC//pykF//dusB//pnp//wzb//bglB//murQ//aceA//glpC//ogt//alaC//uxaA//lsrG//alkA//dmsA//mhpF//moaE//pgaD//ssuE//dkgA//citE//tnaA//hycF//
ArcA_pos	phnG//purL//fabI//malZ//paaA//phnJ//alaC//argI//cdd//purD//patZ//serC//murE//wzc//sgbH//glsA//lldD//prpE//rutC//glsA//tdcD//ilvC//ilvD//deoD//ubiA//pdeR//tadA//ogt//pdeL//glgA//ulaG//
ArgP_neg	
ArgP_pos	ubiX//ampC//fadH//galT//hpt//codA//gloA//ansB//paaY//
ArgR_neg	uxaC//gcd//mltF//wecB//hcaC//hycG//fadD//ttdA//rffM//ydcS//lhgO//metH//thrS//dadX//melA//garR//prs//mhpA//
ArgR_pos	alsE//cysI//gcd//rnpB//hpt//
ArsR_neg	atoA//pdeR//
AscG_neg	lacA//iscS//
AsnC_neg	fumC//
AsnC_pos	dadA//
AtoC_pos	ada//prpD//aceF//
BCCP_neg	guaB//
BaeR_pos	rhaB//dadA//
BasR_neg	pgaC//
BasR_pos	hmp//malS//
BetI_neg	fumB//bacA//fucA//
BirA_neg	prpC//trpC//dusB//alkB//ung//
BluR_neg	
BolA_neg	arsC//rhaA//
BolA_pos	metL//frdD//
BtsR_pos	treC//
CRP_neg	malZ//ilvD//dgcZ//caiA//phr//ccp//gadA//carB//entE//folE//hypF//gcvP//hcaC//cysN//avtA//rimK//galE//alkB//narG//moaE//ssuD//ada//puuB//tktB//gpmA//sdhC//oxc//gabD//hflX//mraY//sbcD//dinB//rbsK//astB//cysI//xdhC//ilvC//yeaE//gudD//aldB//bioB//prmC//yeaG//prpD//prpB//paaG//upp//feaB//fadA//hycE//tadA//treC//bioF//purB//hypF//argH//rsmA//allC//narG//umpH//fabG//cysC//dkgA//cueO//gpmM//gatZ//ldtC//pdeF//sucD//lyxK//torA//
