# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	fucU//gcl//
Ada_neg	hycF//cysK//
Ada_pos	pyrD//nrdA//hycF//pdeH//
AdiY_pos	purE//alkA//xdhB//yedX//
AgaR_neg	mpl//
AidB_neg	gltA//
AlaS_neg	hycB//
AllR_neg	gabT//alaA//napA//entF//ynfH//pgaC//
AllS_pos	hcaF//edd//phnG//
AlsR_neg	moaE//allC//accA//
AppY_pos	murI//phoA//
AraC_neg	hcaD//pgaB//sodB//puuC//araB//
AraC_pos	fadM//gntK//oxc//rutE//serC//uxaB//
ArcA_neg	acs//cysK//gcd//phr//asnA//cmoM//cdd//ugpQ//allD//ppsA//napH//polB//fucU//citF//hycC//napA//yeaG//recB//patA//fucK//pgm//metK//dusB//agp//hchA//paaK//malQ//ndh//rutB//recD//fruK//accA//rtcB//pncB//fumC//aroG//frdC//yfdE//ynfF//zwf//sdhC//recB//ilvH//gltD//metC//rutA//ynfG//mpaA//cyaA//gloA//ppsA//dmsA//pgaB//alsE//ynfG//paaY//tdh//hemL//argE//pepD//pdxA//cheB//udp//lacA//gatD//paaC//pagP//speA//tdcD//
ArcA_pos	lsrG//frdD//argC//polA//trmD//nirB//accA//sdhC//udp//cysG//lysU//carA//metK//ygeA//rffC//pyrD//gadA//metC//nrfD//glpE//trpD//pgaC//acs//lpxD//katE//hycD//caiA//gltA//mtlD//ilvE//accC//
ArgP_neg	
ArgP_pos	glpD//cueO//torA//rhaD//patA//gnd//tdcE//metE//nrfC//
ArgR_neg	hcaF//lyxK//guaA//glpQ//hemL//fabH//carB//ruvA//prpD//rffT//lpxD//moaE//cysN//polA//agp//dadX//narG//hycG//
ArgR_pos	argD//ppsA//appA//narI//nanA//
ArsR_neg	araB//cysN//
AscG_neg	dgkA//aceF//
AsnC_neg	rutA//
AsnC_pos	rfe//
AtoC_pos	rnpB//ppiA//rfe//
BCCP_neg	aroA//
BaeR_pos	fabH//uxaC//
BasR_neg	ftsI//
BasR_pos	pdeR//ubiG//
BetI_neg	appA//argB//hchA//
BirA_neg	nrdA//pncB//caiC//ulaD//fadM//
BluR_neg	
BolA_neg	cysI//srkA//
BolA_pos	moaD//purK//
BtsR_pos	argI//
CRP_neg	ampC//malZ//fabH//cyaA//betA//pdeF//fbaA//frc//sgbH//nagA//nrfC//napB//aroG//sbcD//ulaF//ppc//mraY//fumB//gor//ynfG//melA//mhpA//ldtB//kbl//feaB//waaY//aldA//fbaB//cmoM//hpt//frdD//bioF//grxA//leuB//hcp//glsA//hcaE//recD//moaE//hycB//cynS//ppsA//purD//mdh//wecE//hcaF//argG//ubiA//adiA//entF//slt//ygeA//glgB//trpA//trmA//hflX//malY//iscS//galT//mhpB//aceE//leuD//sbcD//ogt//sdhD//sucA//moaC//ilvN//xylB//ampD//trpA//
CRP_pos	mngB//nrdD//cmoM//dapD//gatD//caiC//lpxC//cyaA//malY//puuA//glmU//dadA//cysD//phnI//glgP//atoD//gor//pflB//mdh//nanM//pgi//araB//lacZ//fadB//citD//metB//chiA//tynA//wrbA//gpsA//polA//nirB//allB//rffC//acnB//sdhD//metF//citC//preT//murI//metK//ynfH//gpmA//tpiA//accA//zwf//sufS//rffG//pgpC//paaZ//ppc//sdhD//glpQ//caiA//tpiA//ppc//fumA//glcB//metA//puuB//phnO//luxS//pgi//katG//astD//paaC//paaK//fabG//gloA//ruvA//tadA//dinB//add//glpC//ribA//dapD//tauD//nrdD//galT//edd//purA//serC//narG//ubiC//ndh//ilvD//ampD//purA//glyA//folE//wecC//asnB//nirB//hypF//purN//moeA//polB//cheB//yeaG//uxaA//lsrF//wecC//gntK//malQ//glpQ//phr//malQ//ampC//allC//hcaE//sdaA//argA//glpQ//hyaB//paaF//bioB//gpmM//torC//astB//ftnA//purD//aroF//paaB//glpB//carA//gadA//paaH//lpxD//paaB//wzb//leuC//treC//chbF//katE//sucC//pheT//lpxC//narG//pgi//tadA//fbaB//tdcB//nemA//phnO//nrdA//nagA//avtA//srlD//pflB//rhaD//dmsB//hycC//nrfA//phoA//alkA//nrdA//mazG//entE//oxc//glcB//edd//ulaF//rimK//cysC//hyi//ruvB//moeA//yeaE//garD//tdcB//phnG//lpxD//argF//tdcD//adeD//cysJ//cheR//rhaB//sgbU//murQ//rtcB//oxc//ulaE//ppiA//asnA//hchA//ilvH//nanM//pgi//gadA//ndh//gadB//fabB//tyrA//dhaK//serA//ynfG//nanE//alaC//fadB//dhaL//ynfF//cysE//yiaK//ynfH//sucB//tnaA//zwf//argF//malQ//ppsA//garK//gpsA//glxR//polA//araB//narI//malY//ada//fbaB//rffG//patZ//truB//glcE//lacZ//gutQ//yedX//hyaC//napB//acnA//pdeF//rutD//gpmM//deoA//mhpC//leuA//fabZ//nemA//pdeR//mpaA//trpA//aroL//rbsD//mhpF//adiA//moeB//fadJ//ilvB//ynfH//
CadC_pos	napH//atoA//ribA//
CaiF_pos	nrdE//phnL//metF//sgbU//cysE//
Cbl_pos	allE//rfe//nanE//yqhD//frc//
CdaR_pos	tam//cpdB//mraY//lpxC//nrfD//puuE//pdeH//xapA//rhaB//
CecR_neg	purA//
ChbR_neg	mhpE//napH//sdhA//
ChbR_pos	aldA//fes//fes//
ComR_neg	
CpxR_neg	hchA//luxS//rffM//
CpxR_pos	wecE//fadD//nadC//grxA//metL//codA//fabZ//atoB//gcvT//gatZ//ndh//dapD//rutE//hyaC//ppc//yqhD//fadE//rhaA//
Cra_neg	pgpC//paaI//ilvH//ahpC//gatZ//wzb//gabT//caiC//hcaD//fau//nanE//waaH//caiB//argB//mpl//prpC//cueO//hcaB//dapD//gnd//fdhF//tyrA//entB//ftnA//folE//glpQ//ynfH//hemH//fumC//purB//pgaD//fabD//cysD//nanM//ung//rutD//ilvE//ldtC//fabH//glcD//nanK//hcaC//bioF//bioB//mpl//
Cra_pos	astC//trmD//prs//paaB//yeaE//aceF//atoD//dapB//paaH//feaB//ftsI//amn//dhaM//pheS//nanK//paaK//malQ//
CreB_neg	trpB//
CreB_pos	ydcS//
CsgD_neg	paaI//nrfC//
CsgD_pos	queA//cysC//prs//
CsiR_neg	feaB//rfe//ynfG//sucD//
CspA_pos	srlD//
CueR_neg	glgC//kbaY//polA//
CueR_pos	sucA//hcaE//
CusR_pos	pgaD//nagB//phnG//murG//
CynR_neg	
CynR_pos	nanA//prpC//xapA//
CysB_neg	sbcC//grxA//cysD//
CysB_pos	chbF//tauD//glpD//deoB//dgcN//sdaA//treC//aceF//pgm//galM//nrdB//gpmA//hcaC//idnO//
CytR_neg	recB//yqhD//trpA//patA//adhE//lacZ//betA//galE//fdhF//trpE//
DcuR_pos	atoD//dhaK//xdhC//malY//
DeoR_neg	pspE//ruvA//hflX//kbaY//bcsB//nfsB//
DhaR_neg	
DhaR_pos	paaF//
DicA_neg	
DinJ-YafQ_neg	lsrF//
DnaA_neg	patA//cysH//ulaD//tdcB//rutB//
DnaA_pos	rtcA//amiA//mtlD//
DpiA_neg	
DpiA_pos	purN//hypB//citC//pdxA//dusB//
DsdC_neg	
DsdC_pos	glpA//glcF//
EbgR_neg	
EnvR_neg	citF//frdC//
EnvY_pos	citF//purA//
EvgA_pos	yqhD//sgbH//ydcS//feaB//gltD//pdeF//
ExuR_neg	fucI//murQ//ubiA//malP//kbaY//ilvI//
FNR_neg	glpK//moaD//purN//ulaD//pflB//atoA//pyrD//tnaA//uxaA//mhpE//dmsA//malY//dapD//ubiC//ynfH//glcF//ynfE//rffH//sdhA//patA//ftnA//ampD//ansB//cysH//pagP//aroL//prpE//phnH//metE//acs//purN//purM//astE//garR//gabT//ilvN//rbsK//dsdA//metK//phnL//nadA//bcsB//dusB//malS//
FNR_pos	purL//hycF//fucA//araB//gcl//dsdA//sdhA//entH//asnB//nagA//paaI//pflB//waaY//eno//ilvE//udp//moaE//umuC//nagA//allD//add//aroA//lysA//dhaL//aroG//pfkA//uxuB//malZ//moaD//wzc//caiD//dmsA//trmD//moaC//feaB//puuC//fabZ//amiA//galT//ilvC//deoD//feaB//araD//uxaB//dmsA//epd//glpD//moaE//ruvA//sdhA//pgpC//ampD//aceF//fadB//tyrA//ppc//galK//trpE//xapA//dapB//hyi//allC//purH//ndh//phr//astA//ybjG//sbcC//ulaF//fumA//cysK//uxuA//allE//glpQ//appA//phnL//atoA//dacC//glcD//glcE//ahpC//leuB//gatZ//mpl//xylB//torA//trpB//glgC//uvrA//waaZ//hypB//prpC//hycD//cysE//hcaF//slt//
FabR_neg	hcaE//entA//pdeH//
FadR_neg	argB//patD//cysN//sbcD//ackA//aspC//glpD//paaK//ldtB//
FadR_pos	gor//nrfD//tdcB//purF//paaC//melA//prpB//galT//hycD//fadI//
FeaR_pos	speA//accD//
FhlA_pos	hmp//araD//leuD//astD//ftnA//ndh//nemA//malY//
Fis_neg	pdxA//pheT//adiA//leuA//mpaA//lsrF//argG//deoB//frdA//araA//dhaK//lysC//nrdF//accA//mltF//atoB//gnd//ybjG//entA//ppsA//araD//gcd//malY//cysN//aroA//rhaD//adeD//umuD//nrdE//pheT//aceF//umuC//ldtD//glk//glgC//glpE//umpH//argB//bcsB//eno//frdC//cdd//glcE//idnD//rbsK//tdcB//
Fis_pos	metC//araB//metA//dgcN//wecE//fucO//nrdA//paaZ//ulaD//hycG//trpC//caiD//xylA//treC//fucU//metB//fbaB//xdhC//hyaA//paaA//ldtD//srkA//aceB//gatY//citE//metL//dsdA//ubiA//araA//galK//frdC//paaK//napH//fruK//rhaD//ogt//ssuD//
FlhDC_neg	dgkA//tnaA//
FlhDC_pos	paaF//galT//cyaA//torC//nirB//patD//rpiB//fes//guaA//waaZ//allC//narH//
FliZ_neg	wecC//tpiA//pyrC//metF//paaC//
FucR_pos	dmsB//moaC//pgm//sdhA//argB//mhpE//
Fur_neg	uxuB//alkA//upp//argG//trmD//rpiB//murG//glgB//oxc//gor//citE//alaC//ychF//alaA//betA//leuC//deoB//waaZ//polA//ppsA//cynS//acnB//thrS//argF//purA//agp//xdhA//aceA//tam//ulaD//araA//hypB//malP//ansB//ldtC//uvrB//uxuA//gnd//dgcZ//lacA//moeB//manA//fabB//gcvP//acnB//dhaM//pgpC//purB//wzb//prpC//ahpC//patD//metL//
Fur_pos	purL//ulaD//murE//phnO//rsmA//frc//puuB//adiA//puuA//betA//putA//dgcZ//xdhA//kbaZ//leuD//guaA//
GadE-RcsB_pos	citF//glpK//gcl//torC//tdcG//
GadE_pos	mltF//glyA//gltB//phoA//cysK//wzb//ssuD//lpxC//ydcS//talA//
GadW_neg	hemL//ilvM//sufS//
GadW_pos	argF//tauD//hycB//araA//
GadX_neg	fadJ//mhpB//
GadX_pos	kbl//hycG//codA//umpH//entB//lacZ//purC//malZ//tdcD//lsrF//gcl//
GalR_neg	yedX//frdB//yiaK//mdh//rsmA//xdhB//
GalR_pos	entA//ampC//lysU//queA//
GalS_neg	caiD//ndh//xylA//glpE//gcvP//accD//
GalS_pos	gltX//lysC//metB//gatZ//
GatR_neg	phnI//nanE//speC//
GcvA_neg	garD//rffM//cysJ//
GcvA_pos	glpA//araA//sucD//
GlcC_neg	
GlcC_pos	sdhC//puuA//mhpB//
GlpR_neg	alkA//gltB//rffM//lpxC//gadB//pdeH//ravA//
GlrR_pos	
GntR_neg	puuC//mnmG//pyrC//hcaC//bglB//gpmM//allA//nagA//ung//
