# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	argB//xylB//
Ada_neg	napH//purC//
Ada_pos	argA//tdcE//ppiA//narI//
AdiY_pos	umpH//ilvC//dkgA//leuC//
AgaR_neg	hcp//
AidB_neg	aldB//
AlaS_neg	truB//
AllR_neg	murG//ilvN//glpX//wzc//entF//puuD//
AllS_pos	argI//glk//puuA//
AlsR_neg	tynA//purN//polB//
AppY_pos	citG//galK//
AraC_neg	hflX//hyaA//talA//gcvT//chbF//
AraC_pos	nfsB//waaZ//ynfE//aspA//rhaA//ubiX//
ArcA_neg	eno//bioD//lysU//purK//moaA//fumC//garK//alkA//ssuE//icd//phnG//pncB//melA//ybjG//waaZ//hypB//hyaC//arsC//phnO//bioB//ung//glsA//glsA//paaY//rffH//puuD//malY//hemA//nirB//putA//gadB//metL//ftnA//ydcS//glgP//nrfC//uidA//atoA//fes//prs//paaK//paaF//moaC//lacA//narI//glpA//rutB//murF//dgcZ//apaH//pgpC//ydcS//preA//entC//aspA//glyA//leuC//hpt//lsrF//paaA//bioA//speC//fau//amiA//glsA//lpxD//argF//allB//mnmG//
ArcA_pos	purF//glpB//cysJ//glpX//appA//uvrC//xapA//rbsD//lysC//aceA//fumC//nfsB//caiD//wzc//gadB//waaY//hcaC//nadC//lpxC//prs//allA//sgbU//paaF//pfkA//allD//hycE//metH//aspC//citE//queA//guaB//
ArgP_neg	
ArgP_pos	galT//metL//gatZ//aceF//lpxD//citD//cysE//astB//lpd//
ArgR_neg	aroH//ilvD//katG//gnd//gor//araA//phnG//rimK//adhE//paaA//napG//deoB//atoD//xapA//gntK//amn//nrdE//phnI//
ArgR_pos	aldA//caiD//frdD//gcvT//purC//
ArsR_neg	nrfA//recB//
AscG_neg	patD//sdaA//
AsnC_neg	gor//
AsnC_pos	nrdE//
AtoC_pos	umuC//phnH//lsrK//
BCCP_neg	sgbE//
BaeR_pos	ppc//caiD//
BasR_neg	pykF//
BasR_pos	citX//mhpD//
BetI_neg	hemF//argD//yeaG//
BirA_neg	speA//purK//citF//tyrA//cmoM//
BluR_neg	
BolA_neg	puuC//slt//
BolA_pos	dapD//dinB//
BtsR_pos	lpxC//
