# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	pykF//speB//
Ada_neg	aldA//iscS//
Ada_pos	nrfC//codA//kbaZ//pdeL//
AdiY_pos	ccp//tdcG//lysA//ldtD//
AgaR_neg	allC//
AidB_neg	puuA//
AlaS_neg	glcF//
AllR_neg	argD//sdhA//dgcC//ilvC//rffG//fumB//
AllS_pos	mdh//hemH//xdhA//
AlsR_neg	aspA//nemA//fabD//
AppY_pos	pheS//prpB//
AraC_neg	pheS//purN//napG//cyaA//pheT//
AraC_pos	puuC//nanE//amn//galE//yfdE//kbl//
ArcA_neg	ccp//moeB//kbl//ruvA//tdcB//guaA//ilvG_1//astC//asnA//argE//rhaD//melA//paaE//glk//gpmA//mpl//idnK//sdhA//xylB//alkB//citX//ruvA//atoB//gltX//phr//argG//hemL//kbaZ//ynfE//glpQ//pgaD//uvrC//glmU//uvrB//ppiA//chbG//pflB//mpl//fadM//manA//ilvM//preA//fadJ//aspA//udp//treC//purE//hypB//sodB//alaS//napB//caiD//allA//moaC//garK//moaD//gltD//alaS//umpH//guaA//feaB//udp//gatZ//ilvH//dhaK//nrfA//araA//malQ//cysD//
ArcA_pos	cpdB//cysD//phnN//nrdE//uvrA//torA//hemL//argA//hyaB//pgaC//lyxK//argB//nrfC//gpmM//ung//ilvI//pgaC//uxaC//gudD//xapA//paaA//katG//asnB//caiB//pgaB//purF//prmC//nrdB//fucI//idnO//aceF//
ArgP_neg	
ArgP_pos	ada//ubiC//glgB//gabD//betA//ruvB//melA//yedX//nirB//
ArgR_neg	malY//metH//putA//frdD//gcvH//rimK//gatY//trpA//aceE//nrdA//pagP//gudD//folE//ilvD//srkA//ldtB//murC//trpE//
ArgR_pos	manA//yfdE//xapA//pgk//citF//
ArsR_neg	phnL//fumB//
AscG_neg	phnO//glpC//
AsnC_neg	nrdB//
AsnC_pos	melA//
AtoC_pos	argI//srkA//astD//
BCCP_neg	garK//
BaeR_pos	ravA//gabT//
BasR_neg	nrdA//
BasR_pos	wzc//ybjG//
BetI_neg	frdC//ruvA//sdhB//
BirA_neg	gnd//glgA//gpmA//gnd//dhaM//
BluR_neg	
BolA_neg	hcaF//icd//
BolA_pos	paaH//mpaA//
BtsR_pos	bioB//
CRP_neg	mhpB//cueO//cadA//paaZ//prs//cynS//pgaC//dgkA//glxR//putA//rutB//rutB//nrdD//pgk//gpsA//aroL//udp//glyA//rffT//carB//glpQ//dusB//murF//uxaA//sdaA//araD//aceB//gpsA//acnA//garD//entF//ydcS//adiA//argE//frdB//aceA//paaG//fadD//gdhA//rutE//murI//alaS//hyaC//citC//udp//glpK//epd//frc//citX//gpmA//murF//waaY//adeD//gpsA//ulaE//acs//nirB//purK//moaD//glgA//phnI//glmS//prpC//sucD//citD//speC//phnL//acnB//psd//add//atoD//
