# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	fucA//mpaA//
Ada_neg	glnA//rffC//
Ada_pos	acnB//eda//putA//yqhD//
AdiY_pos	sucD//moeA//dgcN//fadA//
AgaR_neg	guaA//
AidB_neg	appA//
AlaS_neg	waaH//
AllR_neg	ubiX//ugpQ//hyaA//rpiB//ackA//murQ//
AllS_pos	ansB//nrdF//icd//
AlsR_neg	pheT//ilvA//ppsA//
AppY_pos	glgP//ribA//
AraC_neg	argD//tktB//mhpF//waaH//polA//
AraC_pos	ilvC//ada//mngB//prpE//argF//aspA//
ArcA_neg	fdhF//pdxA//pdeH//astE//hycE//astC//sdhC//trpC//pgi//ascB//malY//ldtD//tam//rhaA//polB//tnaA//malP//pflB//sdhD//glmS//ilvA//kbaZ//pncB//hmp//idnD//rffG//guaA//ravA//nrfD//ravA//nrdD//xylA//dhaL//ubiG//ilvB//glpB//hyaC//wecB//fadE//nanA//ygeA//murQ//recD//cysM//paaK//entE//metK//purM//ubiX//nrfC//dhaL//moaD//frdD//fadA//ndh//glpQ//ilvE//lpxC//tyrB//cynT//yqhD//dapD//argB//nadA//dinB//polB//lldD//bioF//uxaA//
ArcA_pos	dgcN//mhpF//cysJ//purK//phnM//atoA//caiC//hyaB//tdcD//bioA//glpQ//rimK//cynT//waaH//ppc//glpC//pnp//prpB//prpD//lyxK//phnO//avtA//aceE//phr//yedX//hycF//wecB//cyaA//aspA//ung//cysE//
ArgP_neg	
ArgP_pos	fbaB//cueO//cheB//frdD//amiA//cysC//nadC//sufS//hcp//
ArgR_neg	phnH//trpE//glpQ//trpA//gpsA//glcE//rbsK//aroG//polA//preT//alsE//yeaG//ilvE//rffM//cysK//yiaK//lpxD//aldA//
ArgR_pos	garL//ychF//guaB//dkgB//fabB//
ArsR_neg	citG//fes//
AscG_neg	sucD//ssuD//
AsnC_neg	argG//
AsnC_pos	accC//
AtoC_pos	sucC//sdhA//icd//
BCCP_neg	nrfC//
BaeR_pos	katE//apaH//
BasR_neg	garR//
BasR_pos	mpaA//malS//
BetI_neg	nfsA//murQ//moeB//
BirA_neg	xdhA//yiaK//entA//rhaB//tynA//
BluR_neg	
BolA_neg	puuC//fadE//
BolA_pos	waaY//arsC//
BtsR_pos	bioA//
CRP_neg	carA//yeaE//metK//aroL//sdhA//frdB//kbaY//gcl//glgA//ttdA//fumA//entA//fucU//citX//aldB//purA//rffH//yedX//lpxD//glpA//hemF//gatD//rbsD//allD//phoA//aroH//glpE//aceF//cmoM//wzc//fbaA//dgcN//purA//cmoM//ttdB//ydcS//metB//xdhB//ilvM//nrfD//ilvE//metB//aroF//mhpE//ada//lpd//gadB//moaA//gltB//serA//gnd//uvrB//metF//cynS//pyrD//avtA//manA//prpC//hflX//cysE//epd//chbG//galK//ugpQ//luxS//dhaL//alsE//preA//pncB//malQ//fabZ//
CRP_pos	thrS//glpD//mraY//sgbE//gutQ//rutB//ilvD//lsrF//rutB//glpB//pspE//phr//rbsD//rimK//rtcA//fadB//guaB//nrdA//hycG//fumC//pdxA//lacZ//uxuA//metE//phnP//puuB//metH//gatY//purM//fadJ//hcaE//metK//caiA//pyrD//purC//tdcD//fes//rffM//cyoE//lsrG//yfdE//pdeH//sdhB//recB//apaH//lysU//tdcE//trpA//tauD//phoA//murQ//fadE//pdeR//aroH//betA//ttdA//allE//lhgO//pck//astB//serC//purA//malY//bioC//udp//dusB//hmp//lacZ//mhpC//fau//chbG//napG//glmS//rtcA//paaE//ulaE//xapA//tnaA//alkA//nanA//paaZ//carA//argA//gatZ//argH//dhaK//puuD//astB//nadC//garL//pyrD//entA//folE//nrfC//ascB//ynfG//manA//entE//puuE//leuA//wzc//acnB//sdhB//sbcD//allC//purD//waaZ//tdcG//add//lysU//caiD//nadC//dgkA//phnO//wrbA//ilvI//fucK//slt//argI//xylA//glcE//oxc//fabD//acs//ulaF//purA//sodA//manA//adeD//ubiX//pfkA//dsdA//srlD//fucK//tynA//paaE//glgA//asnA//dacC//hcaB//glnA//aroL//yedX//sodB//moeB//yeaG//cmoM//fumA//dinB//glmU//poxB//leuB//acnA//trpB//hcaF//ybjG//nrdD//thrS//putA//narG//mpl//rfe//rffC//pdeR//yfdE//ssuE//nagA//hemA//astA//uxaA//pheS//sufS//kbaZ//galE//glk//sdhC//gutQ//pfkA//accA//serC//rtcA//sdhC//pdeH//astA//paaG//yfdE//polA//garR//dhaM//kbl//aroG//galE//deoD//puuA//gutQ//bacA//sdaA//glxR//purF//xdhA//wzb//cyoE//rbsK//guaA//dsdA//epd//nadC//purC//speB//trmA//paaZ//glgP//fumA//yedX//sufS//araA//hcaD//waaY//tam//fumC//dkgB//entA//epd//yfdE//dgkA//moaD//nrdF//dhaM//entE//ccp//apaH//entH//katE//fruK//nrdB//purL//argB//folA//xdhA//pfkA//ugpQ//uvrA//glpQ//upp//fadD//glcE//cysK//ruvA//patD//
CadC_pos	puuE//ilvI//nanE//
CaiF_pos	ychF//glgA//paaK//nrfC//aspA//
Cbl_pos	yeaG//nirD//phnN//mnmG//aceF//
CdaR_pos	frdB//argD//folE//umpH//lpxA//trpB//murE//cysN//gltB//
CecR_neg	tktB//
ChbR_neg	citF//tdcD//ruvA//
ChbR_pos	metC//accA//hflX//
ComR_neg	
CpxR_neg	uidA//hcaD//eda//
CpxR_pos	mtlD//alaS//ppiA//purM//aldA//sucB//yqhD//fadH//nrdB//nrfA//phnG//prpB//tktB//hcaB//tdh//astE//acs//purN//
Cra_neg	fruK//hcaF//fadM//aspA//frdA//entF//asnB//fucU//glsA//rffC//ppsA//rutD//purA//fucA//pck//tehB//malY//melA//yeaG//accD//glsA//ilvI//purD//astB//hypB//accD//fadE//aspA//guaA//nirB//garK//nagB//mngB//rnpB//alsE//metF//pyrC//rffH//fabG//speC//speA//bioD//rffG//purF//cyoE//
Cra_pos	glmS//yqjH//wrbA//cueO//glcF//hycC//ppsA//cysI//nanA//ruvB//eda//dgcN//yqjH//pspE//gudD//pdxA//rsmA//
CreB_neg	entE//
CreB_pos	dgkA//
CsgD_neg	phnH//puuE//
CsgD_pos	nadA//folA//umuC//
CsiR_neg	nadC//mpaA//murF//grxA//
CspA_pos	rbsK//
CueR_neg	bioF//purN//edd//
CueR_pos	paaB//galM//
CusR_pos	argF//fabI//glgX//galK//
CynR_neg	
CynR_pos	caiA//murF//glgP//
CysB_neg	caiB//tyrA//araD//
CysB_pos	glpD//hcaD//glpE//hyi//tdcB//lhgO//yqhD//mngB//gltA//iscS//ychF//puuD//cpdB//garL//
CytR_neg	oxc//garK//moeA//xylA//citE//allC//rtcB//patZ//paaA//acnB//
DcuR_pos	ribA//argF//ttdB//gloA//
DeoR_neg	metA//puuA//yeaG//lyxK//umuC//leuD//
DhaR_neg	
DhaR_pos	frdC//
DicA_neg	
DinJ-YafQ_neg	speA//
DnaA_neg	rutE//hcaE//fadE//dhaK//sgbH//
DnaA_pos	purF//deoA//xylB//
DpiA_neg	
DpiA_pos	malP//uvrA//tdcG//rutE//allD//
DsdC_neg	
DsdC_pos	fadE//idnD//
EbgR_neg	
EnvR_neg	mpl//hcaF//
EnvY_pos	dkgA//torC//
EvgA_pos	sodA//gltA//melA//gnd//prpC//purE//
ExuR_neg	fruK//trpC//lysU//alkB//glpB//iscS//
FNR_neg	dgkA//tadA//ldtB//citF//carA//ubiA//garL//gcl//moeB//kbaZ//ribA//garD//eno//lpxD//fucA//sodB//argG//speB//zwf//paaH//puuD//hemA//galE//idnO//hypF//aroA//lyxK//fumC//ilvE//grxA//ynfG//lysC//pflB//mazG//phnI//puuD//tdcD//queA//dgcZ//hmp//pheS//rffC//melA//moaE//
FNR_pos	glmS//glcF//gatY//fabD//rtcB//lpxC//phoA//citF//moaD//luxS//speB//prpE//paaH//ubiA//metH//fabG//lpxD//ulaD//ampD//phoA//edd//sgbH//astE//pheT//sgbU//cysM//phnP//treC//gcvP//bioA//hyi//wecC//kbaZ//fucA//gabD//ilvC//upp//purK//sucB//rffG//gloA//aspA//gatZ//frdA//glgX//amn//metH//trmD//uvrB//malP//alsE//hcaD//umuC//aceB//aldA//bioA//uxaC//acnB//citG//pgaB//garK//ilvB//citE//leuA//purH//lsrF//bioB//aroH//entE//phnL//uxaA//uxuB//aroA//mltF//fumA//narG//dgcZ//acnB//nagB//aceE//ulaD//pagP//fadH//bcsB//ugpQ//nrfA//purA//uxuB//phnL//melA//atoB//ada//agp//guaB//sgbU//gutQ//
FabR_neg	rutA//yeaE//gcl//
FadR_neg	puuD//tam//cysN//tdcE//kbaZ//hyi//grxA//ruvB//glxR//
FadR_pos	patA//trpE//citC//paaY//paaH//sucD//ycjG//nrdB//aspC//appA//
FeaR_pos	cysN//fadD//
FhlA_pos	glpX//gudD//accA//mnmG//ppc//ulaD//phnN//uvrC//
