# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	tpiA//dgcZ//
Ada_neg	narG//dapD//
Ada_pos	ftsI//dhaL//argH//ung//
AdiY_pos	ccp//deoB//yeaE//leuB//
AgaR_neg	cysC//
AidB_neg	frdC//
AlaS_neg	ldtC//
AllR_neg	recB//asnA//sucD//araA//accA//lpxD//
AllS_pos	mnmG//iscS//glpA//
AlsR_neg	hchA//upp//araB//
AppY_pos	fucK//dmsA//
AraC_neg	aspA//ansB//dadA//cyoE//ttdB//
AraC_pos	slt//leuC//paaJ//leuD//ynfH//pdxA//
ArcA_neg	ravA//rffC//bioD//purM//aceA//nirB//garD//mhpC//wecC//trmD//entA//pheT//rffH//hyaC//puuE//ilvA//argC//cysI//fadJ//acs//fucO//aceF//purL//gltX//tdcE//garL//ruvA//prmC//yfdE//metA//adiA//aroH//fabI//hyaC//sgbH//argE//mhpA//ycjG//pyrD//sbcC//dadA//lysC//fbaA//nagB//udp//betB//talA//sdaA//uxaB//purL//recD//frdD//speC//ppsA//argF//caiA//carA//yqjH//gabT//cysN//glpK//lysA//caiB//trpE//zwf//glpD//folE//fucA//rffH//
ArcA_pos	hemA//pheS//preA//uxaB//tadA//lsrK//fabG//fadD//sbcD//waaY//srlD//tktB//lyxK//prs//bioD//ygeA//citC//gcvP//glpA//dusB//paaI//pheT//dusB//allE//argB//acnB//metH//glpE//rbsD//hyaC//ychF//
ArgP_neg	
ArgP_pos	phnP//aldB//pyrD//asnB//nrdB//sdhA//pflB//chbF//nanE//
ArgR_neg	sucD//sgbE//allC//hycB//sodA//leuB//metE//ynfG//sdhA//entH//mngB//hchA//ilvD//metH//malP//frdB//bioC//xylA//
ArgR_pos	ugpQ//gdhA//mpaA//argA//garD//
ArsR_neg	lsrF//tadA//
AscG_neg	paaK//treC//
AsnC_neg	sdhD//
AsnC_pos	glgB//
AtoC_pos	accA//sucD//ampD//
BCCP_neg	metE//
BaeR_pos	mngB//ppiA//
BasR_neg	moaE//
BasR_pos	aroF//lysU//
BetI_neg	folA//glgP//manA//
BirA_neg	hycD//astC//leuA//pykF//glcF//
BluR_neg	
BolA_neg	glpD//lacZ//
BolA_pos	cyaA//dapB//
BtsR_pos	garR//
CRP_neg	mhpE//uvrA//arsC//ackA//rsmA//moeB//sodA//pagP//hemL//fucU//betB//purF//hemF//nadC//ldtC//araB//caiD//hyi//ynfE//dusB//dgcC//sdhB//hcaB//bacA//leuB//sodB//xapA//kbl//ogt//zwf//tdcB//yfdE//bioC//sdaA//metC//gcvP//ldtC//ynfG//napA//nagA//ynfH//moaA//fucO//glcF//ilvB//hypF//paaF//hcaE//argA//hchA//ribA//fadE//asnB//udp//gatD//melA//fabH//iscS//mhpF//pgpC//purC//sgbU//lldD//ycjG//nanK//uxaA//zwf//betB//lyxK//sucB//grxA//
CRP_pos	ldtC//nrdB//hcp//chiA//hyaA//araB//yqjH//fumB//fucI//fadH//sucB//fabH//fadI//ccp//alaC//dusB//ilvM//uvrB//allB//allB//araD//acnA//lyxK//ulaG//ubiC//waaZ//ydcS//prpD//leuA//bioD//rffH//zwf//murI//citG//fruK//pepD//gltD//phnH//hcaF//ldtB//phnL//paaC//malZ//metH//idnD//argA//purE//edd//serC//katG//tam//relA//avtA//rsmA//napH//trpC//bcsZ//dhaL//cheB//gltB//gcvP//lysC//dhaK//bglB//aspC//carB//ampC//fabD//fabI//hemF//ilvI//paaA//ssuD//feaB//sdhB//ynfF//deoA//pgaB//aldB//dapD//sodA//talA//nadC//manA//wecE//citC//hycC//hyaB//eda//ttdB//wzc//kbaZ//sucD//codA//mpaA//fadE//gnd//lpxA//phnP//ftsI//nadC//allC//serC//puuA//wzb//purH//garR//preT//adhE//gapA//cdd//prs//uvrC//garD//dmsB//thrS//pgpC//phnH//nanA//lsrF//kbaZ//preT//argH//dhaL//gcvP//nrdD//poxB//gor//ftnA//trpE//gcvT//thrS//rffT//uxuB//argE//hcaE//eda//pgpC//sdhD//ulaG//nemA//mraY//aspC//katG//metA//hycE//dapB//ppsA//hypF//atoA//bcsZ//idnK//dhaK//leuB//sucB//ravA//lacA//ldtB//entC//cysH//aldA//aspC//glgP//patZ//deoD//aldA//gcvT//pheS//purK//ulaG//ugpQ//tnaA//pdeH//narI//allD//phnL//fadB//iscS//ldtB//glmS//cadA//pck//betA//gltX//gcvP//glcF//nadB//ygeA//hyaC//argB//torA//astB//uxaC//phnO//entF//murF//yeaG//nirB//hemH//deoD//leuD//nanE//ybjG//glpE//dapB//uxaB//pagP//fadH//cysK//lyxK//cpdB//zwf//ynfE//chiA//fabD//uvrA//gloA//xdhC//ribA//hycE//putA//murE//pgpC//ccp//bioA//tyrA//bioB//mazG//speA//argH//rffH//hemF//cynS//dhaK//frdB//pflB//yfdE//ycjG//ycjG//caiB//moaD//pheS//malY//rutD//citF//ansB//apaH//nirB//mhpB//
CadC_pos	chbF//ygeA//glxR//
CaiF_pos	argA//paaB//astA//phnI//pdxA//
Cbl_pos	glmS//katG//lhgO//gpmM//manA//
CdaR_pos	gabD//wecC//hemH//ung//hyaC//tynA//trmA//lyxK//dkgB//
CecR_neg	gpmM//
ChbR_neg	cysN//pagP//fucU//
ChbR_pos	ahpF//carA//umuD//
ComR_neg	
CpxR_neg	trpA//entA//metE//
CpxR_pos	sdhB//frdC//sdhB//dhaK//sodA//add//carA//mhpB//phnH//glpA//entF//aroF//hcaC//caiD//prpE//hmp//aceE//paaK//
Cra_neg	cyaA//tdcG//pgaB//tdcD//sucC//narI//lsrG//gcvT//leuC//gltB//bioF//murG//srkA//purB//murE//xylB//allD//wecE//dhaK//gapA//lpxC//mhpC//ycjG//folA//gudD//purF//glsA//araB//carA//cyaA//murC//frdC//argA//galK//prs//pyrC//moaA//tyrA//uxaB//aldB//entC//gabD//uxaA//entH//xdhB//
Cra_pos	lldD//luxS//prpC//araA//agp//sdaA//waaZ//hypB//ppc//paaH//grxA//glgP//metH//narG//mpaA//kbl//uxaC//
CreB_neg	epd//
CreB_pos	uxuB//
CsgD_neg	mhpA//gcvT//
CsgD_pos	ynfF//tdcG//mngB//
CsiR_neg	caiC//guaA//wzc//fabI//
CspA_pos	acnB//
CueR_neg	ilvM//yiaK//ulaE//
CueR_pos	sucB//fdhF//
CusR_pos	pgaB//entC//glpK//glgX//
CynR_neg	
CynR_pos	purA//ygeA//gdhA//
CysB_neg	mhpB//hemH//argH//
CysB_pos	arsC//trpB//ruvB//dgkA//aceB//glnA//argB//wzb//argD//fucI//lpxA//fadB//glpE//ttdB//
CytR_neg	aceB//ilvH//fumA//glmU//cysH//rbsK//feaB//pheS//gltB//gloA//
DcuR_pos	glgA//ahpF//ada//lpd//
DeoR_neg	frdA//nrfC//ttdB//glcD//prmC//garL//
DhaR_neg	
DhaR_pos	lysA//
DicA_neg	
DinJ-YafQ_neg	sgbU//
DnaA_neg	bioF//bioB//recD//astE//deoA//
DnaA_pos	entB//glgX//idnD//
DpiA_neg	
DpiA_pos	fadM//gpsA//paaB//cheB//malZ//
DsdC_neg	
DsdC_pos	waaZ//puuC//
EbgR_neg	
EnvR_neg	gcvH//trpE//
EnvY_pos	uxuA//prpD//
EvgA_pos	ilvB//tehB//argD//napA//garL//entB//
ExuR_neg	trmA//cadA//caiD//fucK//uxaB//luxS//
FNR_neg	gntK//prpC//galT//caiA//truB//ssuE//leuC//trpD//narG//hcaC//psd//ttdB//torC//astC//manA//bioF//tnaA//malQ//phnO//gnd//frdC//glcF//purB//pdeL//torC//cpdB//hycD//ybjG//melA//mnmG//prpB//prpC//paaK//phnH//leuD//araA//araD//speA//rnpB//hcp//umpH//fucI//uxuB//atoD//
FNR_pos	sucC//apaH//fabD//napG//fucU//accD//gntK//moaC//fumC//chbF//paaH//lyxK//pgk//bioD//metE//ansB//glpD//pyrC//leuB//idnK//aroF//tdcD//nrfA//eda//cheB//nanA//cheR//chbG//rutC//cueO//trmA//hemF//nadA//ychF//glmU//betA//tnaA//tdcB//citG//waaY//nanK//ppc//gcvH//paaH//yqjH//melA//glyA//pncB//metK//sufS//hemA//murC//ycjG//hycF//argE//entF//metC//ahpF//nadB//napB//nrdD//ulaG//hemF//waaZ//entH//yeaG//ubiC//mpaA//dhaK//nadB//nadA//pheS//mhpF//galK//galE//citC//fbaA//hycG//dadA//ynfH//fabA//acs//glcD//idnD//galT//serA//sgbU//cueO//metE//moaE//hflX//moaC//gnd//xylA//folE//mraY//
FabR_neg	fadB//betA//gudD//
FadR_neg	wecE//araB//argB//xdhA//fadE//sdhD//nrdD//ribA//purL//
FadR_pos	mhpA//ppc//hemH//ilvH//folA//nadC//metF//purD//phnH//narG//
FeaR_pos	ugpQ//tktB//
FhlA_pos	ccp//fucO//pdeL//fumC//ahpF//sufS//yiaK//citG//
Fis_neg	ulaG//hcaB//bioC//araA//trpA//lsrG//fadJ//ada//cysJ//cysE//fabB//manA//uvrB//nanK//tynA//mhpF//argH//uxaB//bglB//pdeF//prpD//tnaA//dadA//dapD//ydcS//dadA//pdeH//puuD//srlD//nfsB//dkgA//umuD//nagB//phoA//bioF//gcvT//glmU//paaY//glgC//tktB//entH//cynT//rimK//sucC//alaC//allD//
Fis_pos	fruK//rutA//lpxD//pdeH//caiB//sbcC//prpB//argG//adeD//puuD//yeaE//yqjH//phoA//talA//cadA//lysU//phnO//ppiA//mhpF//araB//glmU//treC//tktB//fadE//fes//nadC//hyi//adiA//accA//hypF//bioD//ugpQ//pdeR//alsE//paaK//rutE//mtlD//
FlhDC_neg	deoD//fabD//
FlhDC_pos	dapB//gloA//nanE//argD//bioF//bioC//hemH//paaI//paaE//glpC//dgcC//patD//
FliZ_neg	rutE//guaA//purN//fabD//ilvC//
FucR_pos	dhaK//wecC//nanA//pgm//gpsA//nfsB//
Fur_neg	gcl//cdd//nrfC//pdeL//ldtD//srlD//prpB//ravA//uxaA//argH//pgpC//dgkA//rimK//bioF//napH//glgX//wecE//metC//hyaA//argG//malP//entC//hycF//entF//adiA//entA//rsmA//sgbH//iscS//phnL//nadB//hycE//appA//frdA//betB//oxc//idnD//avtA//bglB//fadB//argF//deoC//accC//dkgB//phnI//metF//treC//melA//sucD//dhaL//rutD//srkA//garD//
Fur_pos	hycE//sucB//ilvN//prpC//lacZ//idnD//entE//ruvA//pgaD//gpmM//argH//phnL//metK//gltB//allD//tynA//
GadE-RcsB_pos	glcB//dmsC//nanE//paaA//nfsA//
GadE_pos	glcE//mhpE//puuE//dkgB//fabI//cysD//rutD//fabB//araD//gcl//
GadW_neg	murQ//cysE//eno//
GadW_pos	ubiA//uvrB//fucI//carB//
GadX_neg	cdd//pnp//
GadX_pos	folA//alaS//glpQ//hcaD//aroG//trpA//glcD//phnG//nanK//yeaE//cmoM//
GalR_neg	dapB//fabG//rffM//eda//ogt//hcaC//
GalR_pos	phnP//glcD//lpxA//leuB//
GalS_neg	waaZ//nrfA//glcB//cheB//ilvD//aceA//
GalS_pos	cpdB//nemA//rffM//fadB//
GatR_neg	argH//hycE//fbaB//
GcvA_neg	asnB//malY//mazG//
GcvA_pos	mhpF//ilvC//umuC//
GlcC_neg	
GlcC_pos	aspC//rhaA//pncB//
GlpR_neg	pdxA//glgA//entA//trmA//ilvM//fucO//patZ//
GlrR_pos	
GntR_neg	glpE//betA//puuB//agp//glnA//fucO//yeaE//xdhC//sdhB//
GutM_pos	metB//argI//alaC//
H-NS_neg	ahpF//asnB//alaC//grxA//astB//purL//purC//hypF//dkgB//gutQ//waaY//fabB//gcl//adhE//araA//hmp//pdeH//ydcS//torA//icd//nagB//bglB//prmC//waaH//mhpE//ahpC//sbcD//bacA//paaI//lsrF//rpiB//galE//cysJ//paaH//icd//uidA//trpD//poxB//pyrD//fucI//leuB//bioC//hycG//nanK//nagB//puuD//uxaB//entH//nirB//argI//nanA//
H-NS_pos	kbaY//gapA//cyoE//lysC//murG//glcF//gapA//dhaM//folA//wecB//gcvT//bacA//ugpQ//trmA//pflB//
HU_neg	speC//bioF//rnpB//bcsZ//rnpB//glpD//fes//
HU_pos	
HcaR_neg	
HcaR_pos	allC//rhaD//
HdfR_neg	
HdfR_pos	
HigA_neg	kbl//
HigB-HigA_neg	bioA//
HipAB_neg	trpB//moaD//
HipB_neg	slt//lyxK//aldA//
HprR_neg	dhaK//rtcA//
HprR_pos	sucC//chiA//
HyfR_pos	speB//
HypT_neg	puuD//poxB//
HypT_pos	argA//cysI//pgaB//dgcZ//entH//
