# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	galM//bioC//
Ada_neg	epd//hemH//
Ada_pos	leuA//hycB//dmsC//rffC//
AdiY_pos	hcp//phnN//paaB//argD//
AgaR_neg	purA//
AidB_neg	citG//
AlaS_neg	xdhB//
AllR_neg	serC//paaB//rffH//fadB//aspC//xdhC//
AllS_pos	gntK//rffG//rhaB//
AlsR_neg	pyrD//fes//galT//
AppY_pos	nanK//fadM//
AraC_neg	apaH//mhpC//purC//nirB//ubiG//
AraC_pos	yfdE//hcaC//ydcS//gabD//ubiG//relA//
ArcA_neg	dmsC//hemF//fadI//entF//nrfA//sdaA//chbF//puuD//ribA//argF//ttdA//tktB//amiA//lsrF//alaA//aceF//bcsZ//ychF//relA//fadE//polA//bioF//xdhC//rhaD//murQ//patA//ackA//eno//mdh//napA//hyaA//tdcE//fbaB//moaA//uxuA//hemH//yedX//xylB//preA//gcvH//fes//uxaA//rnpB//nemA//metF//lhgO//phnM//accD//nirB//argG//gabT//napH//xdhC//eno//gadB//lysA//metH//dgcC//rffT//aldA//entD//astD//uxuA//ribA//rhaD//tauD//rffG//uxaA//ubiX//
ArcA_pos	gltB//hcaC//bcsZ//ampC//icd//sgbH//deoA//argG//lsrF//cysG//carA//frdA//oxc//rutB//entD//argI//rutA//hycE//argB//accC//glgA//caiD//pflB//hcaC//argC//polA//ssuE//lsrK//adhE//frdB//zwf//
ArgP_neg	
ArgP_pos	ilvB//ppiA//hemF//mhpF//hcp//ldtB//purB//ynfF//gcvH//
ArgR_neg	yqhD//entC//paaC//tdcB//mtlD//rutA//oxc//feaB//sufS//hchA//nrdF//hyaC//napA//fabG//glxK//mhpC//gcl//fbaA//
ArgR_pos	edd//luxS//cueO//bioC//glnA//
ArsR_neg	srlD//glgA//
AscG_neg	ampD//ldtC//
AsnC_neg	astD//
AsnC_pos	amiA//
AtoC_pos	phnI//garL//thrS//
BCCP_neg	tktB//
BaeR_pos	rffM//yiaK//
BasR_neg	rsmA//
BasR_pos	gabD//fdhF//
BetI_neg	paaA//nirB//folA//
BirA_neg	sdhA//moaC//malZ//fruK//mtlD//
BluR_neg	
BolA_neg	udp//fadB//
BolA_pos	aspC//gcd//
BtsR_pos	rbsD//
CRP_neg	manA//eno//poxB//puuB//bcsZ//araB//fadH//tdcB//rffC//idnK//gatZ//ubiA//nrdF//katG//ogt//mhpF//tnaA//dacC//pdeL//phnP//allD//rfe//glpD//lysU//glgB//bioF//patD//galT//glpA//cysC//uxuB//paaH//nagB//ydcS//gutQ//hycD//ribA//narH//betA//acnB//fumA//guaB//purB//dsdA//wzb//mhpA//metA//moaA//caiB//asnB//aroG//garR//cynT//frc//gabT//paaY//iscS//purC//uvrC//xdhC//trpE//hemF//rimK//adiA//pyrC//ycjG//aroA//fbaA//uidA//gatY//yiaK//
CRP_pos	entH//umuC//hchA//glsA//ynfE//napG//cysN//glyA//adeD//sodB//nrfD//fadH//glpC//fumB//ahpC//accC//narG//ubiA//murD//speA//argC//ruvB//cheB//puuD//acnB//fucO//preT//lysU//galT//kbl//ahpF//dapB//umuC//sgbU//lpxC//udp//adiA//purN//sdhA//sucB//frdB//caiB//glyA//nirD//arsC//garK//cyoE//lacZ//yfdE//talA//rhaD//tdcG//ccp//pyrD//mhpF//ychF//folA//dgcN//pnp//ulaD//hpt//preT//iscS//fucA//pheS//folA//allD//slt//glxK//chiA//idnK//accA//purH//uidA//dadA//glgP//puuB//xapA//purN//araD//umpH//cynT//alaC//dsdA//cyoE//moaE//entD//fumA//fbaB//nagA//mngB//yeaE//pdeH//caiD//murQ//sucC//caiC//trpC//katG//glk//hycD//moaD//phoA//ampD//hemL//gatY//xdhB//argD//appA//argG//nagA//metH//bioA//ygeA//rbsD//aroH//gadA//glpX//dgcN//metA//ilvE//cysE//garD//garL//sucC//chbG//dacC//nadA//ada//fruK//moeB//guaB//cysG//tdcG//udp//tadA//lysU//leuC//phnG//accA//astC//yeaG//citX//tdcE//tadA//katG//rsmH//sbcC//cueO//add//moaD//luxS//paaG//araD//fadM//purM//psd//ahpC//prs//ilvN//sgbH//glcB//pgaD//cadA//mpl//cysM//lacA//dusB//bioF//gabT//araD//glcF//fumB//mhpE//acs//upp//tyrB//glpD//glsA//hypF//astB//cynS//fadM//hcp//acs//accC//galT//phnO//nadC//paaE//lysA//pfkA//hyaB//malP//melA//nrdB//fbaB//hemA//fumA//fadM//purB//entC//narG//glgX//gapA//hchA//cysC//dhaK//purL//nrfC//uxaB//mhpE//idnK//aldA//hyaA//pfkA//feaB//ftnA//mhpC//ygeA//purF//preA//nrfD//recF//tynA//frc//ynfE//nrdB//zwf//fabG//phoA//cysJ//cysC//malP//dinB//glmU//gabD//pdeF//ascB//nadB//cysD//fabD//cysD//pgm//cynT//paaI//dhaK//ilvA//hflX//
CadC_pos	pspE//nrfD//argH//
CaiF_pos	lysC//lyxK//avtA//citX//sbcC//
Cbl_pos	fadM//sdaA//ilvE//entE//murD//
CdaR_pos	umpH//astA//eda//hyi//mhpA//fadM//puuA//allD//sgbE//
CecR_neg	torA//
ChbR_neg	dhaL//moaD//deoC//
ChbR_pos	gatY//wecC//hyi//
ComR_neg	
CpxR_neg	fucI//mhpE//narI//
CpxR_pos	rutE//fadH//fes//moaE//sodA//murQ//sdhA//hypB//paaF//gpmA//srlD//umuD//accA//bioB//alkA//purB//ampC//aspC//
Cra_neg	trpB//sdaA//hemL//metH//lsrG//moeA//pnp//rhaB//srlD//umpH//glpD//rimK//adeD//nadB//aroH//mltF//aroA//ycjG//puuE//ulaD//xdhC//aroH//fes//gloA//paaB//wecB//sdhD//nanK//gutQ//acnA//gltX//oxc//phnJ//rutA//phnN//patA//dhaL//bcsZ//paaI//slt//ssuE//xylA//cmoM//leuC//ahpC//
Cra_pos	hycE//ydcS//alkA//ilvB//glpE//sodA//ogt//caiA//puuB//phr//oxc//araA//rutD//mhpB//fadE//alaS//wzb//
CreB_neg	idnK//
CreB_pos	metA//
CsgD_neg	ilvN//galE//
CsgD_pos	nirD//torA//feaB//
CsiR_neg	gloA//glpQ//srlD//mhpE//
CspA_pos	ilvN//
CueR_neg	ugpQ//ppiA//hyi//
CueR_pos	rbsD//ilvI//
CusR_pos	gabT//fucU//dapD//aroF//
CynR_neg	
CynR_pos	adeD//hcaC//serA//
CysB_neg	patD//wecC//luxS//
CysB_pos	amiA//sdhC//bioF//wecC//uidA//ackA//ldtB//gpmM//caiB//kbaY//moeB//uvrA//pfkA//mraY//
CytR_neg	patZ//glpA//malS//sbcD//metB//bcsZ//dmsA//cdd//paaF//ilvN//
DcuR_pos	deoA//dusB//uxaB//uidA//
DeoR_neg	atoB//ascB//murQ//metK//ynfG//caiD//
DhaR_neg	
DhaR_pos	sucB//
DicA_neg	
DinJ-YafQ_neg	gatY//
DnaA_neg	uxaB//recD//fucU//gabD//metE//
DnaA_pos	dgcN//wecE//malP//
DpiA_neg	
DpiA_pos	nanE//sdaA//dmsB//fumC//ynfH//
DsdC_neg	
DsdC_pos	hycF//aldA//
EbgR_neg	
EnvR_neg	ndh//napA//
EnvY_pos	ilvI//bioB//
EvgA_pos	sdhB//tktB//ppsA//glgX//kbaY//fadA//
ExuR_neg	uvrB//hemL//betA//entC//paaI//paaJ//
FNR_neg	hmp//nanA//dhaL//alaC//leuB//leuD//ansB//araD//atoA//uxaA//sgbH//leuA//gntK//fadA//pspE//puuD//murD//napA//trpC//cheR//pfkA//yeaG//cheR//phnO//paaJ//fabZ//mhpA//galT//idnK//grxA//folE//dgcC//glpX//ftnA//hmp//glpX//glpA//ldtC//ydcS//mdh//tadA//rtcB//lpxD//leuB//
FNR_pos	uxaC//ftsI//malP//dhaK//pdxA//dusB//bacA//cyaA//pdeL//queA//puuB//ilvE//accC//hcaF//malS//glgB//psd//bcsZ//gor//rsmA//cynT//dmsC//prpC//amn//epd//phoA//talA//fucK//gltD//hcaF//bioA//kbl//rfe//cynS//trpC//phnJ//tdh//folE//rffH//rimK//accA//cpdB//rtcB//dhaM//trpD//aroG//murE//epd//edd//acnB//paaI//xapA//rbsD//napA//udp//sdaA//appA//sucA//gnd//uidA//argB//fruK//caiA//sgbU//upp//codA//yeaG//sdhB//alkB//glmU//serC//tnaA//argD//sdhC//glyA//tdcD//pgaC//entH//folE//allA//pdxA//narI//bioD//mltF//murD//alkA//astE//ilvI//entF//puuB//phnI//ogt//ubiA//asnB//udp//aldA//
FabR_neg	metK//ackA//paaY//
FadR_neg	tdcG//pyrD//preA//pgk//dkgB//napA//sgbU//metF//polA//
FadR_pos	thrS//asnB//mazG//galE//trpE//umpH//rhaA//zwf//pflB//deoC//
FeaR_pos	apaH//wecE//
FhlA_pos	tpiA//paaC//deoC//entD//nfsB//ychF//glmU//paaE//
