# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	cysH//wecE//
Ada_neg	araD//paaY//
Ada_pos	narH//trpA//ilvH//hycE//
AdiY_pos	srkA//galE//araD//caiB//
AgaR_neg	yedX//
AidB_neg	rutE//
AlaS_neg	pdeH//
AllR_neg	gadB//paaA//truB//dkgB//adeD//carA//
AllS_pos	lpxA//purA//cysE//
AlsR_neg	adiA//allC//lpxD//
AppY_pos	tnaA//edd//
AraC_neg	bioA//fabG//narH//moaD//cysN//
AraC_pos	phnL//dadA//fabH//rffH//bcsZ//astB//
ArcA_neg	waaZ//hcaF//carB//sodA//serC//talA//fumA//fadJ//glpC//rtcA//ulaF//sbcC//ppsA//galK//pgaC//nrdD//cysC//acnB//codA//glcE//uxuB//nadC//nfsB//dadA//mhpD//rffC//entC//xdhC//pncB//glcE//lysA//rhaA//puuA//cheB//fabH//prmC//frdA//ubiX//hcaF//gpmM//ulaE//sucA//fumC//fabZ//sdhB//malP//fbaA//polB//dgcN//cynS//phnJ//fabB//ansB//gpsA//rtcB//pdeL//fabD//yfdE//argA//trpE//speA//ilvG_1//wrbA//pdeL//narH//wzb//lpxC//cmoM//xylA//
ArcA_pos	recB//garR//gadB//oxc//pdxA//gltD//melA//hcp//upp//hemA//araD//cadA//aroL//kbaZ//gcvT//accD//narI//mhpE//rimK//fabD//cueO//sbcC//pck//rhaB//pgm//amiA//fadB//hflX//adhE//mhpF//argG//
ArgP_neg	
ArgP_pos	aspA//relA//gcvH//nadC//aroA//entH//paaZ//caiC//lldD//
ArgR_neg	araA//deoD//dhaK//gatD//gcd//gcd//speC//pgm//nadA//grxA//ttdB//accC//galK//frdB//nadB//sucA//dgcC//cysH//
ArgR_pos	paaJ//hycE//galK//nanE//lsrF//
ArsR_neg	tktB//gltB//
AscG_neg	tynA//citD//
AsnC_neg	arsC//
AsnC_pos	polA//
AtoC_pos	araA//dkgB//nagB//
BCCP_neg	frdC//
BaeR_pos	sufS//aldA//
BasR_neg	allA//
BasR_pos	dhaK//pyrC//
BetI_neg	pfkA//metE//ppsA//
BirA_neg	galM//deoD//aceB//araB//malS//
BluR_neg	
BolA_neg	nagA//argH//
BolA_pos	srlD//garL//
BtsR_pos	narH//
CRP_neg	phnO//paaI//melA//cysM//cysN//rffG//asnB//glpE//ppiA//fbaB//wecB//fabZ//pdxA//pfkA//melA//zwf//nanK//fabA//deoD//ndh//ilvA//asnB//tynA//hcaC//frc//ampC//ubiA//hemH//manA//pfkA//prpC//pyrD//mnmG//metB//mhpE//dkgB//xdhA//dhaM//rimK//ubiG//wrbA//puuB//hyaC//umuD//betA//ldtB//epd//astE//glxK//phnM//ogt//yeaE//lyxK//rutA//glmS//chbF//luxS//tam//argD//mdh//recD//phnL//recB//uxuB//gcl//ubiC//fadE//mhpE//araB//fabA//rhaB//
CRP_pos	aldA//sdhC//pfkA//ldtC//purH//fabG//purK//cheB//lysC//cysK//pgk//bioD//ilvD//hcaF//fadD//paaB//rtcA//leuB//aroG//narI//phnM//lsrF//serA//nanE//melA//hyaA//wzc//deoA//sufS//garD//uvrA//wecB//citE//ogt//cyoE//rutC//cysG//dkgA//gdhA//garD//argG//garK//mpaA//yiaK//umuC//sdhA//gpsA//lsrG//nfsA//tktB//nanE//ttdB//argG//entC//paaF//pyrD//fabA//glnA//alaC//cueO//aceF//gor//dacC//waaY//hypF//paaB//tnaA//gdhA//ulaG//pheS//carB//cysG//mltF//aroA//sbcC//wzb//ygeA//deoC//dapD//fabH//nfsA//hpt//dacC//atoD//ansB//ravA//hycE//citF//pgk//ubiC//pyrC//pepD//sgbU//recB//glsA//citG//tadA//gloA//rfe//purL//gpmA//pgi//galM//fadH//ppsA//moaA//gabT//ackA//ilvA//argB//purC//nagB//adhE//paaB//ldtD//mtlD//grxA//gltB//gloA//entC//ruvB//cysN//speA//accA//purE//fruK//hcaB//deoB//aceB//dapB//rutB//fadE//alsE//gnd//idnO//purK//gdhA//purH//gatD//rffH//cheB//trpE//glcF//metF//argH//pdeF//uxaB//aroF//puuE//caiC//ascB//dadA//citF//uxaB//hyaC//sbcD//citG//astC//rhaB//glgP//fabD//pykF//pgi//lysA//deoC//hcaF//mhpF//tdcE//moaE//ulaG//ascB//atoB//ilvB//sucC//bioB//accA//rffG//metF//araB//ldtD//lsrK//pgaC//garD//caiA//serA//upp//ssuE//moaD//glpK//polA//ulaD//frdD//ilvC//treC//narH//feaB//argF//eno//galT//bioB//mnmG//pgaD//kbaZ//ychF//metF//glcB//pyrC//frdC//ilvA//hcaB//pgaC//sucA//argA//nrfA//kbl//pgk//pgm//caiD//carA//gabD//frc//mraY//bcsZ//sbcD//hcaF//moaD//fucI//sodB//waaH//nanK//prpE//citX//hmp//murF//trmD//cysE//rfe//waaH//hcp//astE//alkA//phnP//metA//uvrB//trpB//paaB//aroH//chbF//sgbH//
CadC_pos	folA//allD//amiA//
CaiF_pos	gnd//yeaE//allC//rsmA//purM//
Cbl_pos	entB//glmS//pdeR//atoD//manA//
CdaR_pos	uxaA//metE//acs//dmsA//ubiG//lsrK//fucI//appA//tyrA//
CecR_neg	gabT//
ChbR_neg	phoA//paaF//folE//
ChbR_pos	ldtD//relA//fadH//
ComR_neg	
CpxR_neg	ilvB//sodB//lsrF//
CpxR_pos	gpmM//ubiX//accA//aceE//frdC//mnmG//mhpF//sucB//umuD//agp//lysU//gpmA//garK//mnmG//dgcN//glgA//paaZ//tauD//
Cra_neg	gnd//polA//mpaA//dkgB//hypF//gatD//purK//yeaE//rnpB//rffG//dgcN//glk//patD//ynfG//allC//frdB//hycG//ttdA//sdaA//bacA//fabH//ccp//appA//gabD//purC//srkA//aceB//ttdA//dapD//frdC//aceA//carA//glcB//fadH//wecB//idnO//dmsA//allB//tyrA//gltB//fucK//citE//glpA//codA//citC//
Cra_pos	sdhC//pagP//hmp//ppsA//fadB//prpD//fdhF//ahpF//araA//moaA//fbaA//ilvN//codA//ahpF//hycF//hcaB//puuA//
CreB_neg	glpE//
CreB_pos	hcaD//
CsgD_neg	metF//fadE//
CsgD_pos	atoB//aspC//glcE//
CsiR_neg	uxaC//phoA//gpsA//murE//
CspA_pos	pheS//
CueR_neg	gcvH//ilvE//asnA//
CueR_pos	sucB//metC//
CusR_pos	dkgB//aldB//ruvA//ulaF//
CynR_neg	
CynR_pos	fabI//atoB//tynA//
CysB_neg	katG//ung//pyrC//
CysB_pos	allD//tdcD//polA//rnpB//rbsD//lsrF//dhaL//sodB//garR//trpC//recD//mhpC//atoB//gcvT//
CytR_neg	carB//rhaD//glpD//ttdB//alsE//hycG//paaJ//phnL//lsrF//pgaB//
DcuR_pos	hycD//paaE//speB//ilvN//
DeoR_neg	recD//glcF//glgP//speA//tdcG//nrdE//
DhaR_neg	
DhaR_pos	purH//
DicA_neg	
DinJ-YafQ_neg	glxK//
DnaA_neg	tdcD//cysC//codA//uxuB//speC//
DnaA_pos	napH//betA//caiC//
DpiA_neg	
DpiA_pos	caiD//ftnA//wzb//lysA//fucK//
DsdC_neg	
DsdC_pos	edd//rhaA//
EbgR_neg	
EnvR_neg	puuC//gntK//
EnvY_pos	polA//tyrA//
EvgA_pos	phnP//murD//trmA//hypF//alaC//uvrA//
ExuR_neg	metB//glsA//ampD//guaA//queA//bacA//
FNR_neg	sdhA//deoD//wrbA//paaI//phoA//gutQ//mhpD//gltB//frdA//speB//accA//gntK//arsC//gcd//hycD//citX//nrdF//ubiG//gor//paaH//iscS//glcE//fdhF//mhpE//frdA//avtA//leuD//paaG//guaB//eda//glpE//hemH//amiA//purD//hypF//wecC//ndh//ilvH//pspE//fumA//xylA//entH//fadB//rtcB//
FNR_pos	gltD//metL//lyxK//gpsA//lysU//psd//patZ//ynfG//yedX//rtcA//aceA//rtcB//rtcB//gltX//entH//lacZ//aceA//chbG//purH//argH//nrfD//queA//purF//rimK//fucA//hycG//avtA//dacC//glpQ//tdcG//lsrF//glgC//rutC//aceB//rutC//ulaE//fabA//cheB//alkB//pheS//metE//purK//fbaA//waaZ//putA//cheB//sbcC//atoB//preA//bioC//gutQ//tyrB//ilvH//ynfE//umpH//serA//cyaA//hcaB//hypB//phoA//hycC//slt//lsrG//fbaA//aroA//sdhA//phr//ycjG//nadB//pdeH//ybjG//dmsC//mltF//gutQ//nagB//caiC//nagA//sdhC//cadA//rffH//wrbA//pgi//pgm//dgcC//malY//sgbU//ung//rbsD//malQ//ychF//tam//sodB//rnpB//frdA//pdxA//dgcN//
FabR_neg	gcvH//fucI//ogt//
FadR_neg	fadH//folA//nanE//atoA//ttdB//argG//napG//pck//glcE//
FadR_pos	pflB//aceB//caiD//tdcD//ilvB//alsE//dgkA//dmsA//nrdA//serC//
FeaR_pos	paaG//gntK//
FhlA_pos	pagP//sufS//citF//tam//cysD//hyaC//patZ//alkB//
Fis_neg	fadI//alaS//trpB//agp//hcp//dacC//pgi//queA//sgbH//lysU//cheB//alkA//argH//bioA//paaB//amiA//mpaA//arsC//deoC//lacZ//guaB//astA//asnA//patA//rutD//aroG//fumC//argB//frc//ppc//frdA//purD//ulaE//astE//bcsB//pdeF//narH//mpl//cyoE//hcaC//hycD//purH//frdD//srlD//ackA//kbaY//
Fis_pos	fucI//betA//lldD//frdB//mdh//chbF//paaG//puuB//luxS//aspC//moeB//fabG//lsrG//sdaA//nrfD//preT//xdhA//paaA//cadA//caiA//uxaC//tynA//uxuB//argI//hypB//citE//agp//allB//aceE//cysJ//astA//edd//alkB//ubiX//trpA//dapB//asnB//
FlhDC_neg	ppc//rfe//
FlhDC_pos	glgC//iscS//gudD//mpl//argI//narH//phoA//queA//amiA//idnO//polB//cpdB//
FliZ_neg	astD//ackA//cysG//aspC//bioC//
FucR_pos	ampC//cysE//metE//ilvG_1//recB//lldD//
Fur_neg	yqjH//astD//ftnA//pgpC//katE//galT//dhaM//lldD//hpt//metE//sodB//rutE//guaA//ung//ascB//yfdE//mraY//phnH//uxuB//fumC//preA//frdC//hyaA//bioF//ynfF//ilvM//uxaC//citX//narG//polA//lldD//adhE//thrS//paaG//betA//hycB//hypF//gloA//mltF//tynA//nemA//glpA//cpdB//sucD//asnB//paaA//ubiG//narI//alkA//phnI//melA//lhgO//ruvB//
Fur_pos	uvrB//gdhA//cueO//hcaC//cheB//sgbU//nadC//sdaA//pgaC//ldtC//rpiB//nanA//ddlB//fabH//folE//allB//
GadE-RcsB_pos	pheS//glnA//yfdE//ilvE//frdC//
GadE_pos	ilvN//tadA//rbsK//fadM//purN//preA//lldD//phnH//talA//hycG//
GadW_neg	ynfE//glgC//frdC//
GadW_pos	nfsA//narH//allB//caiD//
GadX_neg	deoC//nrfA//
GadX_pos	aldB//phnJ//ynfF//dadA//ogt//murF//nanE//hcaF//uvrA//lacA//speC//
GalR_neg	waaZ//pgk//nanA//wecE//sgbE//ansB//
GalR_pos	serC//fabZ//fucO//lysC//
GalS_neg	ddlB//mhpF//ruvA//hflX//umpH//cysH//
