# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	murQ//tyrA//
Ada_neg	wecC//xdhC//
Ada_pos	phnJ//metA//rpiB//poxB//
AdiY_pos	paaB//hyaB//tdcG//moaD//
AgaR_neg	entF//
AidB_neg	astA//
AlaS_neg	argF//
AllR_neg	glyA//glpD//xdhB//pncB//leuD//psd//
AllS_pos	tyrA//lysA//slt//
AlsR_neg	dadX//dapB//cadA//
AppY_pos	ogt//glgA//
AraC_neg	nfsA//aldB//moaD//caiD//astC//
AraC_pos	ydcS//cysG//fau//fucU//add//ndh//
ArcA_neg	mtlD//carA//dmsB//glpC//glgA//astC//cadA//murE//sodB//entE//gapA//dhaM//aroF//ubiX//aroF//paaY//aroA//rhaD//dgcN//aceB//nfsB//caiA//epd//hmp//fabA//mhpC//uvrC//pgaC//argG//aceA//wzb//melA//rffT//dhaL//dkgB//uxaA//hchA//cysC//aceF//fucA//gdhA//rsmH//frdA//murE//pdeH//hcaC//pgpC//phnP//uxaB//gcd//tdcG//gcvT//dhaK//cysH//allA//cheR//queA//amn//paaC//fumA//nadC//dkgB//deoA//ampC//waaZ//umuD//malY//uxaA//moaD//
ArcA_pos	patA//moaC//rffG//speB//ttdB//tyrB//trpD//speC//bacA//frdA//glxR//ilvD//nrdB//leuD//phnO//manA//ybjG//hycD//ulaF//gabT//pflB//uidA//mpaA//gcvH//sbcD//uxuA//lysU//cysN//napB//mazG//nrfD//
ArgP_neg	
ArgP_pos	amiA//frdC//argD//mhpE//purM//fabB//hycC//ppsA//yeaE//
ArgR_neg	truB//hemA//murD//rsmH//atoD//torA//paaI//fbaB//dinB//eno//argB//glcF//acs//fbaA//dgcN//wecC//nrfC//gpmA//
ArgR_pos	ppiA//murD//pdeL//gcvH//ssuD//
ArsR_neg	xylA//fruK//
AscG_neg	ravA//aceB//
AsnC_neg	ilvD//
AsnC_pos	atoD//
AtoC_pos	gatZ//gcd//guaB//
BCCP_neg	lacA//
BaeR_pos	xylB//ulaF//
BasR_neg	serA//
BasR_pos	hycB//ilvN//
BetI_neg	hemA//aroA//nrdF//
BirA_neg	dgkA//dapB//purM//alsE//waaH//
BluR_neg	
BolA_neg	allD//tdcE//
BolA_pos	ackA//lyxK//
BtsR_pos	rffM//
CRP_neg	cyoE//kbaZ//aroH//guaB//ruvA//rbsK//pepD//kbaY//patZ//hemL//cynS//entB//metL//hemA//gltX//uxaB//purB//nagA//phnN//recD//upp//fumA//astE//paaC//hcaC//glnA//ynfE//ftsI//fbaA//nirB//rutC//fadD//glcB//avtA//rbsD//tyrA//luxS//ung//ilvH//pheT//astC//upp//truB//fes//pgi//fadI//deoA//pgaD//ascB//rpiB//puuB//pgi//alkB//ada//dhaL//paaK//ubiC//moaA//entD//mtlD//tdcG//argG//glcB//gutQ//bioF//galE//tdcD//alaC//argB//wzb//purH//
CRP_pos	paaJ//napA//paaF//malZ//pepD//nrdE//mhpA//sgbU//ttdB//hcaB//fruK//pncB//pspE//gabT//uvrA//fucA//gatZ//hycE//tnaA//appA//glsA//rffM//glk//ychF//napA//cysG//argH//lyxK//alaA//pdeR//ubiX//glmS//ppc//hemA//fabI//aceE//prpB//nanM//ilvC//rfe//glsA//alaA//preT//betA//gatD//glcD//ldtB//lysU//fucU//fadA//speA//fabG//lldD//frdC//serA//hycB//metK//ubiX//glpK//dapB//dapB//ahpC//xapA//trpE//ulaF//tdcG//cadA//hypB//pgaC//ilvD//nadC//caiA//adiA//metE//lpxA//ampC//aceA//sdhB//fadA//sgbE//alkA//trpA//cpdB//citE//sgbH//caiB//asnA//rhaD//dapB//galE//yqjH//ybjG//fucI//glxR//ruvA//frdD//nagB//bioA//trpB//atoB//cysN//glmU//malZ//carA//accA//tpiA//tehB//glxK//rimK//hyaA//idnK//bioB//uidA//prpB//galK//ribA//ilvB//luxS//phoA//napB//bcsZ//napA//sgbH//moaE//hcaB//rffC//add//fucO//ubiC//wecB//ravA//nanA//argH//edd//pepD//ppc//ruvB//rutA//moaE//trpA//fadD//srkA//ansB//aceA//garK//dmsB//galK//ravA//sdhB//aspA//dadX//kbaY//mazG//rsmH//gcl//phnG//wecE//glsA//paaE//trpB//aroF//tauD//puuC//paaF//acnA//glpD//atoA//feaB//hycG//phoA//acnB//deoC//ilvD//adiA//galK//aldA//pnp//citG//gabD//gatD//mhpF//deoC//dadA//pykF//fadD//atoD//idnD//feaB//glgA//hemF//pflB//gltA//metL//atoA//fumA//cysD//ilvN//fdhF//fabH//fdhF//astE//cynT//metE//poxB//yqhD//lsrK//carA//sufS//purM//aspA//nrdA//preT//mpaA//oxc//acs//argF//dhaK//gltB//oxc//argC//citD//cynS//tpiA//sodA//patZ//ldtB//lldD//gpmM//argH//cyaA//bcsZ//tpiA//tpiA//wecB//fbaA//gcvT//gor//gloA//xdhB//rutD//fbaA//rbsK//alkB//dacC//nanK//entC//pgm//argE//lsrK//
CadC_pos	wecE//lsrG//purD//
CaiF_pos	aspC//purM//cysM//trpB//hyaA//
Cbl_pos	bacA//hycB//phnO//araD//amn//
CdaR_pos	recB//purK//mraY//nirD//recB//lysC//asnB//mhpF//napH//
CecR_neg	citC//
ChbR_neg	nagB//paaI//purL//
ChbR_pos	fumA//gntK//hemA//
ComR_neg	
CpxR_neg	rffG//codA//lyxK//
CpxR_pos	tehB//ybjG//fabA//paaG//paaH//lsrG//sucC//napG//dusB//sucA//citE//citF//deoB//hyaA//tpiA//fumC//gutQ//ldtC//
Cra_neg	hycG//gapA//waaZ//pyrD//nagA//cysD//pgi//lyxK//gor//dapB//tyrA//tyrB//agp//argG//alkB//atoB//nagA//pgk//lacZ//ubiX//metB//gadB//yiaK//tam//appA//glk//dacC//dapB//hcaC//glgC//ccp//mltF//phnP//pyrD//gutQ//hemL//garL//frdB//rhaB//hcaE//paaH//sucA//phnM//leuD//ilvH//
Cra_pos	hycG//putA//malS//lpxA//ravA//rutD//nanE//poxB//sdaA//aldB//glyA//sdhB//caiD//aroH//ascB//cysG//sdhB//
CreB_neg	malP//
CreB_pos	sbcC//
CsgD_neg	fucO//nagA//
CsgD_pos	trpB//lpd//purD//
CsiR_neg	aldB//nadC//deoD//preA//
CspA_pos	gltB//
CueR_neg	argA//malQ//glpK//
CueR_pos	chbG//ilvM//
CusR_pos	mhpB//cyoE//hemL//purM//
CynR_neg	
CynR_pos	cysG//moaD//phnM//
CysB_neg	nanM//allE//cueO//
CysB_pos	astB//ilvH//uxuB//leuB//asnA//sodA//pdeL//allE//lpd//dmsB//napG//acnB//araD//prpD//
CytR_neg	ulaE//argA//gcl//leuB//gloA//sucD//alaS//mltF//astA//pgm//
DcuR_pos	hycG//trpB//glnA//rhaA//
DeoR_neg	entH//ahpF//glpA//mhpD//umuD//xapA//
DhaR_neg	
DhaR_pos	recF//
DicA_neg	
DinJ-YafQ_neg	rffT//
DnaA_neg	nanA//cysM//cysE//murC//aroL//
DnaA_pos	sdhD//deoB//tdcD//
DpiA_neg	
DpiA_pos	tdcB//hcaE//dacC//idnO//garL//
DsdC_neg	
