# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	fabB//rutB//
Ada_neg	polA//idnO//
Ada_pos	nanA//hcaE//nfsB//ubiC//
AdiY_pos	tdcD//xapA//rutB//chbF//
AgaR_neg	ilvM//
AidB_neg	ynfE//
AlaS_neg	gcd//
AllR_neg	cysJ//kbaY//umpH//ilvA//carA//lysC//
AllS_pos	glgB//alaS//hcaD//
AlsR_neg	ilvC//mtlD//uvrC//
AppY_pos	mhpA//gadB//
AraC_neg	carA//fadB//alkA//metE//frc//
AraC_pos	tdcB//lsrG//rimK//yedX//nemA//betB//
ArcA_neg	ppc//ampC//purH//mazG//ung//ulaD//bioB//dgcN//ilvI//murF//hcaB//glmS//tyrB//dapB//cyoE//fumB//cysM//cysK//lyxK//patZ//paaB//dusB//sgbE//ilvM//glpB//uxuA//pgaD//murE//acnA//astA//fadM//frdC//eda//metF//dkgA//rffT//ppc//mhpF//frc//pdxA//guaA//ilvM//trpE//aceF//trpD//aroH//ycjG//rutD//napA//xdhB//hchA//patA//sdhA//arsC//alkA//pyrC//relA//fabZ//bioB//ccp//tynA//gltB//serA//dacC//rbsD//entD//moaC//trpE//fadB//
ArcA_pos	argF//adhE//ilvE//mngB//caiA//gcvH//sgbH//nemA//slt//pepD//leuA//rpiB//nanE//avtA//frdC//fabA//gadB//tdcG//ppiA//thrS//melA//ribA//wecE//hypB//nagB//hemH//mpl//phnN//psd//rbsD//malS//
ArgP_neg	
ArgP_pos	gnd//sdhD//glgP//icd//uxaB//entA//betB//lacA//dhaL//
ArgR_neg	trpB//xdhB//feaB//argE//serA//gadB//rffC//hypB//deoA//rffC//ilvE//queA//ybjG//hemA//idnO//aroA//poxB//acnB//
ArgR_pos	nirD//epd//moeA//tehB//fbaA//
ArsR_neg	leuD//dgcC//
AscG_neg	ilvE//glcD//
AsnC_neg	astE//
AsnC_pos	patA//
AtoC_pos	tynA//rffH//bacA//
BCCP_neg	ilvC//
BaeR_pos	hyaC//umuC//
BasR_neg	pyrC//
BasR_pos	cysC//amiA//
BetI_neg	astB//alkA//sgbE//
BirA_neg	talA//dapD//alaS//adiA//paaB//
BluR_neg	
BolA_neg	fucI//srlD//
BolA_pos	cynS//dhaL//
BtsR_pos	cysE//
CRP_neg	hycG//ulaD//nadA//trpD//queA//idnO//hyaB//puuD//apaH//kbl//asnB//ubiA//amn//dapD//recB//waaZ//paaF//xylB//pdeL//murI//phnL//allD//atoB//citG//hycF//bglB//argC//tdcG//cysJ//ilvC//icd//ftnA//glpK//ygeA//nrdE//sucD//sdhA//paaI//katG//frdC//deoB//guaA//xapA//hycD//aroF//frdB//gltD//glgB//tdcE//purC//dmsC//pgk//fdhF//alsE//ubiG//sdhB//bcsZ//glcB//acnA//malZ//mazG//garL//citE//murI//rutB//garR//fabD//recF//ilvB//wrbA//puuC//
