# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	wzb//hemL//
Ada_neg	cynT//araD//
Ada_pos	argF//dadA//uvrB//aldA//
AdiY_pos	argF//rhaA//aroF//ynfH//
AgaR_neg	dgcC//
AidB_neg	sufS//
AlaS_neg	nrdA//
AllR_neg	purK//fabG//fucA//wecC//hemF//hycG//
AllS_pos	hemL//wecB//wzb//
AlsR_neg	aspA//sdhD//ahpF//
AppY_pos	deoC//dgcC//
AraC_neg	lsrF//recF//fadD//glgA//ulaF//
AraC_pos	fes//glcD//tynA//allD//hycD//adeD//
ArcA_neg	gltA//glpK//cheB//metK//paaE//icd//garD//ilvH//allE//nirD//tauD//astD//srkA//phnI//fes//sucA//glpB//ygeA//murE//fabD//tadA//pnp//fdhF//oxc//malZ//preT//cysD//xapA//gltD//oxc//mpl//yqhD//accD//argD//ppc//pck//acnB//citE//kbaZ//allC//paaY//pdxA//mngB//ulaF//fucA//purC//gcvT//yqhD//putA//cpdB//astD//lpxD//ilvN//argE//nirD//fadM//codA//fumB//ascB//caiB//phoA//ampD//lysA//appA//patA//xdhB//glk//frdD//dadX//
ArcA_pos	ilvB//pgi//sgbH//icd//hemF//pykF//pfkA//trpD//ilvH//uidA//acnB//argC//cynS//bcsZ//allA//fadE//nrfD//sdhA//hemA//dinB//bioF//hpt//umuC//paaH//katG//tdcG//serC//ftnA//phnM//fadI//nanM//
ArgP_neg	
ArgP_pos	ung//adiA//rtcA//pdeF//cynT//ftnA//bioA//rpiB//glpD//
ArgR_neg	uxaB//pgpC//ldtC//ubiG//paaZ//ulaE//hycE//umuC//torC//phnJ//pgm//alaA//pgm//fau//bcsZ//ubiC//accC//glgB//
ArgR_pos	deoC//entD//pgm//metK//bioC//
ArsR_neg	moeA//purF//
AscG_neg	hycF//lacA//
AsnC_neg	ilvC//
AsnC_pos	gatD//
AtoC_pos	cheR//recB//gnd//
BCCP_neg	hypF//
BaeR_pos	mhpF//argH//
BasR_neg	purL//
BasR_pos	paaF//aroA//
BetI_neg	mhpE//ynfE//yqjH//
BirA_neg	ilvB//purD//dusB//sgbH//pspE//
BluR_neg	
BolA_neg	srkA//glxK//
BolA_pos	xdhB//cysE//
BtsR_pos	metF//
CRP_neg	hpt//cueO//truB//hpt//ldtD//glyA//napB//sbcC//dhaM//gadB//alkA//glxR//glmU//atoD//speA//melA//citE//hcaB//garD//gltX//napH//betB//murD//gltX//puuC//lhgO//nagB//speA//lsrK//caiD//amn//fabA//allC//argE//purN//caiC//tehB//hcp//araA//sbcD//bacA//paaK//lyxK//sufS//glmS//hycC//garL//puuB//pncB//fumB//gor//glpK//manA//gabD//araB//atoB//ada//hemL//fdhF//aldB//argD//tynA//udp//ilvH//uidA//bglB//dmsC//prpB//rffC//purC//bglB//
CRP_pos	paaH//ilvE//sucC//frdB//cpdB//tpiA//aldB//xdhA//prmC//glgB//agp//napG//napA//uvrA//fucI//sgbU//epd//astC//fadD//citX//queA//nfsB//glpD//trpE//paaY//gcvP//aspC//purH//paaB//astA//gadA//hypB//nemA//ynfF//ilvM//rffM//glpA//tam//rhaB//fabD//recB//lpd//xylB//hcaE//dhaM//purK//ampC//lacZ//putA//ackA//prpD//queA//dhaL//nanK//waaH//mraY//glnA//araB//paaY//trpC//murF//asnB//ugpQ//ldtD//uxaA//chbG//fadH//betA//bacA//hcaE//glmU//atoD//cynS//uvrB//deoC//rutB//gcvH//fadB//ychF//sucD//argE//gor//alaS//dacC//betA//napH//cysJ//rutC//umpH//cynT//prpC//purB//gapA//gltA//yiaK//sdhD//malZ//metF//ravA//allC//nrdE//rbsD//gadB//gatZ//mltF//gltD//araD//accC//garR//astC//tynA//murE//sgbH//glgB//galE//mtlD//gcd//ygeA//bioF//phr//queA//speA//hmp//wrbA//ldtB//ftnA//ilvA//glgX//ydcS//speA//lpxD//mhpF//ulaD//glmU//paaG//dmsA//hcaB//glpD//xdhC//napB//glpC//pgpC//umuC//fabB//nadB//glgX//gudD//alkB//nrfD//pgk//udp//phnH//gltD//adiA//argI//paaH//moaE//ynfH//hyaB//chbF//narG//fucO//waaH//phnJ//rffM//fucA//cyaA//yfdE//idnK//paaA//fabA//mtlD//pdeR//allB//fau//lsrG//gudD//nfsB//acs//lsrK//fadD//lpd//gor//hpt//ldtC//murF//yfdE//aspA//ahpC//recD//pgaB//metE//fadI//paaH//ppiA//yeaG//glpB//entF//tam//nfsB//uxuA//hemA//thrS//fbaA//ruvA//ilvG_1//argF//patD//uidA//tdcD//folA//yqhD//nadB//sdhB//epd//adiA//trpB//pgk//malY//pgi//mdh//srlD//dkgB//citD//ftnA//epd//glpD//napH//cysD//ilvE//uvrB//phnI//hemF//trpB//metK//kbaY//lsrF//moaE//wzc//glpB//tdcE//gltD//tyrB//galM//ilvD//gabD//cheR//uvrA//argC//
CadC_pos	torA//ilvN//prpE//
CaiF_pos	lysA//dusB//nrdA//glmU//glsA//
Cbl_pos	rtcA//nirD//tauD//pgaB//dmsB//
CdaR_pos	ascB//polA//nrdF//amn//ychF//cysJ//lysU//nanE//glpB//
CecR_neg	allA//
ChbR_neg	murE//sdhA//thrS//
ChbR_pos	xdhB//ribA//accD//
ComR_neg	
CpxR_neg	hycC//phr//cyaA//
CpxR_pos	xylA//garR//hmp//alaS//asnB//ulaD//fadB//lpd//trpE//acs//citG//pdeL//napG//mazG//kbaY//nanK//ppsA//hcaD//
Cra_neg	paaY//ynfF//aroG//glxR//paaH//trmA//malP//uxuB//citF//citG//ynfF//folE//ruvA//entC//aceB//cysH//nanE//gudD//wecE//tauD//gabT//sbcC//pflB//argA//bcsB//lpd//folA//leuC//torC//deoD//rfe//ycjG//ilvC//gapA//atoA//paaE//bioF//dgcZ//gcvT//fabZ//hpt//metK//alaA//ilvD//gatD//
Cra_pos	phnH//waaY//purM//lsrK//eda//argB//moaD//dgcN//pykF//aceE//amn//putA//gcd//ogt//murI//mngB//pdeR//
CreB_neg	grxA//
CreB_pos	gabT//
CsgD_neg	alkA//serC//
CsgD_pos	slt//nanK//narH//
CsiR_neg	entA//hycC//glpQ//paaC//
CspA_pos	murQ//
CueR_neg	cheB//nfsA//acnB//
CueR_pos	lldD//eno//
CusR_pos	thrS//glnA//ilvA//waaH//
CynR_neg	
CynR_pos	ilvN//bcsZ//purN//
CysB_neg	ubiG//sdhB//malY//
CysB_pos	puuE//phnM//bacA//lhgO//chbF//dmsA//rutD//gltX//pdxA//entC//bcsB//hcaE//nanA//bioA//
CytR_neg	dmsA//gpsA//malQ//pck//lpd//psd//purM//cmoM//argB//rhaB//
DcuR_pos	slt//xylB//rffG//kbl//
DeoR_neg	dsdA//agp//nrfD//yfdE//yqhD//paaK//
DhaR_neg	
DhaR_pos	eno//
DicA_neg	
DinJ-YafQ_neg	waaY//
DnaA_neg	ruvB//ynfG//ulaF//wecE//entA//
DnaA_pos	garK//fabB//ulaG//
DpiA_neg	
DpiA_pos	deoA//wecE//ampC//uxuA//paaJ//
DsdC_neg	
DsdC_pos	chiA//bioD//
EbgR_neg	
EnvR_neg	malY//cdd//
EnvY_pos	cheR//yqhD//
EvgA_pos	add//gabT//prmC//citG//cyaA//entC//
ExuR_neg	rffH//citD//purF//nrfA//purA//purN//
FNR_neg	nrdA//fabZ//bglB//garR//nadB//tehB//xdhB//uvrC//bioB//sucC//lldD//fucA//talA//pepD//pdeH//paaB//yeaE//ilvN//hemA//citG//moeA//edd//dhaL//folE//sufS//murG//pheT//gabT//dinB//ung//hyaA//araB//uvrA//hemH//aceF//dgcC//katE//ilvM//astE//rhaD//purH//entB//srlD//gutQ//
FNR_pos	mhpF//araB//ppiA//agp//tyrA//galM//fabZ//rutA//ygeA//frc//phnJ//napG//ilvA//phnO//paaH//ilvI//hflX//nadA//lysU//ilvG_1//folE//uidA//pheS//slt//gdhA//ubiA//cysN//argH//guaB//leuD//rffC//nirD//cadA//phnI//purC//patZ//hyaA//hycG//glpC//garD//trpE//caiA//torC//oxc//mhpD//pheT//phnI//ahpC//nemA//serC//glk//hycB//nanE//glpK//hyaA//epd//gabT//astA//phnL//aroA//paaZ//dhaK//lsrG//gltB//trpB//rffC//paaY//bglB//astA//ahpC//lacZ//prpE//bioF//gpmA//araA//narG//gntK//mhpD//fau//mpaA//cysJ//entD//patA//cdd//glnA//apaH//trpA//metB//tauD//yqhD//puuA//tam//aroG//sdhA//phnN//patD//
FabR_neg	hycB//sbcD//glpK//
FadR_neg	pyrD//rutC//poxB//fucK//hcp//arsC//mazG//nfsB//argH//
FadR_pos	astD//ulaG//pheT//rfe//rffG//paaA//rtcA//fucI//gatD//lldD//
FeaR_pos	dkgB//malZ//
