# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	glpK//aroH//
Ada_neg	paaH//pnp//
Ada_pos	hmp//uvrA//gcvH//ruvB//
AdiY_pos	mhpF//mazG//lysC//acnB//
AgaR_neg	tdcB//
AidB_neg	araA//
AlaS_neg	glmU//
AllR_neg	ung//ribA//melA//iscS//fabG//citE//
AllS_pos	codA//rutB//glgA//
AlsR_neg	add//cmoM//ribA//
AppY_pos	glmU//ppc//
AraC_neg	sgbE//puuB//purB//rffG//aceF//
AraC_pos	dadA//astE//narI//treC//hyaA//guaB//
ArcA_neg	paaI//betA//nagB//allC//astB//aldA//argE//fadE//nagA//paaF//tauD//dapB//rhaD//edd//aceB//recD//sgbE//nrdA//ulaE//gcd//pdxA//pepD//pdeF//puuE//chbF//bioD//gcd//dgkA//citG//trpB//ung//cheB//hcaB//cysN//gltX//ssuE//ahpF//napA//fucO//napA//waaH//guaB//rhaD//lysA//ulaD//rsmH//cysK//udp//sdhC//recF//gabT//alaC//fucI//citG//bioA//moaA//xdhA//ppsA//citF//gcvT//cmoM//puuC//gcd//phnM//tktB//allC//rutA//cysM//umpH//
ArcA_pos	aceA//torC//xdhA//entF//lsrG//xdhA//idnK//aceF//phoA//leuC//rbsK//paaK//ilvH//lacA//dkgB//fes//gabT//adhE//trpB//xylB//purM//aroA//bioC//fucU//fabI//pgi//aceA//pgaC//tauD//gudD//moeA//
ArgP_neg	
ArgP_pos	speB//ribA//alkB//adeD//malP//eno//edd//tdcE//trpB//
ArgR_neg	frdB//fabG//upp//murD//pyrD//torA//accA//rbsK//cheB//lacZ//tktB//allE//entE//dgcC//argC//trmD//ppc//serC//
ArgR_pos	paaI//purC//ilvE//hcaE//garK//
ArsR_neg	dgcN//cmoM//
AscG_neg	lysU//ftsI//
AsnC_neg	wzc//
AsnC_pos	tyrB//
AtoC_pos	astE//hycF//fumB//
BCCP_neg	lldD//
BaeR_pos	deoD//ackA//
BasR_neg	adiA//
BasR_pos	garL//nadA//
BetI_neg	aroH//aldB//citX//
BirA_neg	gapA//torA//folA//astA//wecE//
BluR_neg	
BolA_neg	glgB//gadA//
BolA_pos	hpt//ilvM//
BtsR_pos	ampD//
CRP_neg	sodB//sdhD//aroH//moeA//glgC//ycjG//pgpC//fucK//dinB//purK//apaH//metB//leuB//purK//citF//puuC//guaB//wzb//fabB//srkA//aroA//ulaE//purE//pyrD//metL//glcB//dsdA//sbcC//lpxC//gcvH//hcaE//sufS//ulaD//entD//mpl//ychF//glnA//rhaA//pheS//pncB//ssuD//accA//caiB//atoB//bacA//gltX//ilvB//nrfD//hcaF//fadA//hycC//paaA//garL//gloA//argI//allA//lldD//dhaK//trpD//ydcS//rtcA//pgm//gabD//gabD//gabD//purK//ubiX//waaY//tktB//glgP//deoC//
