# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	aceF//glpC//
Ada_neg	melA//ogt//
Ada_pos	purH//fumA//paaI//nagB//
AdiY_pos	entA//argI//torC//astB//
AgaR_neg	ruvA//
AidB_neg	sdaA//
AlaS_neg	relA//
AllR_neg	ndh//yiaK//fucU//frdB//sdhB//chbF//
AllS_pos	bglB//mraY//frdA//
AlsR_neg	nadA//gltX//deoD//
AppY_pos	gadB//lysC//
AraC_neg	rffG//nanE//garL//rutE//dkgA//
AraC_pos	frdA//phnO//gcvH//acs//cyaA//pdxA//
ArcA_neg	citD//lsrF//metH//ulaD//moaD//fbaA//pykF//nrdF//wrbA//sodB//fadI//nanE//gpsA//ubiX//dhaM//eda//bcsB//prpE//uvrA//hycF//argD//allE//lyxK//rbsK//malQ//ogt//alaS//alaC//mpaA//rhaB//araA//ulaG//cysE//melA//speA//accA//hyi//astE//accC//aceA//amn//bioD//glcD//hchA//paaH//trpA//ccp//rnpB//bcsZ//putA//paaH//grxA//zwf//rfe//codA//frc//caiC//apaH//tadA//hemL//dusB//araA//accA//purN//feaB//waaZ//yeaG//nrdD//allC//
ArcA_pos	glmU//alsE//gatZ//umuC//dhaL//guaA//speC//ruvB//srkA//gltX//metA//edd//aroA//cyoE//glpD//sufS//dsdA//hcaC//pncB//tdcD//dadX//paaZ//caiB//fucA//frdC//thrS//pyrD//citD//sgbU//phnM//purK//
ArgP_neg	
ArgP_pos	purH//gpmM//glgP//tynA//hcaF//pheS//frc//purF//hcaB//
ArgR_neg	agp//cysE//napH//purA//pflB//ilvC//agp//uvrB//glpK//rutD//metL//pdeH//purC//deoC//puuE//gudD//malZ//caiC//
ArgR_pos	dgcC//allA//gcvH//citX//prpB//
ArsR_neg	fabB//waaH//
AscG_neg	putA//mhpA//
AsnC_neg	ubiA//
AsnC_pos	hycG//
AtoC_pos	nadC//lpxC//sdhD//
BCCP_neg	rnpB//
BaeR_pos	hyaA//epd//
BasR_neg	nagA//
BasR_pos	folA//gltA//
BetI_neg	paaI//paaK//sgbE//
BirA_neg	metC//trmA//phnI//cynS//apaH//
BluR_neg	
BolA_neg	rutA//upp//
BolA_pos	zwf//ilvN//
BtsR_pos	fabH//
CRP_neg	patD//ogt//rhaA//ftsI//ulaG//argH//srkA//allC//trmA//fdhF//rutE//bcsZ//gloA//rutA//mhpB//malS//ilvC//folE//cheB//tdcD//ubiG//ybjG//entF//deoB//aroA//ybjG//paaC//polB//appA//rffH//napH//aldB//fumB//tam//wzb//bioF//phnM//mnmG//idnO//tyrA//aceE//uxaC//gatD//xdhC//glxR//glcD//bioB//purK//purD//guaB//codA//metH//wecC//prpD//nrfC//mdh//narI//leuD//folE//lpxC//glmU//cynS//nrdE//ahpC//feaB//prpB//purC//sbcC//umpH//hycE//yeaG//
CRP_pos	fdhF//argE//argF//purA//nanA//tpiA//glk//bioD//hemF//add//purB//citC//ynfH//mhpC//sgbU//chbG//yqhD//oxc//yeaG//gcd//fucU//eno//bglB//caiB//astD//mazG//glmU//metA//hcaF//paaE//rutD//amiA//cysM//rutB//glcE//gabD//idnD//paaI//dapB//rutB//nrdE//ycjG//chiA//dsdA//fumA//purE//umuC//eda//nanE//purA//atoB//cysK//mnmG//ubiX//fadJ//trpC//galM//adiA//ybjG//umpH//pgk//glgX//adeD//cynT//talA//hflX//entF//pdeF//citG//alaA//gltD//nadC//aspC//yiaK//pdeR//gltB//araA//ogt//ilvA//xylA//eno//umuD//argB//gloA//pgaC//sucB//ilvM//fbaA//caiC//narI//alkA//gcl//pykF//ilvI//ilvI//gdhA//ubiG//ung//glxR//umuC//speB//adeD//umuD//ada//gcvH//preA//rsmH//sbcD//cheR//alaC//trpB//trpE//hmp//phnP//glnA//alkA//umuD//umuC//xapA//malP//umpH//xapA//xapA//sucC//idnK//pgi//nirB//fumB//moaE//nanA//ulaG//hycB//edd//yqhD//lpxD//pdeH//bioB//metK//gabT//mhpC//phnP//atoD//sdaA//purH//glpE//paaH//lpd//glgX//paaI//nagA//dinB//mhpE//hyaA//rffH//argH//umuD//umuC//acnA//dsdA//glpA//hcp//ilvC//moaC//grxA//garK//metC//narH//cysM//cysG//dacC//mpaA//rpiB//pfkA//puuC//nrfC//phnP//ulaG//rffH//bglB//ribA//hycC//phnN//carA//ruvB//purF//leuB//phr//pgaB//patA//murI//sdhD//dgcC//ndh//aceB//argC//purD//sbcC//yeaG//rsmH//codA//speC//trmA//aroF//napH//epd//hycD//luxS//nanK//sbcC//paaY//gcl//nanE//adeD//fes//ybjG//narI//nrdF//aceB//guaA//mdh//nanE//nadA//gabD//hyaA//xylB//trmD//argG//bioB//ssuD//mpaA//tauD//bglB//cysM//glcB//ychF//astB//garD//rhaA//cyoE//caiA//fadA//hemL//wecE//codA//dgcZ//gadA//melA//argI//gpmA//
CadC_pos	ilvN//puuB//tadA//
CaiF_pos	gdhA//pgm//atoD//citX//paaK//
Cbl_pos	glk//lpd//katG//ung//uxaB//
CdaR_pos	ttdA//tynA//entF//alkA//dhaK//pdxA//bioC//cysJ//tdcE//
CecR_neg	aroA//
ChbR_neg	glmU//purC//cysH//
ChbR_pos	garR//speB//narI//
ComR_neg	
CpxR_neg	tktB//trpB//caiC//
CpxR_pos	rtcB//glgX//fbaB//agp//paaE//malY//paaA//nrfA//metE//tdcE//pgm//trpB//ilvM//dgcZ//galK//pheS//malQ//trpD//
Cra_neg	mhpA//mpaA//nirD//dmsC//cueO//galK//prpB//xdhA//rhaD//wzc//fadA//katE//sdaA//glcF//rtcA//patD//paaE//ftsI//ynfG//rffG//yeaE//nrfC//pgm//entE//fadB//cysE//glcF//sdaA//wzb//cysD//accC//yeaE//astA//rffC//malQ//ppsA//murD//malS//gapA//phr//lacA//yeaE//phr//fau//gltX//
Cra_pos	xdhC//dacC//sgbE//mnmG//torA//nagA//rtcA//lpxA//fadB//fau//nanM//glgX//ugpQ//aldB//rutE//prpC//aceF//
CreB_neg	pyrD//
CreB_pos	lpxD//
CsgD_neg	phr//mngB//
CsgD_pos	fbaA//cmoM//psd//
CsiR_neg	ulaD//dgcC//cysH//deoC//
CspA_pos	gnd//
CueR_neg	xdhB//oxc//rtcA//
