# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	fucU//sucB//
Ada_neg	frdA//ribA//
Ada_pos	cmoM//ruvA//gcvH//ubiC//
AdiY_pos	gcvT//purE//nanE//glpK//
AgaR_neg	nrdF//
AidB_neg	glpD//
AlaS_neg	glxR//
AllR_neg	deoC//murQ//mpaA//patA//dkgA//purL//
AllS_pos	metA//polB//sdhB//
AlsR_neg	fadM//allD//ldtB//
AppY_pos	glpX//aldA//
AraC_neg	alkA//epd//torA//pnp//fbaA//
AraC_pos	ldtD//gpmM//hchA//dhaK//hyaB//gltD//
ArcA_neg	purM//aceF//astB//rutA//allC//ilvH//ilvC//glmU//nrdB//ubiC//paaE//mhpA//chbG//treC//katE//sodA//recB//paaH//hycD//mraY//fabG//nagB//uxuA//entD//cysM//paaF//phnI//fes//guaA//fbaA//murF//mtlD//citX//purN//malP//entA//alaA//citG//hcaD//fucA//ubiA//alaS//caiD//cyaA//gcvH//ynfE//dadA//alaS//fes//garD//fadD//garK//glmU//ynfH//hycB//phnP//lsrG//kbl//ung//mpl//phoA//apaH//glcD//dhaL//wecC//fadM//fadM//sdhA//fadB//
ArcA_pos	leuD//mltF//purN//pykF//sdhB//hflX//bacA//fdhF//yfdE//chiA//gcl//pyrD//pflB//citE//frdA//yeaE//caiB//idnK//trpB//galE//ackA//lyxK//dmsC//fumB//metF//phnI//ung//gpmA//katE//galK//fbaB//
ArgP_neg	
ArgP_pos	metA//galE//purF//folE//rbsD//aldA//metH//pgaC//nagB//
ArgR_neg	oxc//tadA//relA//caiA//ahpF//sucC//purC//aroL//entC//fucA//rffG//uxuA//hcaD//phnL//patD//deoA//preT//murC//
ArgR_pos	frdB//aroH//glk//uvrC//cysJ//
ArsR_neg	nfsA//galM//
AscG_neg	pyrD//argC//
AsnC_neg	cmoM//
AsnC_pos	prs//
AtoC_pos	tpiA//citG//uidA//
BCCP_neg	paaG//
BaeR_pos	glcE//fadH//
BasR_neg	gloA//
BasR_pos	sufS//bioC//
BetI_neg	dgkA//pck//paaI//
BirA_neg	cysG//tam//hcaC//fadM//metB//
BluR_neg	
BolA_neg	gutQ//amn//
BolA_pos	ravA//nrfC//
BtsR_pos	speB//
CRP_neg	bioC//mdh//murI//garL//ygeA//tdh//ubiA//cysG//paaG//polA//malS//pyrC//lpxD//preA//fumC//ilvB//gdhA//gatZ//rffH//rffM//mazG//glcB//tdcG//fes//galK//relA//paaG//pyrD//argE//paaJ//narG//hpt//leuB//ddlB//napG//lyxK//icd//umpH//hycC//sucA//nanK//phoA//lsrG//puuC//fbaB//gapA//glpQ//zwf//lsrK//argD//metB//glxK//nrdF//waaH//frdA//hcaE//nanE//treC//allC//yeaE//phnH//entH//ynfH//dhaK//rffT//guaA//gadA//dgcZ//caiD//mdh//ilvA//
