# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	pncB//glpD//
Ada_neg	ftnA//phr//
Ada_pos	ilvC//cysG//lpxC//astA//
AdiY_pos	metE//glxK//putA//cynS//
AgaR_neg	aroA//
AidB_neg	prpD//
AlaS_neg	prs//
AllR_neg	fadI//hcaD//ampD//recB//bglB//dgcZ//
AllS_pos	iscS//pdeH//carB//
AlsR_neg	sdhA//edd//allB//
AppY_pos	waaZ//ilvB//
AraC_neg	mhpC//entD//wrbA//moeB//arsC//
AraC_pos	garL//xdhA//phnH//gudD//ldtC//paaK//
ArcA_neg	ilvI//hyaA//sdaA//serA//amiA//lsrF//rtcA//fucO//aroA//atoA//ynfF//hycB//cadA//citF//murQ//ycjG//uxaC//purN//ftsI//araA//glsA//sgbU//purB//ndh//prpE//gor//ackA//pspE//ycjG//rutD//rhaA//speC//sbcD//entD//nadB//zwf//bacA//ackA//frdA//caiD//murF//metH//tdcD//mpl//fdhF//ilvH//idnO//gor//fumC//deoA//luxS//trpA//paaI//asnB//apaH//iscS//puuC//rhaD//fucU//chbF//hyi//aspC//fes//fabB//hemL//purL//cysK//waaH//ynfG//
ArcA_pos	hemF//mltF//nanK//hemH//caiD//preA//frdC//pgi//deoB//puuC//alkA//queA//ruvB//queA//feaB//frdB//murQ//nanM//pykF//mhpC//yedX//pgm//avtA//mhpA//mhpC//glyA//betB//dapB//ascB//tdcB//tdcB//
ArgP_neg	
ArgP_pos	rffC//paaA//gpsA//fbaA//sdhB//hycB//ftnA//xdhC//frdD//
ArgR_neg	hcaB//cheB//ssuE//atoD//dapB//gltD//gabT//aspC//ilvC//bcsZ//eno//caiD//paaJ//hcaB//tam//rpiB//yqhD//tyrA//
ArgR_pos	trpE//aldB//astA//caiC//ilvA//
ArsR_neg	phoA//cynT//
AscG_neg	truB//wecC//
AsnC_neg	glcE//
AsnC_pos	astD//
AtoC_pos	argA//yqhD//gutQ//
BCCP_neg	ydcS//
BaeR_pos	fumC//glpQ//
BasR_neg	ybjG//
BasR_pos	rutD//hycE//
BetI_neg	speC//rhaA//fabD//
BirA_neg	argB//mtlD//paaB//ackA//talA//
BluR_neg	
BolA_neg	uxaC//luxS//
BolA_pos	rffH//fadD//
BtsR_pos	dapB//
CRP_neg	dusB//nrdD//truB//manA//nanM//lsrK//glgX//moeA//pyrC//phnO//trmD//aceF//citX//prpB//pepD//phnN//accD//fucK//tdcG//tauD//ravA//treC//sucD//alaA//rsmA//nagA//paaA//pdeH//citC//paaB//argE//thrS//purE//caiD//chiA//pdeH//prpB//mnmG//malP//tdcB//fadA//folA//hycD//dgkA//nemA//mnmG//dinB//nrfA//umuD//sgbH//pspE//astB//idnD//aspC//hemF//entF//uidA//fadA//hcaB//rffT//ilvM//pepD//cysC//hyaA//torA//pgpC//gadA//gor//recD//hcaD//pgaC//
CRP_pos	gabD//ilvG_1//feaB//gloA//manA//glgP//glpQ//purE//ftnA//glcE//pgaD//fucA//hemH//astA//dusB//rfe//sucC//purE//dmsB//cadA//astD//rhaD//amn//serA//leuC//pgi//aroL//hcaF//pncB//purN//ilvD//dhaM//lldD//glyA//glpA//fbaA//poxB//mazG//nanE//malY//nagA//gltX//glpK//argH//ubiA//paaJ//paaH//ruvB//folE//wecB//trpD//sucC//uxaB//astA//nrfC//adiA//napA//fadJ//ulaG//lsrG//moaD//puuD//purK//ubiC//entE//entD//glgA//chbG//mltF//nadA//pyrC//cpdB//fbaB//fabA//wrbA//rutE//frdC//luxS//thrS//gcvT//rsmA//prpB//dgcZ//phr//nrdD//sucC//purD//icd//pflB//accA//paaI//cysH//dapB//psd//yqhD//ung//waaH//pheT//malS//sgbH//alaS//gcvH//kbl//gltD//nanA//yqhD//upp//ubiX//preA//nagA//cysK//uxaA//accA//wecC//aspA//tadA//glpD//metH//prpE//sucB//chbG//prpD//astC//recB//murF//pgaC//ribA//fucA//glk//katE//gcvT//prpB//bioF//gadB//glgB//dgkA//wecC//uxaA//citG//dkgA//rhaD//wzc//bioA//ravA//ung//fumA//uidA//phnO//edd//asnB//puuA//pheT//ada//gltD//dmsC//astE//purC//ascB//mpaA//alaC//cheB//napG//garK//mraY//purB//aceA//gor//cysG//avtA//pheT//ascB//deoA//frdD//glgC//argB//sodA//glpK//slt//lsrG//feaB//carB//sdhD//chbG//bglB//gatZ//aceA//add//dapB//ynfF//allE//sgbU//poxB//gltX//asnA//sucB//arsC//malZ//deoD//mhpA//puuC//phnP//kbaZ//nrfC//polB//glnA//sdhA//lyxK//astC//frc//murG//argG//astA//wecE//slt//rhaA//katE//argA//glgX//phnO//aroA//ilvC//epd//pdeR//leuB//dkgA//ppc//allB//gcvT//pgpC//entA//aceB//argB//purL//fruK//yedX//argI//ilvA//edd//glcE//ahpC//rnpB//lyxK//ftsI//glpC//ldtC//cueO//cyaA//avtA//cysE//
CadC_pos	glyA//nagB//argE//
CaiF_pos	recF//napB//fucO//glpK//entD//
Cbl_pos	idnO//wzc//fabZ//metB//dadX//
CdaR_pos	pdeR//wecC//hycG//fumA//mazG//fumA//folE//hcp//apaH//
CecR_neg	recD//
ChbR_neg	speB//wecE//phnL//
ChbR_pos	rtcB//hycF//moeB//
ComR_neg	
CpxR_neg	purK//apaH//prs//
CpxR_pos	sdaA//phr//torC//hemF//aroG//lsrG//ldtD//entE//moeB//fau//tam//prpC//nadB//lpd//moaE//paaH//glpC//gcvH//
Cra_neg	gatD//dkgA//fabZ//ppsA//folE//aspC//moaA//katG//gltX//purK//astE//katG//lldD//deoB//apaH//ada//paaE//citC//ubiC//rimK//cysG//malY//allC//cynT//paaZ//bcsZ//rffC//nrdB//sdhD//moaA//fadH//fadI//alaA//metB//guaB//allA//ampC//sodA//ruvA//galM//pgaB//rpiB//fruK//tyrB//fabZ//
Cra_pos	manA//fadB//hycB//pykF//pgpC//prpB//ascB//uvrB//phoA//sgbU//nrdE//mnmG//metA//poxB//yfdE//metB//speC//
CreB_neg	zwf//
CreB_pos	phoA//
CsgD_neg	citX//nirD//
CsgD_pos	gltA//alaS//deoB//
CsiR_neg	pgaC//astC//gabT//cheR//
CspA_pos	gabT//
CueR_neg	cpdB//fabI//hycD//
CueR_pos	carB//pck//
CusR_pos	pfkA//nadA//moaA//dgcN//
CynR_neg	
CynR_pos	glxR//cysK//kbaZ//
CysB_neg	ilvN//moaE//narI//
CysB_pos	umuC//speB//lsrK//deoB//lpd//frdB//nemA//fabB//rutA//ravA//paaJ//cysD//pdeR//preT//
CytR_neg	ynfG//ssuD//nrdE//rffH//pnp//tdcG//tpiA//garD//metK//pdeL//
DcuR_pos	gpsA//glpD//cadA//trmD//
DeoR_neg	purL//adiA//puuD//asnA//cysC//aceA//
DhaR_neg	
DhaR_pos	kbaZ//
DicA_neg	
DinJ-YafQ_neg	cysK//
DnaA_neg	nrdA//hyi//betB//glmU//pfkA//
DnaA_pos	adiA//alaS//phnO//
DpiA_neg	
