# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	paaJ//gdhA//
Ada_neg	nrfA//apaH//
Ada_pos	paaB//paaC//adhE//deoD//
AdiY_pos	rutA//tdh//uvrA//avtA//
AgaR_neg	poxB//
AidB_neg	aroA//
AlaS_neg	paaY//
AllR_neg	uvrC//cyaA//umuD//ulaD//paaC//nadC//
AllS_pos	murE//ldtC//dapB//
AlsR_neg	sodB//napA//glpD//
AppY_pos	aspC//mhpF//
AraC_neg	entE//hyaA//fucU//waaY//alaA//
AraC_pos	mpaA//truB//argB//nrfC//paaC//ulaD//
ArcA_neg	umpH//icd//rbsD//pdxA//glxK//pspE//pepD//hemH//fbaB//murE//citE//dusB//dmsB//gdhA//ttdA//amn//leuB//nadA//cyaA//xdhB//yeaG//gatD//lldD//tyrB//thrS//leuA//add//tdcE//sdhA//xdhA//deoD//dgcC//katG//gabT//rimK//ycjG//phnO//cysM//ychF//sodA//ccp//tauD//ppc//astA//moaA//sdhB//yqjH//ndh//araA//dusB//bioC//rffC//garL//puuA//metH//paaH//sdhA//fadH//dsdA//ilvG_1//hemL//srkA//hypB//paaA//appA//lacA//ilvG_1//rhaD//trmA//
ArcA_pos	treC//ampD//rutC//glmS//pgm//grxA//hcaC//aspA//fucO//murQ//entD//betA//pgpC//glxR//ampC//phoA//dadA//citF//tam//deoD//waaH//ldtD//fumC//moaC//allC//uvrA//sdhC//pdxA//alsE//purA//gatY//
ArgP_neg	
ArgP_pos	lyxK//serA//gloA//ascB//chiA//gloA//purB//phnJ//caiD//
ArgR_neg	cmoM//amn//acnB//caiC//prpE//pykF//ldtC//cynT//prmC//ybjG//nagA//hcaF//ugpQ//umuD//tdh//hflX//yeaE//torC//
ArgR_pos	rtcA//ilvI//xdhB//astE//glpA//
ArsR_neg	dinB//polA//
AscG_neg	ynfF//fumC//
AsnC_neg	dkgA//
AsnC_pos	fucA//
AtoC_pos	sbcC//serC//glpK//
BCCP_neg	moaE//
BaeR_pos	pdxA//fucU//
BasR_neg	lhgO//
BasR_pos	lpxD//grxA//
BetI_neg	argD//gabD//argG//
BirA_neg	dacC//chbF//rsmA//cyoE//phnO//
BluR_neg	
BolA_neg	rnpB//fucA//
BolA_pos	hycF//accD//
BtsR_pos	glcD//
CRP_neg	pdxA//atoA//psd//tdcG//glgB//epd//sucA//rpiB//aceE//puuA//ampD//mpaA//gadB//lacZ//uxaC//glcD//sucB//ppc//chbG//idnO//xdhA//cpdB//astA//gpsA//ogt//ubiA//hypB//entF//yeaE//uxuA//glxR//argA//gpsA//ackA//fadJ//pgaC//argI//pykF//deoD//caiB//idnO//entC//murC//putA//recF//entC//nrdD//malP//phnI//dhaM//glgA//puuE//yedX//pdeF//xapA//gabD//paaH//nfsB//uxuB//leuC//guaB//cheR//nadC//dadX//moaE//preT//napA//cynS//aroA//argB//rutB//
CRP_pos	moaE//mtlD//murF//kbl//dgcC//rutA//xdhC//lhgO//nrfD//cysN//pykF//rutB//ynfE//hcaF//pheS//lpxA//dhaM//glpB//umpH//mngB//ftsI//dadA//trmD//rffG//hycD//accD//hflX//preA//pck//patZ//dadX//fabD//hemA//sucD//glpB//add//idnO//caiD//tdcB//napA//ilvB//ygeA//cysG//glnA//hycB//glpX//sucD//cmoM//speB//tdcE//rtcB//hycE//alsE//gcvT//xylB//hflX//fadD//dgcC//ulaF//cmoM//dkgB//lysA//nfsB//glmU//sdhD//gabT//glnA//mltF//serA//hemL//manA//uxuA//galM//argG//aroH//uvrA//astD//mhpA//lhgO//pheT//xapA//tdcB//nrdF//aceF//fabZ//yeaG//asnB//betA//ubiA//pgi//moaA//glgA//astE//hpt//dgcC//trpC//bcsB//nadB//pgk//uxaA//ilvN//glgP//nrfC//entC//argB//idnD//sdaA//cysI//sodA//dmsB//ruvA//mhpE//sufS//chiA//rffH//fumB//acnB//argB//nrdE//metA//rtcB//metC//udp//lysU//mhpC//cmoM//acnB//deoC//alaC//rffT//phnJ//zwf//ppiA//pheT//torA//hyaC//nfsA//pgk//umpH//nrdB//codA//frdA//aceA//dadA//guaB//hypF//ilvG_1//puuB//gntK//carA//pgm//garK//paaJ//yeaG//adeD//rffT//ulaE//lpxD//moaD//gor//purM//ilvH//fadI//mhpB//ilvH//caiA//caiA//ilvH//upp//paaI//ruvB//rutE//gabD//frdC//ygeA//ybjG//moaD//fumB//ruvA//hycC//ybjG//mhpC//rhaD//melA//alkB//hycB//argH//nfsA//lsrG//dhaL//frdB//guaA//gabD//mhpF//add//cysN//leuB//gabD//chiA//moaE//ybjG//bioC//yeaG//murQ//idnK//katE//cyoE//kbl//ubiX//dadA//uvrC//mhpC//uxuA//prmC//tdcG//ttdB//paaZ//entH//malZ//waaZ//atoD//bioA//purH//gdhA//nadC//sucC//ulaF//xdhC//ulaG//rnpB//rsmH//lsrF//mhpF//ppiA//bacA//lyxK//pdeR//gabD//putA//dhaK//xylB//argD//cadA//slt//ascB//glxK//trpD//phnG//citG//
CadC_pos	ahpF//pyrD//mltF//
CaiF_pos	allD//tauD//add//phnI//wzb//
Cbl_pos	glpD//metB//entA//accD//ugpQ//
CdaR_pos	paaC//fucO//umpH//entD//phnO//fbaB//wzb//glxR//glgA//
CecR_neg	lpd//
ChbR_neg	aroL//paaK//ldtB//
ChbR_pos	udp//nirD//alaC//
ComR_neg	
CpxR_neg	cynT//glpE//ubiC//
CpxR_pos	galT//hchA//moaD//glxR//nrfC//aldB//atoA//feaB//glk//dhaK//aceA//ravA//caiB//glpB//argF//caiB//pncB//purF//
Cra_neg	polB//fucO//cheR//rsmA//purK//rhaD//caiA//purD//bioF//sdaA//uxaC//polA//hycG//ycjG//murI//apaH//ada//psd//dacC//wecB//cysD//ugpQ//sdhB//accC//cysI//purL//mhpF//puuE//gapA//cysM//paaY//malQ//moaD//ilvH//melA//malS//ansB//moeB//tynA//deoC//fadH//ycjG//malY//leuA//gadA//
Cra_pos	purK//ppc//pflB//aceF//fadB//rffC//hcaF//ubiA//ftsI//glpA//aspA//gltD//argD//alaA//fruK//polB//glxR//
CreB_neg	trpD//
CreB_pos	pepD//
CsgD_neg	ulaD//bioC//
CsgD_pos	ldtC//recD//betA//
CsiR_neg	cysE//cysH//recF//aceE//
CspA_pos	katG//
CueR_neg	pyrD//slt//tpiA//
CueR_pos	ttdB//dkgB//
CusR_pos	mhpE//dhaL//mraY//hycB//
CynR_neg	
CynR_pos	allA//aceB//deoB//
CysB_neg	ackA//ddlB//cysG//
CysB_pos	argC//nrdE//trpD//frc//murI//glxR//phr//wecB//serC//mltF//glcD//phnO//tadA//lldD//
CytR_neg	argG//add//cmoM//cynT//pagP//sgbH//napH//malY//paaZ//fucA//
DcuR_pos	mhpD//trpD//bglB//rutE//
DeoR_neg	ansB//fbaA//cyoE//hflX//ccp//glgP//
DhaR_neg	
DhaR_pos	fabA//
DicA_neg	
DinJ-YafQ_neg	dapD//
DnaA_neg	nirD//feaB//paaZ//acs//ynfH//
DnaA_pos	metB//phr//moaC//
DpiA_neg	
DpiA_pos	glxK//accA//hycB//pheT//pgpC//
DsdC_neg	
DsdC_pos	nfsA//idnO//
EbgR_neg	
EnvR_neg	entC//leuD//
EnvY_pos	nirD//zwf//
EvgA_pos	paaC//gcvH//ahpC//ynfE//dusB//chiA//
ExuR_neg	hyi//galK//purC//hcaD//rbsK//ppsA//
FNR_neg	gcd//nrdB//dmsB//glgP//aroG//cmoM//dgkA//phnI//atoB//malQ//metK//cysE//ruvA//speC//glyA//udp//gdhA//paaA//purE//tdcG//dhaL//fucI//arsC//citD//aldB//iscS//fbaB//udp//fumB//sodB//sdhB//katE//bioA//cdd//sbcD//eda//pdeH//rutA//dmsA//accA//ydcS//ubiA//manA//deoA//
