# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	ygeA//nrdF//
Ada_neg	hemA//acs//
Ada_pos	napH//xdhB//metL//sdhC//
AdiY_pos	speC//glk//ackA//sodA//
AgaR_neg	mpl//
AidB_neg	gatZ//
AlaS_neg	fes//
AllR_neg	ttdA//dmsB//xdhC//aldA//bcsZ//pgaB//
AllS_pos	nanA//sdhD//lldD//
AlsR_neg	acs//entC//tdcD//
AppY_pos	lpxA//uxuA//
AraC_neg	tdcD//folE//adeD//nanK//pncB//
AraC_pos	trmA//relA//sgbU//astA//umpH//luxS//
ArcA_neg	metB//glpQ//ulaF//preA//ilvG_1//fucA//entA//moaC//atoB//bglB//citE//gloA//aroA//betB//yeaE//cueO//atoD//moeA//paaC//puuD//amiA//sgbH//mazG//pnp//metC//mhpE//mraY//ynfH//acnB//fbaB//gpmM//dkgA//lldD//ruvA//gpmA//purC//fruK//cysK//cysK//argH//argH//ynfE//fes//trmD//sgbU//moeB//pykF//nanK//bacA//citX//gcvT//alaA//hycF//narH//fabI//cueO//pdeH//pdxA//betA//speC//hemA//murQ//cdd//leuC//truB//argD//trpE//caiC//dhaM//
ArcA_pos	cheR//cyoE//nrdD//dusB//glpQ//nanA//yeaG//ftnA//cdd//chbG//mhpC//frdC//cysD//glyA//pgaB//bcsB//hypF//glnA//pdeF//cmoM//mpl//hcaE//hchA//acnA//gabD//srkA//dkgA//bioD//gpmA//ulaD//gntK//
ArgP_neg	
ArgP_pos	fau//fadI//sgbH//mhpF//dkgA//ulaE//narI//phnH//cheR//
ArgR_neg	caiB//aroF//sgbH//appA//pykF//argF//preT//cysJ//ygeA//fadE//acnB//napG//truB//pgaC//nagA//ilvB//idnO//argF//
ArgR_pos	mhpC//citE//fabI//glxR//waaZ//
ArsR_neg	pheS//pagP//
AscG_neg	torC//fruK//
AsnC_neg	glpA//
AsnC_pos	paaA//
AtoC_pos	gloA//purC//hcaB//
BCCP_neg	bioF//
BaeR_pos	bioA//manA//
BasR_neg	phnP//
BasR_pos	torA//aceA//
BetI_neg	dkgA//cpdB//kbaY//
BirA_neg	pncB//gltX//hcaB//betA//upp//
BluR_neg	
