# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	talA//ogt//
Ada_neg	ssuE//cadA//
Ada_pos	paaG//garR//katG//nrdD//
AdiY_pos	glpK//ycjG//glpB//cysC//
AgaR_neg	purF//
AidB_neg	paaE//
AlaS_neg	pncB//
AllR_neg	ynfG//narG//tdcG//murF//gcvH//fabG//
AllS_pos	lhgO//tam//codA//
AlsR_neg	caiA//iscS//phnP//
AppY_pos	hemA//metL//
AraC_neg	frdB//fdhF//glnA//mhpF//hyi//
AraC_pos	cyoE//dinB//gapA//aspA//rbsD//malY//
ArcA_neg	dacC//ilvD//glcB//thrS//aceB//fabB//dacC//speC//prpB//tdcD//hemL//ilvD//garR//glpX//sucD//ccp//chbG//purK//galT//fadM//ilvG_1//cysN//rutA//paaZ//gadA//icd//aspC//dhaK//speB//bcsB//dkgA//astE//polB//aldB//pepD//hcaE//entH//fadI//rimK//ybjG//entE//fadB//murI//metE//hcp//purN//hycF//paaC//argD//bcsZ//yqhD//malP//wzc//ycjG//ulaD//xapA//citX//pyrC//nadB//sucD//moaE//aspC//ygeA//xdhA//gadB//citC//ynfH//hflX//patD//
ArcA_pos	aldB//speC//rtcA//prpC//pdeL//ilvB//rffC//phnN//rsmA//icd//ilvI//oxc//rnpB//pheT//argB//purL//paaH//alaS//carA//pgi//paaE//gadB//murI//patA//serA//glgC//entH//ynfE//fucU//hcaE//cysH//
ArgP_neg	
ArgP_pos	citF//entD//citE//tpiA//icd//rutC//cyoE//fadB//ldtC//
ArgR_neg	xdhB//purK//pdeL//cmoM//allC//manA//grxA//hycB//sucB//sucC//atoB//malS//puuC//dkgB//lldD//glpA//katG//wzb//
ArgR_pos	aldA//idnO//dadX//phnN//lpxD//
ArsR_neg	purF//rutA//
AscG_neg	citD//tdcG//
AsnC_neg	arsC//
AsnC_pos	phoA//
AtoC_pos	patA//tynA//pgaB//
BCCP_neg	slt//
BaeR_pos	mhpC//citF//
BasR_neg	chbF//
BasR_pos	uxaA//ackA//
BetI_neg	bioF//rffC//pspE//
BirA_neg	cysM//acnB//lhgO//ulaG//pheT//
BluR_neg	
BolA_neg	folA//mhpB//
BolA_pos	lsrF//citF//
BtsR_pos	gadA//
CRP_neg	sucB//wecB//hcaC//zwf//tam//araB//ulaD//hmp//gadB//rimK//wrbA//murI//fau//glpC//ssuE//fumC//paaG//araB//paaI//gadB//cheB//purH//ada//prpB//caiA//trpA//ndh//pnp//argA//hcaC//argB//allD//ampC//cysE//mngB//rtcB//cysI//trpD//katG//rbsK//pgpC//argB//frdD//glpX//ubiA//fucK//prpD//kbl//trpC//ampD//uxuB//gltB//gcd//pspE//torC//nfsB//mdh//entC//nanA//xdhC//moeA//aceB//gpmM//astC//rffC//dhaK//uxaC//edd//yfdE//pncB//fbaA//
CRP_pos	ydcS//hyi//talA//allE//deoA//ilvE//murE//fau//lacZ//glnA//bioB//garK//prpB//lhgO//mngB//ppsA//cueO//allB//narH//atoB//idnO//ygeA//phnP//leuA//ugpQ//accA//narH//sodA//leuC//sdhA//ydcS//paaY//hemH//pgpC//astE//eno//lacA//hchA//hycD//rtcB//paaH//aldA//glxK//glxR//yqhD//carB//ilvB//nrdE//rutD//ada//mpaA//leuC//lsrF//ssuE//glpE//mpaA//paaB//gcd//citC//ubiX//appA//trpD//lsrK//carB//edd//murQ//lpd//paaZ//lacA//phr//hmp//alaA//recD//pheS//purM//gltA//uxuA//garL//appA//rtcA//dacC//chbG//hemA//kbl//uvrB//cysG//paaJ//nagB//waaH//ccp//cheB//mltF//amn//cynT//hypF//frc//leuB//trpD//paaA//pspE//astB//srlD//pfkA//ygeA//ubiX//aroL//citD//uidA//fabG//relA//metH//paaC//astB//araD//leuB//ygeA//bioC//lysA//asnB//accA//glgX//cheB//ldtC//apaH//thrS//sdaA//phnO//wecC//mngB//paaK//cysE//dadA//frc//purE//tdcB//ssuE//murQ//murC//recB//bglB//dmsA//mnmG//metH//glgX//chiA//hycD//nanA//mpaA//pepD//glcD//phnJ//allD//gcvP//hyaA//ung//allE//slt//galE//accD//argD//phnG//ogt//xdhB//lsrG//gudD//murI//mngB//prpD//hycG//ruvB//nemA//cysN//carB//glyA//puuE//lysU//glpK//wecC//tyrB//astA//polA//ribA//manA//dacC//aceF//bcsB//umuC//prs//waaH//gcd//fumA//mnmG//lacA//rutC//apaH//ssuD//mhpF//garK//gdhA//caiC//idnK//caiA//leuC//glgX//trpC//slt//alaA//manA//citC//pgaD//dhaM//ppiA//serA//rffG//ubiA//araB//mraY//pgaC//nanK//araA//argA//murF//fabA//caiC//patZ//rbsD//gltD//asnA//aspC//paaK//bioB//dkgB//glyA//pgi//metC//gcl//pgaB//entF//xapA//wzc//mraY//purK//chiA//paaH//yqhD//allD//prs//uidA//paaY//
CadC_pos	tyrB//rsmH//folA//
CaiF_pos	psd//glpX//bioC//gcvT//moaE//
Cbl_pos	glnA//recF//murF//rbsD//gutQ//
