# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	gntK//trmA//
Ada_neg	mpl//astE//
Ada_pos	ddlB//speA//rutA//fabI//
AdiY_pos	gloA//cyaA//allC//luxS//
AgaR_neg	narI//
AidB_neg	phoA//
AlaS_neg	cysN//
AllR_neg	cysH//cysC//malQ//gcvP//aspA//idnK//
AllS_pos	trmA//fadB//mazG//
AlsR_neg	pheT//dsdA//murQ//
AppY_pos	waaY//accC//
AraC_neg	tdcE//trpC//glpK//paaK//mhpC//
AraC_pos	lpxD//dsdA//ubiA//aceB//moaA//wzb//
ArcA_neg	dkgB//ppc//murE//prpE//recF//ybjG//entA//argA//glxR//grxA//rbsK//mraY//pfkA//hyaC//argI//mhpE//metC//ydcS//gor//cysC//gadB//citG//caiB//cysD//ulaD//bcsB//fadE//purH//garR//aspC//entF//cysE//ulaE//trpA//rffC//cynS//purD//frdB//deoA//umuD//hemA//ynfH//gor//luxS//gabD//rhaA//purC//tauD//mtlD//fucO//pgi//murD//glgP//aroA//dinB//tpiA//cysJ//pgk//uidA//paaE//trpE//rffM//pfkA//entB//lhgO//cueO//glcF//astA//bioC//
ArcA_pos	uvrB//ybjG//sdhD//accA//astC//pgk//frdA//paaC//glpX//ubiC//narG//entB//glgB//mraY//xylB//alsE//sdhC//ilvA//aceA//rsmA//wecE//argE//narH//entA//glpA//tdcE//edd//cdd//purE//sdhD//bioA//
ArgP_neg	
ArgP_pos	wecB//nfsA//pnp//aroH//aceF//dgkA//murG//xdhA//prmC//
ArgR_neg	mhpA//entB//phnH//fumB//talA//rffT//gadB//astE//ynfH//pheS//cysH//gloA//frdC//kbaZ//allA//ilvD//yiaK//ascB//
ArgR_pos	torA//hypF//prpC//betB//astB//
ArsR_neg	gcl//pagP//
AscG_neg	gatZ//fabZ//
AsnC_neg	allC//
AsnC_pos	pgm//
AtoC_pos	accC//tauD//lacZ//
BCCP_neg	gltX//
BaeR_pos	kbaZ//glgB//
BasR_neg	ilvH//
BasR_pos	nrdB//fabG//
BetI_neg	astD//sucB//ldtC//
BirA_neg	rsmA//pykF//epd//glgB//puuB//
BluR_neg	
BolA_neg	mnmG//argA//
BolA_pos	leuC//glsA//
BtsR_pos	aldB//
CRP_neg	hyaC//serC//ynfF//nrfC//prpC//gcvP//ansB//pyrD//bioB//purN//allE//argF//ilvM//hyaA//glpE//entB//paaF//ttdA//bacA//gltD//glyA//ribA//yqjH//phnN//galT//cyaA//ahpF//metE//lpxC//pgk//mraY//nanE//glpX//bcsZ//hypF//edd//galE//purL//metH//glcE//lsrG//hcaD//recF//mnmG//mpaA//dmsC//amiA//nirB//mazG//cueO//nrdD//nanA//gabT//fdhF//recB//citD//gntK//sgbH//hemL//bglB//murC//lsrK//cueO//alaS//puuD//pgpC//phnH//xdhB//ascB//pspE//citE//
