# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	fucO//bcsB//
Ada_neg	pgaD//cysK//
Ada_pos	uidA//dgkA//sodB//eno//
AdiY_pos	metA//fadD//uvrC//oxc//
AgaR_neg	nrdD//
AidB_neg	tynA//
AlaS_neg	sdhA//
AllR_neg	leuD//ppc//deoB//polB//leuB//queA//
AllS_pos	dmsB//accA//argF//
AlsR_neg	gpsA//xylA//lacZ//
AppY_pos	fumC//hcaD//
AraC_neg	rtcB//carA//dhaL//waaY//nirD//
AraC_pos	fbaA//dgcZ//lacA//metE//purF//nemA//
ArcA_neg	rutD//malP//pspE//cadA//gcvH//nadC//glcE//dinB//murQ//pflB//nrdD//pgm//polB//fadI//betB//hemA//ppc//zwf//rhaA//dhaM//ttdB//nirD//ygeA//yeaG//codA//allC//speB//hyaB//pdeH//cheB//glxK//yqhD//tktB//pflB//tdcD//umuD//rimK//paaA//bcsZ//tdcD//aroA//citX//pheS//folA//ilvI//edd//fumC//phnM//pdeL//hemH//tdh//apaH//hycC//xapA//alkB//entH//hypB//chbG//uxuA//rimK//ampC//fumA//ada//rhaA//chiA//uvrB//rhaA//ynfE//fes//
ArcA_pos	glmU//speA//purF//fadI//aroA//tdcD//cysH//purD//citD//patA//adhE//queA//epd//prs//fruK//argH//paaF//tyrB//wzb//metE//rutB//fau//leuD//phnL//fau//waaY//alkA//pheT//rpiB//fabA//ppiA//
ArgP_neg	
ArgP_pos	fadH//zwf//glcF//grxA//argA//dmsA//glgA//ssuE//kbl//
ArgR_neg	folE//tdcB//idnK//mpaA//ssuD//hemA//frdA//uvrA//glxR//ychF//nadA//phoA//recB//malQ//purL//patA//citX//umpH//
ArgR_pos	fabA//napG//astD//paaY//tktB//
ArsR_neg	ackA//alaC//
AscG_neg	xapA//putA//
AsnC_neg	poxB//
