# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	argD//ampC//
Ada_neg	grxA//glxK//
Ada_pos	mnmG//sucB//paaA//puuB//
AdiY_pos	chbG//add//lpxD//xdhA//
AgaR_neg	dmsC//
AidB_neg	acnA//
AlaS_neg	sodA//
AllR_neg	adeD//citX//citF//allB//nadC//astC//
AllS_pos	dapD//aspA//purC//
AlsR_neg	betA//ldtC//hycC//
AppY_pos	fadI//bioF//
AraC_neg	gpmA//cadA//psd//sgbU//citG//
AraC_pos	aceA//prmC//alaA//hcaE//ilvE//deoD//
ArcA_neg	puuB//sucC//pykF//nemA//recD//pgaB//rnpB//ulaE//caiC//lyxK//thrS//gapA//dmsC//pepD//ilvM//cheR//paaJ//aldA//phoA//bioD//moaC//add//fadI//gpmM//ilvM//purE//sgbH//eda//fucO//ilvI//deoB//prpD//glmS//prpC//glgP//bioB//dadX//allE//ssuE//thrS//uxuA//adiA//oxc//uxuA//nrdA//tyrB//glgX//nanM//wzb//rhaD//glgB//prpD//yeaG//ndh//ampC//aceB//glk//astD//uvrB//trpB//nrdB//patD//ppc//purL//gpsA//fucO//ribA//paaB//umpH//
ArcA_pos	trpE//moaA//mltF//dkgB//tyrB//bioC//bioA//ubiG//puuC//accD//dadA//patD//uidA//nrfD//speC//srlD//frdD//tdcB//nrfA//mtlD//paaJ//lacA//thrS//trpB//xdhA//psd//dkgB//argC//dkgA//oxc//gnd//
ArgP_neg	
ArgP_pos	phoA//ubiA//glcF//speA//pnp//kbaZ//ppiA//chbG//paaI//
ArgR_neg	ravA//nrdD//ahpC//moeB//iscS//hyi//uxaB//add//tadA//pdeF//hcaF//mraY//gloA//frc//polB//frdD//caiA//uxaB//
ArgR_pos	alaC//sodB//deoD//ttdB//leuC//
ArsR_neg	pspE//pheT//
AscG_neg	hyi//ilvG_1//
AsnC_neg	sbcC//
AsnC_pos	frdA//
AtoC_pos	lpxD//waaH//lacZ//
BCCP_neg	astC//
BaeR_pos	serC//purD//
BasR_neg	pgk//
BasR_pos	bioC//adeD//
BetI_neg	mraY//astA//kbaZ//
BirA_neg	mngB//gltD//puuC//glk//bioC//
BluR_neg	
BolA_neg	talA//ribA//
BolA_pos	mdh//gor//
BtsR_pos	bglB//
