# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	fadA//gatZ//
Ada_neg	gcvT//cyoE//
Ada_pos	ynfG//dhaM//metH//allE//
AdiY_pos	paaI//folA//prmC//bioD//
AgaR_neg	pgk//
AidB_neg	fucO//
AlaS_neg	accA//
AllR_neg	citF//aroG//cysM//paaG//pgaD//leuB//
AllS_pos	phr//rffM//narI//
AlsR_neg	fadE//wzc//acnA//
AppY_pos	fau//hcaB//
AraC_neg	allC//ldtD//fumA//ubiC//xylB//
AraC_pos	entF//mhpE//nanK//glcD//ndh//pyrD//
ArcA_neg	allC//nemA//fucI//cheR//xdhC//metF//pgm//glpX//rutB//nrfA//fbaA//katE//ssuD//preT//ascB//atoA//tadA//ilvD//hcaC//accA//sdhB//murF//cdd//sucA//zwf//guaA//idnO//kbaZ//hcaE//pdeR//xdhC//uvrA//ldtB//xylA//uxaC//xapA//dkgB//glyA//fabA//garD//patD//feaB//phnI//iscS//fabA//entF//gcvP//metH//ilvH//slt//fumC//slt//glgP//glgB//srkA//waaZ//mhpE//dhaM//bioC//trpA//cysK//fadM//fumC//paaF//cysJ//mpaA//add//tam//aroG//
ArcA_pos	cynT//murG//purM//ribA//betA//rffH//lhgO//paaE//talA//cysD//ddlB//metL//glyA//trmA//rutE//pdxA//alaA//dhaK//poxB//glyA//lysU//guaA//pepD//deoD//araD//cyaA//rutE//patA//pagP//bacA//ackA//
ArgP_neg	
ArgP_pos	fabB//sdaA//nirD//purF//rhaA//nagA//atoB//pdeL//fbaB//
ArgR_neg	xdhC//ccp//nanE//talA//alkA//grxA//tehB//treC//relA//pdeL//alaA//paaI//argG//nrfD//pheS//amiA//astA//argA//
ArgR_pos	ada//fadM//rhaA//mdh//glpB//
ArsR_neg	uxuB//amn//
AscG_neg	nadC//kbaZ//
AsnC_neg	treC//
AsnC_pos	fadA//
AtoC_pos	dacC//ilvG_1//tdcB//
BCCP_neg	nanA//
BaeR_pos	gpmM//paaB//
BasR_neg	umuD//
BasR_pos	pncB//agp//
BetI_neg	rffG//hycD//edd//
BirA_neg	lhgO//gutQ//uidA//gltB//glgP//
BluR_neg	
BolA_neg	luxS//cynS//
BolA_pos	polA//sgbU//
BtsR_pos	garD//
CRP_neg	chbF//rffM//cysE//wecB//astB//leuD//allC//uxaC//sdhA//nadA//aspA//allA//entF//fabD//dadA//astA//nadB//fdhF//citC//cysI//ldtC//hcaE//malZ//ubiG//alsE//malY//slt//yeaG//waaY//bioC//gpsA//pgaD//glgP//yqhD//phoA//accD//accA//nrfA//ndh//melA//hycG//leuD//argH//malQ//katG//phnJ//lsrF//frdA//pagP//mltF//mhpA//trmA//yfdE//ansB//fabB//ilvA//dhaM//hchA//waaY//rnpB//carB//tdcD//ahpF//astB//ppc//glcF//ulaE//deoA//mhpD//ogt//nrdA//
CRP_pos	luxS//ruvA//sgbE//rutD//malY//purH//astB//ilvI//allA//queA//waaY//hypB//wecC//aceB//glgC//gabT//cysH//dsdA//hflX//alaA//ppsA//xdhB//pdeR//ugpQ//lpxC//ssuD//deoC//accD//rtcA//speA//polA//agp//moeA//atoA//fes//glgX//sgbH//dgkA//phoA//nrfA//moeA//mtlD//gltA//phnJ//puuB//galK//phnG//gcvH//citX//purL//atoD//sucB//ppsA//torC//icd//nanA//hyi//accC//cyoE//murD//asnB//citF//ubiG//tyrA//nfsB//poxB//deoC//ulaE//malP//ppiA//tdh//purC//katE//nirD//cysC//agp//adiA//mpaA//sodB//dsdA//moaC//fumB//pyrC//cysE//trmD//gatD//ynfE//lacZ//metL//prpC//patA//ogt//speA//nemA//thrS//fabD//pnp//nagB//gpmA//ulaD//argH//rpiB//eda//gltD//purK//ascB//rbsK//uxuB//dadX//entB//mpl//hycE//bcsZ//puuE//rffC//gpmA//add//galM//murG//putA//epd//putA//argA//puuB//hycE//garK//ttdA//astE//gltD//ansB//aroH//nrdF//gntK//kbl//glpQ//gltB//nagA//ulaD//atoA//purN//tdcG//hcp//phnM//purH//ulaF//malY//nagB//glyA//trpE//narI//ilvI//gatD//asnA//mpaA//uvrC//glmS//dgcZ//sgbE//luxS//paaC//fumA//waaH//dusB//caiB//ilvH//phnH//narI//hycC//waaZ//torC//gcvT//pfkA//pspE//pspE//kbaY//fruK//gltX//ahpF//rffG//carA//polB//bcsB//aroA//moeA//galT//hycG//rutD//sucD//waaY//betB//ogt//pspE//hycE//glxR//dkgA//yedX//lpxD//ung//speC//ygeA//waaH//caiC//caiC//leuC//bioC//wecE//tnaA//amn//murC//pykF//lldD//accC//caiA//puuD//nanK//cyoE//nirB//torC//sucD//speB//tauD//purE//fumC//fabB//chbF//ccp//pgi//galE//pnp//hyaA//nrdD//bioC//fumC//accD//bcsB//uvrC//patZ//waaZ//rffG//gabT//tpiA//cysN//alaS//carB//alaA//ilvN//oxc//poxB//paaA//
CadC_pos	paaA//amiA//kbaZ//
CaiF_pos	sgbE//frdD//cynT//bacA//pyrC//
Cbl_pos	nirD//fbaB//ldtB//dinB//ilvB//
CdaR_pos	argG//glpD//hcaE//glcB//rfe//dkgB//cadA//hycB//ybjG//
CecR_neg	putA//
ChbR_neg	araD//entC//dmsB//
ChbR_pos	hcaD//rnpB//umuC//
ComR_neg	
CpxR_neg	katE//metK//cdd//
CpxR_pos	lhgO//yqhD//gltX//phnH//allC//malY//fucK//yqhD//tdh//citE//nadB//fadJ//dgcN//truB//phnL//phnM//uidA//pgpC//
Cra_neg	gadA//puuC//pflB//fumB//adiA//chbF//ybjG//uxaA//hycE//lldD//glgX//rsmH//uvrB//xdhC//aspC//fucU//ilvN//cmoM//gatZ//metA//cysE//bglB//ybjG//fabG//ygeA//rutA//napH//ilvM//fadE//sgbU//entD//glcD//glpE//caiB//nrdD//rffT//fucA//manA//nfsA//rhaA//adiA//nfsB//nanE//glcD//pgaB//
Cra_pos	nadA//wrbA//hemH//lpxA//rhaA//uxuA//hycD//purE//yeaG//dhaM//prmC//pheT//hmp//cysN//pfkA//ftnA//galE//
CreB_neg	uxaA//
CreB_pos	sgbE//
CsgD_neg	lpxD//fadI//
CsgD_pos	hcaE//nanA//hyi//
CsiR_neg	bioB//fes//leuA//bioD//
CspA_pos	pgi//
CueR_neg	thrS//xylA//metC//
CueR_pos	aspA//paaA//
CusR_pos	lacZ//fdhF//purM//fbaB//
CynR_neg	
CynR_pos	purH//torC//edd//
CysB_neg	recF//uidA//mpaA//
CysB_pos	ubiA//prmC//bglB//ilvB//metA//gudD//rbsK//hyaA//rfe//ssuE//lpxD//citG//lpd//hcaC//
CytR_neg	trpE//glpD//mraY//uidA//bacA//cpdB//lysC//frdA//hyi//chiA//
DcuR_pos	mpaA//lpxD//ilvC//leuC//
DeoR_neg	phnO//gcvH//dsdA//rhaD//uxaB//cysH//
DhaR_neg	
DhaR_pos	pdxA//
DicA_neg	
DinJ-YafQ_neg	phoA//
DnaA_neg	fadI//bioB//glsA//fucA//sbcC//
DnaA_pos	glpX//lsrF//purB//
DpiA_neg	
DpiA_pos	ynfE//speA//entD//puuB//wecC//
DsdC_neg	
DsdC_pos	hyaC//leuB//
EbgR_neg	
EnvR_neg	hcaF//chbF//
EnvY_pos	fabB//ogt//
EvgA_pos	dhaK//napB//ampD//prpD//alkB//entH//
ExuR_neg	gadB//srlD//phnM//pgaB//mraY//tehB//
FNR_neg	malY//murQ//paaF//dapD//mhpE//cysH//glmU//argE//allE//glgA//leuA//guaA//truB//fadA//patD//ilvH//add//dsdA//rpiB//apaH//argB//wecC//nagB//trmA//glgB//rutE//paaA//tadA//waaY//tdcB//metF//accA//metK//ugpQ//frdA//citE//allB//glk//fbaA//fabB//murC//aldA//caiA//lsrK//
FNR_pos	pgpC//argI//gntK//ldtC//talA//truB//garR//purB//fbaA//lysA//nrfC//ulaD//yeaG//waaH//aspA//luxS//ilvD//hypF//astC//caiA//pagP//cysN//nagA//icd//hcp//dusB//srlD//puuB//murE//napH//ribA//lysU//gltX//uxaC//ulaD//tdh//dsdA//dhaK//ulaE//wecB//tam//aroH//preA//adeD//apaH//pgaD//garD//gnd//hycG//dkgB//fucU//moaA//umpH//guaB//katG//rbsK//umuC//kbaZ//ycjG//nanE//umuD//dgkA//fucI//astB//malP//cysE//bcsZ//pgm//ampC//mpaA//gltD//dgcZ//moaA//ribA//ulaE//frc//fucK//glpC//galE//tnaA//atoA//polB//caiB//aceA//hypB//metH//preT//hemF//tktB//fadH//fumA//pdeH//dkgA//glgX//fadH//aceF//
FabR_neg	moaD//nadB//garR//
FadR_neg	cheR//serA//fadI//cueO//entC//dmsC//purB//tehB//ddlB//
FadR_pos	napG//edd//pck//ilvG_1//ddlB//zwf//pykF//mngB//mazG//napG//
FeaR_pos	fadI//puuA//
FhlA_pos	ilvC//uxuA//dmsA//rpiB//yfdE//ldtD//aroH//gntK//
Fis_neg	bioC//aceB//nadC//ttdA//purN//cysD//nrdB//caiA//tadA//dgcZ//ilvE//ynfG//nadB//cysE//malZ//serA//fadH//metL//sufS//cheR//bcsZ//hcaD//fucU//lsrG//trmD//gltX//rtcA//ilvG_1//fucI//hypB//nrdD//sdhD//ilvC//glpC//alkB//hycF//ulaG//cyoE//ulaG//narH//galE//ilvC//ugpQ//wzb//pdeF//rutD//
Fis_pos	paaF//allA//dacC//pfkA//hycD//gapA//pagP//gapA//glpC//pgaC//gadA//ydcS//glmS//bacA//sodB//rpiB//grxA//argG//agp//hypB//udp//malS//tauD//sucC//puuD//xdhA//tam//argC//rffT//argB//dgcZ//garD//caiA//lhgO//truB//waaY//waaZ//
FlhDC_neg	metA//rtcA//
FlhDC_pos	ung//lpxD//waaY//ybjG//phnP//relA//entA//bioD//hmp//kbaZ//lysU//uvrC//
FliZ_neg	rhaB//arsC//melA//prpB//dmsB//
FucR_pos	rnpB//dgcC//trpE//rpiB//relA//asnB//
Fur_neg	queA//hchA//srlD//preA//caiD//metK//gltB//ackA//tdcD//kbl//ldtD//bacA//glmS//deoB//sdhC//gabT//purF//rnpB//argG//sdaA//pyrC//ampC//fabA//rbsK//hyi//phr//queA//mpaA//uvrB//pncB//moaD//nagA//pepD//xdhB//bioF//bioC//dmsA//tdh//glxK//add//ung//pgaB//dsdA//ychF//ulaG//aroA//xdhC//lpxC//cyaA//uvrB//accC//aroF//aceF//
Fur_pos	lpxA//fumC//cysD//fabI//uvrC//dkgA//galT//melA//cysD//glcE//cpdB//napB//phnL//patD//cysE//pnp//
GadE-RcsB_pos	nrdE//umpH//adiA//glpB//sdhC//
GadE_pos	hpt//fabH//idnO//ttdA//ribA//melA//caiD//argG//fadA//deoA//
GadW_neg	atoB//speC//xylA//
GadW_pos	ppc//paaC//rhaA//ahpF//
GadX_neg	pheS//wecE//
GadX_pos	fes//paaE//puuD//gcl//melA//fadA//trmA//cpdB//purM//nfsA//prpC//
GalR_neg	gltB//deoC//ansB//sufS//nfsA//paaG//
GalR_pos	argH//cysC//umuD//hyaB//
GalS_neg	aspA//ynfE//napA//accC//lysC//aceA//
GalS_pos	hemA//murC//ilvI//napG//
GatR_neg	yiaK//mhpF//mhpB//
GcvA_neg	preA//hycF//upp//
GcvA_pos	prpB//uxaB//nadB//
GlcC_neg	
GlcC_pos	napG//trpD//dapD//
GlpR_neg	yeaE//phr//nfsA//ppiA//gatZ//xylA//fadJ//
GlrR_pos	
GntR_neg	folA//glgX//caiB//fbaA//glgB//bacA//bglB//lacA//prpE//
GutM_pos	carA//leuA//hpt//
H-NS_neg	citE//narG//mhpA//ahpC//napG//recF//agp//atoA//bcsB//allC//acnB//fadD//ssuD//mazG//prpB//acnB//cysE//ilvH//fbaB//ogt//tdcE//glcE//lacZ//tam//ilvD//cmoM//fdhF//uxuB//sbcC//rutB//nrfC//wrbA//lysU//bcsZ//fucI//allC//ilvG_1//lysU//phnP//gutQ//recF//idnK//entD//ydcS//arsC//leuC//paaY//uxaB//napA//appA//cysG//
