# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	dapB//paaK//
Ada_neg	hcaB//cysC//
Ada_pos	tam//ung//atoB//sdhC//
AdiY_pos	fbaB//nanM//accC//allB//
AgaR_neg	xdhA//
AidB_neg	ilvH//
AlaS_neg	metL//
AllR_neg	fadJ//speB//dusB//kbl//umuC//rhaD//
AllS_pos	entE//ppc//speB//
AlsR_neg	entD//cysG//ilvE//
AppY_pos	rffT//cyaA//
AraC_neg	dkgA//galK//glyA//gnd//lsrG//
AraC_pos	tnaA//uxaB//codA//manA//ilvE//mpaA//
ArcA_neg	yqjH//hemH//ldtC//srkA//bcsB//nfsA//ahpF//uvrA//fucO//dgcN//alaS//hycB//glgX//murQ//phnG//sdhD//fabI//ahpF//garR//serC//argC//deoC//dgcN//hchA//argD//phnP//ahpF//hemA//sgbH//lacZ//metA//purF//cysM//patA//pfkA//dmsA//glnA//gdhA//fadB//mhpC//pgm//fucU//phr//uxuA//murG//hypB//gapA//uvrB//paaE//rffM//polA//recB//gloA//apaH//metA//aspA//dinB//talA//arsC//cyoE//murI//gutQ//paaC//ssuD//xylB//talA//fbaA//araA//atoA//
ArcA_pos	umpH//paaF//pdeF//ilvA//caiC//cysC//gloA//paaG//gadB//allA//gcvP//bioB//hemH//metE//gcvH//mhpB//apaH//sdaA//ttdB//polB//acnB//lldD//bcsZ//phnO//fadA//hcp//ilvC//umpH//narH//metL//mraY//
ArgP_neg	
ArgP_pos	cheB//ychF//fabH//cyoE//cysE//cdd//puuA//ttdB//cysK//
ArgR_neg	yeaG//fadM//epd//paaF//glyA//gcd//galM//entF//phnH//hcaD//asnB//ilvM//patA//accD//sbcD//wecB//lsrG//idnO//
ArgR_pos	serC//entF//pfkA//pgi//citC//
ArsR_neg	alaS//ilvD//
AscG_neg	aroH//umuD//
AsnC_neg	wecC//
AsnC_pos	astC//
AtoC_pos	mraY//kbaZ//astA//
BCCP_neg	bioC//
BaeR_pos	torA//paaZ//
BasR_neg	mhpC//
BasR_pos	nemA//phnH//
BetI_neg	trmD//glpX//paaH//
BirA_neg	psd//ahpC//rtcA//ppiA//pck//
BluR_neg	
BolA_neg	fabG//bacA//
BolA_pos	phnN//glpE//
BtsR_pos	patA//
CRP_neg	fadH//leuA//ilvM//rfe//rhaB//umpH//citX//edd//sbcD//torC//moeB//leuD//add//hcaC//araD//rimK//pdeL//mhpC//lacA//gutQ//ampD//hemL//sdaA//ilvH//mhpD//gadB//ahpC//yiaK//nadB//metF//pdeR//aroF//nagB//lhgO//phnO//fdhF//ackA//pck//frdC//ndh//ascB//cynT//codA//yqhD//wzc//deoC//ydcS//gor//cpdB//pgaD//phoA//allD//tadA//uxaA//waaH//alkA//glmU//alkB//dmsB//waaY//pgk//yiaK//leuC//recF//dhaM//fucK//kbl//garR//fabA//carA//garL//
