# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	relA//fdhF//
Ada_neg	nrdF//pgm//
Ada_pos	glcB//preT//glxR//ribA//
AdiY_pos	phnM//guaA//mhpC//ynfF//
AgaR_neg	gltB//
AidB_neg	cysN//
AlaS_neg	ribA//
AllR_neg	purH//mhpE//ccp//uvrC//dgkA//nanK//
AllS_pos	paaI//mraY//hyaB//
AlsR_neg	wecB//alaA//chiA//
AppY_pos	gpsA//fabH//
AraC_neg	murQ//metH//pgpC//srkA//citD//
AraC_pos	cheR//gltX//fabH//rhaD//pgaD//wecE//
ArcA_neg	rffT//hyaA//ubiG//dgkA//astE//argA//sgbE//paaJ//cynT//nrdA//prs//purF//gapA//gltX//dgcZ//lsrK//dgcC//puuA//chbG//ygeA//deoA//ssuE//cueO//putA//citC//bioB//phnH//phr//nanA//metL//nadC//cadA//allB//purM//tyrA//pdeF//tyrB//cysD//yiaK//rimK//pdeH//gpmM//idnD//uxuA//purN//prpE//tnaA//nrdF//nemA//lpxC//hycB//glpK//hemF//alaA//dmsC//yeaG//pgm//nrfD//rbsK//yeaE//dmsC//hycC//adeD//mhpC//xylA//guaA//astA//pheS//rsmH//
ArcA_pos	dinB//glpB//yeaG//fadJ//sdhD//murF//argD//phnP//bioA//folA//fadE//fes//moaD//citD//galT//speA//nadA//ilvM//metE//dkgA//zwf//xapA//frdC//purD//pheT//ulaE//asnB//phnP//paaE//aldB//dusB//
ArgP_neg	
ArgP_pos	atoA//cadA//nirB//metA//astA//relA//hchA//hyaC//udp//
ArgR_neg	gloA//rutC//phnP//lpxC//upp//gnd//chiA//ndh//galK//deoB//entD//tyrA//prpC//cysC//wecE//rutC//trpD//lacA//
ArgR_pos	gapA//gpmA//pepD//moaD//lpxC//
ArsR_neg	gcvT//alsE//
AscG_neg	ydcS//aroH//
AsnC_neg	recB//
AsnC_pos	serA//
AtoC_pos	hycC//caiA//polB//
BCCP_neg	ampD//
BaeR_pos	udp//hycD//
BasR_neg	xylA//
BasR_pos	deoC//guaB//
BetI_neg	araB//alaS//alsE//
BirA_neg	hycD//glcD//sbcC//cyaA//dmsC//
BluR_neg	
BolA_neg	katE//alaC//
BolA_pos	astD//rhaA//
BtsR_pos	pncB//
CRP_neg	aroA//frdD//cysJ//pgi//bglB//cyaA//aroL//appA//gcl//murC//ttdB//gcd//rbsD//patA//arsC//avtA//metE//glpB//hcp//ulaF//bglB//phr//upp//malY//patD//ilvD//argH//glpQ//poxB//pyrC//purA//paaI//lacZ//allB//bacA//dgcZ//hpt//paaE//trpE//dmsC//metK//polA//nadC//zwf//alkB//tauD//mtlD//glgX//bioD//edd//astC//treC//ttdB//entE//mnmG//pck//glsA//betB//trmA//psd//deoA//ulaG//ulaE//patA//wrbA//entC//pdeF//ugpQ//ilvG_1//puuB//hyaA//
CRP_pos	sdhC//preT//paaH//betB//rhaD//citF//preA//dmsC//napB//srkA//kbaY//glmU//bcsZ//ahpF//allB//ppc//rutB//astD//mltF//hcaE//ubiC//metC//fabZ//glpD//mazG//gntK//dmsC//lpxD//hcaD//citX//lysC//gcvT//fabH//glcB//tam//icd//aspA//tehB//xapA//idnK//hypF//pheS//gcd//allD//narH//lsrK//lsrK//hemH//nadB//wecE//rutB//lysU//ddlB//pgk//lacA//yeaE//rutB//fruK//preT//glgC//mngB//folE//astB//polB//ilvG_1//moeB//ddlB//phnJ//paaZ//tam//sgbE//metF//narG//tdcB//mhpE//hcaD//nagA//ttdA//aroG//bioA//idnD//eda//bioC//ldtD//fadH//hcaD//hcaF//relA//rsmH//fucK//accD//hmp//ahpF//ubiA//cysG//edd//sgbH//kbaY//gcvT//dapB//astE//astA//trmD//cysI//gdhA//katG//astE//gcvH//hcaD//nfsA//mraY//sdhC//tdcG//gpmM//tam//caiA//fabG//galT//caiC//rffC//moaC//uidA//xylB//wecB//aroA//cheR//entE//tdcE//nemA//dhaK//mtlD//rbsK//paaK//dmsB//ansB//ychF//ldtD//ubiC//ilvG_1//yeaE//dhaM//ulaD//puuC//fabI//rhaB//cysK//sgbU//astC//wrbA//thrS//ynfE//fadB//argI//ilvC//cysM//nemA//cysD//atoD//paaJ//deoA//xdhC//codA//cysN//ilvE//pykF//dinB//wecC//purD//mazG//aroF//prpD//narH//nrdA//ychF//pdeL//fabH//xapA//paaE//pgaD//ccp//narH//malS//garR//phnJ//pgaD//yedX//metF//mhpA//dmsC//glcE//appA//hcaC//rsmA//glgX//sbcC//prpE//gcvH//dmsC//murI//rpiB//hmp//umuC//glpX//tehB//citF//glcF//fumA//dhaL//aroL//talA//waaH//nadC//murD//guaA//glpE//ilvB//lyxK//frdD//alkB//glxK//pfkA//umpH//metL//puuE//phr//waaZ//lacZ//glpC//mhpE//dgkA//alaS//fes//trpA//fbaB//metK//argB//acnA//murC//nirB//pheT//moaE//metL//rffG//gapA//tynA//patD//melA//araD//dusB//
CadC_pos	dhaK//sucC//betB//
CaiF_pos	xylB//ulaF//pspE//polA//deoB//
Cbl_pos	ftnA//ycjG//cyaA//polA//paaH//
CdaR_pos	rffC//nanK//rnpB//fumB//dhaM//glcF//entB//glyA//nrdF//
CecR_neg	ravA//
ChbR_neg	wecE//caiC//trmA//
ChbR_pos	trmD//acnA//fadA//
ComR_neg	
CpxR_neg	uvrB//prpB//gpmM//
CpxR_pos	dhaM//gpmM//allC//bioF//dsdA//sodB//fabG//gnd//sucC//purC//lpxC//uvrC//ilvC//tam//garR//rffT//ilvM//sucD//
Cra_neg	ndh//yedX//ogt//entF//dgcC//hemH//pspE//aceF//sdhB//galK//allE//cysJ//dhaL//srkA//gpmM//galE//rutC//moaC//mazG//fucI//pagP//galT//pdeH//glgC//fumA//astC//idnO//codA//nagB//caiC//cdd//mnmG//astC//mtlD//glgX//lysC//sucA//sbcD//sgbE//patZ//puuC//cysC//recF//fucO//tdcE//
Cra_pos	tadA//pgi//nagB//glcB//dadA//murD//paaJ//ulaG//moeB//ackA//cysD//fumB//ppsA//phnP//citD//gdhA//edd//
CreB_neg	rutC//
CreB_pos	kbl//
CsgD_neg	pncB//talA//
CsgD_pos	argD//tadA//paaZ//
CsiR_neg	paaF//lsrF//dgkA//purL//
CspA_pos	phnJ//
CueR_neg	poxB//uvrA//galE//
CueR_pos	metL//glxR//
