# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	nagA//argH//
Ada_neg	argG//umuC//
Ada_pos	zwf//mazG//purD//fadA//
AdiY_pos	prpD//galT//pgaD//iscS//
AgaR_neg	glcD//
AidB_neg	argG//
AlaS_neg	adeD//
AllR_neg	hypB//prpD//nadB//ilvG_1//uvrC//purB//
AllS_pos	mraY//cheB//caiD//
AlsR_neg	araA//mazG//metK//
AppY_pos	paaY//paaA//
AraC_neg	hyaB//ubiC//glsA//ybjG//dsdA//
AraC_pos	gcvH//chbG//pdeR//gpsA//prpE//frc//
ArcA_neg	pdeH//purH//dgcC//hyaC//gcvH//folE//yqhD//caiC//glpQ//feaB//dmsB//thrS//fau//eda//garK//katG//cysG//argD//uidA//paaY//fadH//glxK//treC//dgcZ//dmsA//paaE//bioF//ruvA//avtA//glgX//putA//pncB//caiC//yeaE//lysC//eno//dkgA//hyi//glcD//asnA//polA//pspE//rimK//tdcB//preA//nanK//polB//leuC//hcaB//speC//pgaC//tdcD//epd//ilvB//glxK//gcvT//purB//phnG//umuD//cysI//glpC//paaG//waaY//bglB//murI//fucI//gudD//citG//rutB//
ArcA_pos	rutA//nanK//ugpQ//deoC//fadE//umuD//citD//metH//cysE//wecC//allC//phnP//napH//hycC//argA//wecC//adeD//adhE//wecC//lsrK//aceB//yeaG//ilvM//lyxK//glgC//ruvA//tehB//mtlD//avtA//rsmA//mngB//
ArgP_neg	
ArgP_pos	hycB//hycF//fabI//narH//pnp//gutQ//mdh//ycjG//hcaF//
ArgR_neg	malZ//gcd//alaC//manA//uvrA//cysN//tdcB//tam//napG//sucD//rutA//allB//pgk//metF//purB//gatZ//ynfF//gdhA//
ArgR_pos	alkB//accD//pdxA//cysN//ttdA//
ArsR_neg	argB//pdeL//
AscG_neg	deoA//hycE//
AsnC_neg	hcaE//
AsnC_pos	sdhC//
AtoC_pos	ycjG//hemA//metH//
BCCP_neg	yqhD//
BaeR_pos	ampC//glpK//
BasR_neg	adiA//
BasR_pos	rfe//cheR//
BetI_neg	adhE//xylB//zwf//
BirA_neg	guaA//deoB//add//rpiB//wecC//
BluR_neg	
BolA_neg	gatD//glcB//
BolA_pos	tauD//acnB//
BtsR_pos	aldB//
CRP_neg	dhaM//rbsK//mnmG//melA//pnp//sucD//ulaE//fadB//sdhD//pdeR//dapB//icd//tpiA//garD//pagP//dgcC//ahpC//allD//ppsA//glpE//glpQ//kbl//torC//lhgO//trpD//murG//trmD//aceA//bcsZ//tnaA//fbaA//paaG//accC//phnN//gdhA//argF//paaE//tdcB//udp//rbsK//paaH//glgA//fau//argC//srkA//hemF//napG//gabT//purN//eda//aroF//uxuB//waaZ//kbl//feaB//ccp//tdcG//rhaD//murC//ulaF//phnJ//ilvD//trpA//fes//gltA//entH//fruK//tam//gutQ//nfsB//rhaB//
CRP_pos	argC//galT//rffC//nanK//aldA//deoA//grxA//hyaC//dhaL//ynfE//astE//umuC//puuC//nirB//frdD//dgcZ//wzb//garD//trpE//hyaC//arsC//preA//araD//hycD//sucA//hyaA//frdA//bglB//ttdA//cysC//tauD//dinB//metH//entD//asnB//metB//rbsK//gltX//pepD//gltD//ilvI//paaY//dinB//mhpD//rutC//citC//phnO//astE//lldD//trmD//deoB//paaE//yeaE//glgP//serA//phnI//murF//dapD//mnmG//rnpB//tadA//garD//ubiG//tdcD//mpl//ldtC//uxaB//bacA//lysU//rutB//idnK//hcaF//rffM//glpC//lacZ//dhaM//nanA//aceF//cysJ//napH//asnB//pgpC//cysE//sucB//yeaG//entE//asnB//aceF//hchA//trmA//prpE//nanE//acnB//guaB//sodA//mhpC//nemA//rbsD//lpd//prmC//ogt//hcaF//fadE//rffT//frdA//uxaA//frc//tnaA//ahpC//alaS//waaY//aspC//glpK//glgP//hypF//fadA//prpE//glmS//glpK//argH//agp//fadA//pgk//rffT//tam//moaA//dsdA//glcD//dacC//murI//torC//hcaC//ynfG//napA//paaA//aroF//bioB//aroA//amn//glgB//fadI//ulaG//avtA//narG//nrdE//guaB//ilvN//pyrD//gutQ//mdh//ldtB//ynfE//dapD//tehB//gatY//glmU//tyrB//pgk//ribA//upp//dusB//ruvA//idnK//hcaB//rnpB//ynfE//gatD//glpX//ung//citX//hmp//purK//rtcB//prmC//glmU//luxS//argF//puuB//caiC//torC//tam//murD//paaG//phnL//citD//hyaC//ampC//gltX//wrbA//accD//garL//allA//hcp//accD//citF//atoD//prpC//moeA//cysJ//argG//ung//ldtB//gcvH//nagA//glpA//metB//melA//ldtC//leuD//torA//apaH//add//fabZ//bioD//purL//gloA//fadH//araD//ndh//wecC//malS//aceB//tktB//puuD//narG//zwf//hycE//preA//entE//gatZ//bacA//tynA//rhaB//paaH//ilvA//pgaB//rutC//pyrC//tadA//purC//cyaA//dadX//garL//accC//ulaE//dhaL//argC//chbG//citX//
CadC_pos	galE//alsE//dapB//
CaiF_pos	gcl//ilvH//bioA//ftsI//fau//
Cbl_pos	rnpB//fbaB//mpaA//fbaA//garL//
CdaR_pos	guaA//gpmA//leuD//ynfF//glpD//trpA//yedX//ppiA//ampC//
CecR_neg	pagP//
ChbR_neg	ilvE//ilvH//ubiG//
ChbR_pos	hflX//fabZ//aceF//
ComR_neg	
CpxR_neg	fabG//tnaA//fadB//
CpxR_pos	galK//yqjH//caiA//purM//ldtB//ppiA//thrS//allE//hypB//frc//gadB//hypF//add//betB//gltA//sucC//tdcE//ravA//
Cra_neg	fadI//glyA//dkgB//metE//sdhD//cynT//tam//oxc//fumA//ttdA//nagA//paaK//deoB//glcE//ribA//waaZ//acs//cysI//bglB//malZ//arsC//cysD//uidA//glpE//glxK//poxB//manA//narI//dadA//upp//cmoM//murQ//cheB//galT//srlD//sucC//purA//citG//idnK//ilvE//hcaB//trmA//ygeA//add//kbl//
Cra_pos	deoD//lysU//codA//ahpC//uidA//alkB//allA//galT//gloA//fadB//talA//cheB//appA//prpC//allC//glpB//codA//
CreB_neg	glmS//
CreB_pos	torC//
CsgD_neg	rsmA//leuC//
CsgD_pos	deoC//speC//paaB//
CsiR_neg	metB//hpt//dacC//argA//
CspA_pos	mhpB//
CueR_neg	ribA//mhpF//bcsZ//
CueR_pos	fadA//patA//
CusR_pos	wzc//ycjG//serA//hemF//
CynR_neg	
