# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	fucO//amiA//
Ada_neg	glgP//rfe//
Ada_pos	preA//ilvD//paaG//garK//
AdiY_pos	umpH//waaY//citC//luxS//
AgaR_neg	ccp//
AidB_neg	gloA//
AlaS_neg	ulaG//
AllR_neg	poxB//rutE//acnA//gutQ//trmD//hemF//
AllS_pos	sodB//ldtB//lysC//
AlsR_neg	moaA//arsC//dapD//
AppY_pos	metL//frdC//
AraC_neg	atoB//pagP//trpB//fucI//rnpB//
AraC_pos	fabG//cynS//mhpD//ttdA//gatY//deoA//
ArcA_neg	nrfA//frdC//citX//frc//acnB//cyaA//metA//garR//fadB//lhgO//citG//betB//rbsD//yiaK//dgcZ//adhE//cueO//glcD//alaA//glyA//metK//metB//hemH//frdC//xapA//gcvT//galM//phoA//galM//murE//gdhA//cheR//serC//hycC//lacA//cysE//glpC//lysC//citC//bacA//ansB//hpt//ampC//atoB//astE//ahpF//cynS//carB//adeD//malP//phnG//arsC//garK//hmp//ssuE//bioD//aceA//ogt//glgA//hycB//recD//hchA//gcvH//accD//rtcA//metK//hycG//uxaC//speB//
ArcA_pos	tdcD//mnmG//paaF//talA//paaE//moeA//torA//phr//dmsB//ychF//polB//mhpE//cysM//alkA//glpX//pgk//fbaA//sucB//metA//glpX//carA//paaE//ddlB//aroL//sucC//ilvN//glgA//paaC//lacZ//lsrF//dgcC//
ArgP_neg	
ArgP_pos	preA//gpmM//ruvA//srlD//uxuA//cysE//dmsA//fadB//malZ//
ArgR_neg	glxK//rhaA//narH//yeaE//nanK//astB//yeaE//araD//ccp//trpE//prs//murI//malQ//dgcZ//gcvH//torA//dhaM//glk//
ArgR_pos	ynfG//sucC//hcp//trpB//ubiG//
ArsR_neg	fau//serC//
