# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	lacA//oxc//
Ada_neg	allD//patZ//
Ada_pos	ychF//carB//dacC//puuA//
AdiY_pos	aroH//udp//nfsA//yeaE//
AgaR_neg	gpsA//
AidB_neg	yeaG//
AlaS_neg	adeD//
AllR_neg	trpD//bcsZ//bioF//entH//prpE//pykF//
AllS_pos	prpB//ppsA//cynS//
AlsR_neg	sodB//bioC//trmA//
AppY_pos	lldD//rhaD//
AraC_neg	allC//dkgA//hycE//dmsC//edd//
AraC_pos	fabG//rutB//patD//ppc//pyrD//trmA//
ArcA_neg	carB//nirD//ruvA//idnD//mraY//gntK//pflB//oxc//ilvG_1//murE//napH//nrdD//leuC//rnpB//pykF//ilvN//trpC//mdh//frdA//uvrB//gapA//gcvT//bcsB//ascB//mpl//ssuD//dkgB//ravA//aroG//preA//wzc//leuC//atoA//talA//gpmM//ynfG//entD//ynfF//narG//wecC//ddlB//entC//nadA//rimK//narI//puuB//glpC//lpxA//hcaF//fadD//frdD//pgaD//glgP//ftnA//purB//mhpC//sdhA//glpB//talA//dmsC//dapB//ilvG_1//manA//mtlD//hemL//yiaK//katE//ilvH//hypB//
ArcA_pos	carB//umpH//umpH//cysH//fes//fabH//cysJ//kbaZ//nadC//ruvB//lsrF//bglB//dmsC//allC//hemH//pspE//gabD//mraY//sdaA//malZ//luxS//ilvG_1//fbaB//mhpC//pdeF//fadJ//paaI//pgk//gltD//ulaF//ascB//
ArgP_neg	
ArgP_pos	ampD//lhgO//manA//galK//glpB//dmsA//ppsA//sgbU//glpE//
ArgR_neg	fadM//mhpE//xdhA//ulaD//aroL//hypB//caiA//ilvA//katE//dkgA//accA//mhpB//cmoM//rhaA//uvrB//rutB//yiaK//glgA//
ArgR_pos	glgB//sgbU//carA//citC//gcvH//
ArsR_neg	ynfF//dmsB//
