# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	pykF//glyA//
Ada_neg	purC//fucU//
Ada_pos	rbsD//purM//idnD//nrdA//
AdiY_pos	citG//glgP//xdhC//katE//
AgaR_neg	fadA//
AidB_neg	prpC//
AlaS_neg	prs//
AllR_neg	treC//entE//lsrK//mhpD//ftnA//phnP//
AllS_pos	fabZ//rsmA//aroA//
AlsR_neg	dadA//polA//fabA//
AppY_pos	aroG//cysN//
AraC_neg	queA//kbaY//puuE//hyaC//manA//
AraC_pos	uxaC//frdB//ilvM//dhaL//phnP//idnK//
ArcA_neg	cueO//dgcN//pyrC//sbcC//hycF//phnP//phnJ//murD//gpmA//ilvA//queA//gpmM//pflB//astD//ascB//murF//lyxK//ruvA//ilvA//ugpQ//rsmA//ubiX//ilvD//pdeH//hpt//yeaG//sbcD//cmoM//mhpA//paaZ//purA//fadH//frdC//frdB//dhaL//uxaC//glcB//nirD//ugpQ//truB//cysC//purB//ampD//tam//amiA//fadE//aldB//nanK//cheB//nrdF//add//cysM//garD//cueO//aldA//fabA//paaH//sgbU//nrdF//moeA//ndh//nanM//lsrK//rpiB//galT//sufS//ilvE//prpE//gdhA//
ArcA_pos	fadE//deoA//uxaC//prpD//ulaG//paaZ//fabH//rpiB//cdd//pflB//ynfH//rsmH//dadA//xdhC//mpl//purE//astC//murD//phnL//tam//leuB//garL//carA//bioB//prpC//caiB//fabA//puuB//wecB//paaZ//ulaD//
ArgP_neg	
ArgP_pos	phnN//alkB//hchA//manA//fabG//gatY//rbsD//fucO//yedX//
ArgR_neg	lyxK//cheR//trpC//aroG//fabH//yqjH//glnA//trpC//dadA//adhE//rutC//ampC//xapA//argF//uxuA//edd//entF//glcE//
ArgR_pos	apaH//glgC//purE//fucU//gatD//
ArsR_neg	ruvB//lpd//
AscG_neg	gltX//uxaA//
AsnC_neg	trpC//
AsnC_pos	alaS//
AtoC_pos	astC//ampC//purC//
BCCP_neg	asnA//
BaeR_pos	guaB//fbaA//
BasR_neg	astB//
BasR_pos	ilvC//wecC//
BetI_neg	purE//alkA//aroF//
BirA_neg	fadB//moaA//edd//prpE//gpsA//
BluR_neg	
BolA_neg	yeaE//rbsD//
BolA_pos	ilvB//nadA//
BtsR_pos	hmp//
