# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	aroF//speA//
Ada_neg	entE//adeD//
Ada_pos	argG//cysE//moeA//malS//
AdiY_pos	relA//trpB//moeA//bcsZ//
AgaR_neg	nadC//
AidB_neg	trpD//
AlaS_neg	accA//
AllR_neg	nrdD//rhaD//prpD//lsrG//garK//ygeA//
AllS_pos	galT//eda//malQ//
AlsR_neg	pspE//bcsZ//lpxD//
AppY_pos	fabH//frdA//
AraC_neg	tam//cysI//bioD//ulaG//gor//
AraC_pos	garR//ycjG//pdxA//gabD//phnJ//torC//
ArcA_neg	paaH//rtcA//hycF//ilvD//pgaC//sgbH//dadX//preT//pgaD//xdhA//ulaE//phnM//glmS//dmsA//hcaC//ndh//katG//moeB//asnA//glyA//rpiB//entF//astC//dsdA//tdcE//ldtB//adiA//paaH//gcl//ulaD//puuD//lpxC//ilvE//apaH//metH//cysN//metA//dapB//sufS//mpl//cpdB//puuA//xdhB//codA//phnO//trpC//folA//wzc//melA//asnB//gatZ//uvrA//oxc//galK//mpaA//murE//rimK//dacC//bioF//rtcA//gcvP//ybjG//mhpE//metA//leuC//murE//prpB//melA//ilvE//
ArcA_pos	deoC//lacZ//bioD//nadA//patZ//waaY//aceB//murG//folA//dinB//lpxA//glcB//patA//gcvT//folA//rbsD//ilvC//fau//garL//aroL//nanA//sdaA//glcE//allC//pepD//glmS//sdhA//fucI//umuC//argF//oxc//
ArgP_neg	
ArgP_pos	gloA//dmsB//yeaG//uxaA//gcl//hmp//pgaD//malZ//rnpB//
ArgR_neg	hcaD//phnM//sbcC//slt//ttdB//lysA//fucI//napA//acnB//hypF//deoA//fabB//polB//dapB//talA//pck//gntK//metE//
ArgR_pos	pgpC//gdhA//accA//cysM//torA//
ArsR_neg	puuE//truB//
AscG_neg	waaH//argE//
AsnC_neg	leuA//
AsnC_pos	preA//
AtoC_pos	fadH//glyA//hycB//
BCCP_neg	fadE//
BaeR_pos	ppsA//hcaE//
BasR_neg	zwf//
BasR_pos	appA//glyA//
BetI_neg	gpmA//entB//cysJ//
BirA_neg	ilvE//chbG//fabA//ftnA//malP//
BluR_neg	
BolA_neg	sucA//patD//
BolA_pos	zwf//glxR//
BtsR_pos	allB//
CRP_neg	eno//uvrA//fucK//amiA//ilvA//tpiA//upp//nadC//murF//gudD//ppsA//dadA//gabD//lyxK//paaG//glpQ//glpA//purC//glxK//wrbA//ycjG//uvrA//malZ//uxaB//fadM//ilvA//fruK//glpE//dhaK//frdA//hcaE//ubiX//speB//gapA//umuD//fucA//glyA//paaG//preA//fabD//leuD//ilvG_1//betA//pgpC//ravA//pfkA//pdxA//ilvG_1//galK//hcp//murD//poxB//ynfF//glpK//prpB//rtcB//rfe//ruvB//mpl//atoD//cysI//amiA//nrdF//lsrF//sgbU//purA//ampD//tpiA//prpC//prpB//mhpE//
