# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	umuD//hemL//
Ada_neg	dapB//arsC//
Ada_pos	ftnA//pnp//speB//betB//
AdiY_pos	hcaC//deoC//glgB//mnmG//
AgaR_neg	cmoM//
AidB_neg	ascB//
AlaS_neg	yiaK//
AllR_neg	gltD//xapA//gntK//tauD//mpaA//argC//
AllS_pos	wrbA//puuD//ribA//
AlsR_neg	speB//dadA//purA//
AppY_pos	truB//argH//
AraC_neg	astA//bglB//pdeL//phnM//astC//
AraC_pos	speA//aceF//arsC//nadB//hyaC//citX//
ArcA_neg	sdaA//rnpB//phnJ//glpA//ldtB//glgC//fabD//metA//alaC//fadD//puuE//ogt//pgm//glcB//aldA//pgm//fucA//udp//citC//tyrA//aldA//hyaC//glpB//pgaC//purE//torC//patZ//glgA//nrdD//guaB//lsrG//glxK//tauD//ulaE//gpmM//ugpQ//ilvI//adiA//fes//frdD//murE//fadA//pagP//fucI//alsE//bioB//ilvH//recB//cysI//yeaE//glpB//garL//narH//glpE//xapA//nanA//asnA//guaB//ulaE//mhpA//preT//argE//bacA//melA//citD//malS//sodB//oxc//paaZ//
ArcA_pos	rutA//aspA//rffG//lacA//acs//fumC//truB//nrfD//pdxA//carA//glpK//pgpC//sgbU//prpD//ilvB//idnK//lpxD//icd//glcD//tdcB//dusB//mngB//trpB//lpxC//aroL//dadX//melA//kbaZ//fucA//katE//yeaG//
ArgP_neg	
ArgP_pos	xdhB//glmS//bcsZ//torC//hemH//lacZ//nrdF//metE//alsE//
ArgR_neg	nirB//gatZ//galE//paaK//bioC//leuA//argE//paaH//mnmG//paaH//gabT//gadA//napA//fucA//araA//sgbU//dgcZ//pagP//
ArgR_pos	hypB//narG//folA//argH//glgA//
ArsR_neg	lysC//dgkA//
AscG_neg	puuE//cheB//
AsnC_neg	dkgB//
AsnC_pos	mhpD//
AtoC_pos	araB//napB//wzc//
BCCP_neg	dmsC//
BaeR_pos	rfe//nadC//
BasR_neg	dgcN//
BasR_pos	fadE//aroA//
BetI_neg	aceA//dinB//alaA//
BirA_neg	gabT//gloA//arsC//pdeH//aroA//
BluR_neg	
BolA_neg	galM//preA//
BolA_pos	nanE//mhpF//
BtsR_pos	umpH//
CRP_neg	ychF//moaE//dmsC//gltD//aspC//phnP//aldB//paaY//wrbA//hcaD//trpE//hflX//hcaE//hyaA//napA//alkA//polA//gabT//yeaG//argA//recF//entD//ilvG_1//hyi//tdcE//rpiB//dsdA//paaC//rsmA//glcB//ubiG//gnd//gudD//pagP//citG//moaE//napG//trpA//wecC//rutA//gdhA//tdh//napB//glcD//yqhD//trpA//carA//dhaL//phr//oxc//nadB//uxaA//ulaF//ravA//trmD//fabA//hcaC//aceF//rpiB//bioA//tyrA//napG//fumA//leuA//dusB//hcp//fucI//lyxK//sdaA//hcaE//gcvH//
CRP_pos	gcvP//nadA//tdcG//nrdA//dacC//napA//uidA//moaE//glpB//ilvH//lacA//betB//xdhC//ulaF//recD//nirD//uvrA//bioB//pyrC//pck//phnJ//lacZ//dgcN//purL//malQ//tyrA//cysJ//acnA//glyA//gpmA//hypF//astE//phnG//bcsB//adhE//ldtD//ynfF//paaJ//rutB//purM//glpC//dhaM//gatY//ansB//aceA//agp//fumB//allE//alkB//phnJ//nrdE//pgk//hemF//torC//mtlD//aceE//ppsA//pgi//folA//glgA//tynA//glsA//aspC//zwf//alkA//murF//glgX//phnJ//truB//moaA//hycG//sbcD//tehB//gnd//melA//hflX//rffM//glpA//pdxA//nrdD//uxuA//glpX//purB//sbcC//argF//adiA//fadA//tdcE//fucK//metK//ubiA//gntK//preT//malQ//nrdE//cysJ//argC//pyrD//ppc//deoC//phnO//prmC//ppsA//gutQ//rffH//ilvC//galE//pflB//nirB//purK//trpB//pfkA//idnO//truB//xylB//glgB//malS//cynS//cynT//avtA//yeaG//accA//citX//pgaB//waaY//napB//napA//astA//nrdF//nfsA//glpE//arsC//pgaB//hflX//aroL//glpB//dadX//waaH//nrfC//nrfD//sucC//rffM//murQ//dapB//fes//hemH//garR//garL//lacA//nadC//avtA//cynT//cyaA//nrdB//luxS//fadJ//preT//cysG//polA//ackA//citF//rffH//hycG//phoA//appA//cueO//rutA//pdxA//entA//ilvM//dgcN//garR//pyrC//waaZ//nfsA//mhpB//gadA//uvrA//sucC//katE//glcF//lysU//manA//adeD//waaZ//srkA//hycF//purN//leuC//sgbH//frdA//uvrC//pnp//pheS//pheS//galE//fucA//cdd//alaS//astC//lysC//leuC//allD//patA//prs//sgbU//phnN//glxR//glpK//ssuD//kbaY//entA//ppiA//guaA//phnJ//gcvP//paaA//bioA//glgP//mhpF//phnG//paaY//recB//cysJ//cadA//glgX//malQ//allD//ynfG//hcaE//caiD//entD//uxuB//glyA//paaB//slt//gpsA//aceF//fabA//ung//arsC//nirB//bacA//pncB//paaY//patZ//allB//cysE//hyaA//
CadC_pos	tadA//katE//gpmA//
CaiF_pos	citF//recB//malZ//wrbA//galE//
Cbl_pos	ahpF//metL//prpD//iscS//entB//
CdaR_pos	narH//bcsZ//dapB//cysM//argA//tdcE//leuB//gltX//poxB//
CecR_neg	waaZ//
ChbR_neg	thrS//nanK//trpB//
ChbR_pos	gpmM//argG//xylB//
ComR_neg	
CpxR_neg	sufS//citF//fabA//
CpxR_pos	fabH//tdcD//cynS//astB//phnI//ydcS//argE//nrdA//dgcZ//uxaC//fbaA//glxR//ampC//astE//slt//entE//ampD//gapA//
Cra_neg	rfe//rutC//gpsA//murF//fumB//waaY//aldA//aceA//murF//dadA//nanA//sdhB//fabB//chiA//nrdD//waaH//yeaE//malS//slt//araB//dapD//ftsI//cysK//waaH//citC//asnB//arsC//bioA//glxK//entE//eno//glpE//nfsB//rsmA//dgcC//glpQ//yfdE//uxuB//rsmH//yedX//nadA//hypB//galT//malQ//argH//
Cra_pos	pepD//sucA//lysA//iscS//atoB//ubiG//rffT//phnO//gutQ//pepD//puuB//ubiG//gltB//ubiX//hflX//metH//aroL//
CreB_neg	phnO//
CreB_pos	kbl//
CsgD_neg	ackA//deoC//
CsgD_pos	sdhD//avtA//trmA//
CsiR_neg	narH//ilvD//metF//cheR//
CspA_pos	gcl//
CueR_neg	nanM//napB//gcvT//
CueR_pos	phnG//pdeR//
CusR_pos	hcaD//queA//pdxA//lldD//
CynR_neg	
CynR_pos	phnJ//tktB//pgk//
CysB_neg	bioD//lpxD//sucC//
CysB_pos	paaH//entH//ybjG//rutE//acnA//ilvI//frc//tktB//moaC//purC//rnpB//mpl//torA//glgC//
CytR_neg	rnpB//glpX//astD//pepD//frdD//glxR//gcvH//allE//metB//bioA//
DcuR_pos	rtcB//hemA//lhgO//patD//
DeoR_neg	acnA//yqhD//upp//pncB//murG//hypB//
DhaR_neg	
DhaR_pos	alsE//
DicA_neg	
DinJ-YafQ_neg	purM//
DnaA_neg	dgkA//narI//leuB//pspE//fabA//
DnaA_pos	phnO//atoB//dkgB//
DpiA_neg	
DpiA_pos	tadA//xapA//ung//nadB//preA//
DsdC_neg	
DsdC_pos	folE//ulaG//
EbgR_neg	
EnvR_neg	prpD//astD//
EnvY_pos	waaH//allA//
EvgA_pos	sdhC//edd//wzc//tam//cdd//mdh//
ExuR_neg	fadD//uvrA//astA//nanE//uxuA//rffM//
FNR_neg	apaH//umuD//entB//pck//metC//betB//ilvC//katG//glgB//dhaL//serC//nrdB//treC//caiD//gapA//lacA//aroF//agp//aroL//tauD//metL//oxc//ruvB//leuB//aroG//ruvB//rffC//paaC//adiA//yqhD//gabD//truB//gltB//uvrC//uvrB//nemA//leuC//gatY//trpE//asnA//putA//prpD//malS//rffM//
FNR_pos	uxaC//uvrA//nanA//rfe//treC//araB//caiB//glxK//trpA//argB//aldB//ugpQ//pflB//cysI//dhaK//moaD//metC//ubiC//cynS//galM//cheB//pgpC//uvrC//nfsB//apaH//bcsZ//argC//allE//entA//pck//ccp//adiA//rbsK//garK//fruK//rsmA//moaA//uxaC//ilvG_1//rsmH//nfsA//edd//paaJ//feaB//ackA//hyaC//murF//citG//moeA//rsmH//nfsB//astA//ruvA//gadA//alaA//dgcZ//dsdA//rutE//nadB//uidA//napG//thrS//phnL//oxc//aceB//garK//hyaC//malS//rffC//deoD//nrfA//tadA//dusB//paaA//cheB//astE//bioC//tpiA//pdeH//cysC//pdxA//kbaZ//purM//queA//ttdB//cheB//pykF//ynfF//fbaB//ppiA//chbG//ubiG//gadB//lpd//gatZ//glxK//
FabR_neg	astB//puuC//nirB//
FadR_neg	frdA//avtA//nadB//aroH//deoB//nfsB//napH//uvrC//fes//
FadR_pos	pdxA//ubiC//umuC//sucA//acnB//entD//frdA//glmU//ynfE//cdd//
FeaR_pos	fadH//hycB//
FhlA_pos	hcaC//narG//puuE//cysH//hcaF//wzb//rffC//glcB//
Fis_neg	hemA//puuC//rutE//glcD//tam//uvrB//ydcS//glmU//ampD//metC//tyrB//hycC//cdd//glgA//argG//hyaC//pdeH//glnA//ilvC//puuB//codA//wecB//acnA//nrfD//eno//ldtD//luxS//udp//ung//sucD//malS//accC//nemA//asnA//edd//puuE//caiA//fabZ//malQ//glpK//gcvT//allB//puuB//ycjG//uidA//acs//
Fis_pos	dapB//carB//moaC//fabZ//paaA//cyoE//cysG//icd//fabB//gltB//entB//tpiA//dmsA//ygeA//tktB//sufS//sgbU//ubiC//mhpB//xylA//rbsD//rutD//dmsA//moaA//gltB//tdcD//ubiG//metH//citE//astD//acs//purC//ravA//rbsD//astA//adeD//gabT//
FlhDC_neg	murQ//nirB//
FlhDC_pos	fdhF//glyA//metK//glgA//glgX//puuC//nrdF//ccp//argF//ilvN//dsdA//cysK//
FliZ_neg	astD//asnB//nfsA//murF//apaH//
FucR_pos	bioD//ubiG//cyoE//dacC//tdcE//gudD//
Fur_neg	tadA//wzb//glpX//sucC//wecB//bioC//citG//purL//hyaC//cysK//arsC//ydcS//queA//pncB//kbaY//pck//xdhB//allE//citE//glpK//dinB//phnN//ampC//lhgO//carB//phnM//glyA//purL//nrdA//prpD//rutB//hycD//purL//bcsZ//paaI//waaY//ubiA//amn//guaA//allE//pgaD//cpdB//entC//astE//astB//hemL//uxaC//trmD//dgcZ//mhpB//sucB//kbl//ampC//
Fur_pos	rbsK//glcE//murF//rffT//rpiB//aceF//sucB//allA//glgC//moeA//citE//glcB//lhgO//mdh//accD//nrdE//
GadE-RcsB_pos	atoA//ppc//metC//ilvC//cysE//
GadE_pos	dapD//rimK//pdxA//kbaZ//yqjH//gltD//ygeA//dinB//tdcD//lacA//
GadW_neg	entH//argE//garD//
GadW_pos	dkgB//pck//hcaC//acs//
GadX_neg	pgpC//purK//
GadX_pos	glpE//kbl//gloA//sdhC//cueO//malZ//argD//asnB//entH//nfsA//glk//
GalR_neg	gltA//nemA//ynfE//glcB//tnaA//atoA//
GalR_pos	entE//aceE//fruK//nemA//
GalS_neg	dgcC//nanM//lysU//glgA//ada//ilvN//
GalS_pos	dinB//paaH//edd//ubiX//
GatR_neg	ubiG//paaZ//murC//
GcvA_neg	hemF//recD//glnA//
GcvA_pos	umpH//acnB//gapA//
GlcC_neg	
GlcC_pos	tauD//yqhD//paaJ//
GlpR_neg	puuA//metH//pgk//bcsB//ddlB//purF//hyi//
GlrR_pos	
GntR_neg	ssuE//luxS//fadB//ygeA//moaA//phnM//alkB//alsE//fadD//
GutM_pos	talA//tdcD//eda//
H-NS_neg	pfkA//metB//rffG//purC//slt//murI//tadA//lacA//gabD//pyrC//hyaA//chbG//hyaA//hpt//lsrK//phnI//gdhA//cheB//ynfH//ppc//sucB//guaB//bioC//entD//gcvP//cadA//xdhB//hypB//ilvA//nemA//purM//alaC//hycC//gpsA//nirB//glxR//carA//mltF//rutA//trpC//agp//narH//gcl//carB//phnJ//garL//sgbH//nanM//pheS//recD//preT//
H-NS_pos	leuD//pgpC//sgbU//sgbU//avtA//pagP//glmU//idnO//sdhC//bacA//dgcN//slt//rffG//fucK//mtlD//
HU_neg	bioF//tpiA//tktB//cysH//bioA//torC//amiA//
HU_pos	
HcaR_neg	
HcaR_pos	hcaC//gcl//
HdfR_neg	
HdfR_pos	
HigA_neg	tam//
HigB-HigA_neg	aspC//
HipAB_neg	cueO//paaY//
HipB_neg	yedX//pgaC//glcD//
HprR_neg	glxR//hemL//
HprR_pos	purL//polA//
HyfR_pos	nfsA//
HypT_neg	fabD//metA//
HypT_pos	hyaC//lysA//ugpQ//fucO//pyrD//
IHF_neg	fadJ//frdD//pyrC//entE//uvrA//grxA//dusB//moaD//cmoM//rffT//rbsK//recB//kbaZ//aroA//ruvB//garD//citE//alkB//napH//astB//hcaB//leuC//uidA//phnO//kbl//paaG//yfdE//ung//deoA//fdhF//deoA//lacA//malS//tyrA//wecE//gpsA//phnM//patZ//ruvB//nfsA//nagA//hmp//puuE//
IHF_pos	ilvA//frdB//accD//nagA//patA//pykF//sdhC//cynS//purD//yeaE//ilvM//ygeA//moaD//lyxK//cysN//torC//gltD//trpE//gatD//narH//malY//rbsK//sdaA//chbG//hpt//nrfD//hmp//ung//nrfC//dapD//phnO//aceF//allD//ampC//mpaA//pgaB//metK//pspE//murF//nadB//rutC//rpiB//pdeL//yqjH//truB//citD//hycD//argD//mdh//guaA//tauD//dmsB//sgbU//deoA//citC//ccp//nrdF//nfsA//hchA//ccp//argH//alsE//nrdE//iscS//entC//phnN//nrdB//tpiA//glxK//purD//dmsC//
IclR_neg	gpmM//paaE//folE//
IdnR_neg	moeB//pdxA//
IdnR_pos	kbaY//puuD//cysM//hycF//
IlvY_neg	
IlvY_pos	moeB//
IscR_neg	speC//murD//hycC//rsmH//trpD//uxaB//
IscR_pos	purN//hycC//
KdgR_neg	pdxA//gcl//
KdpE_pos	narI//
LacI_neg	katE//uxuB//yqhD//
LeuO_neg	
LeuO_pos	epd//pfkA//pgm//citD//ogt//fes//
LexA_neg	pncB//paaA//moeB//phnP//ubiC//purD//argE//speA//hycD//cueO//leuB//ulaF//alkA//pagP//astA//fadA//mazG//sgbE//mraY//puuB//dusB//amn//gpsA//
LldR_neg	avtA//ung//
LldR_pos	murC//fabG//
LrhA_neg	
LrhA_pos	
Lrp_neg	nfsA//lysU//bcsB//speA//lyxK//cysN//entA//guaB//adhE//galK//gntK//nrfA//gpmM//argF//sodB//mraY//sdhA//rffH//rutE//ruvA//uvrC//glyA//ruvB//
Lrp_pos	codA//glpX//puuE//metC//aceB//malY//speA//galM//fdhF//gcd//accC//rutC//entE//glgP//allE//astC//yqhD//dhaM//waaY//upp//
LsrR_neg	phr//gltX//glcE//hemH//cysG//
LysR_neg	
LysR_pos	fbaA//
MalI_neg	fadB//phoA//
MalT_pos	waaY//hyaB//nrdD//astD//dadX//folA//
MarA_neg	ccp//
MarA_pos	rnpB//bcsB//cynS//ppsA//purF//ppsA//moaA//ung//rbsD//napA//phnJ//cdd//atoA//dgcC//folE//lacZ//ahpF//betB//lhgO//prmC//gcvH//ulaG//hycE//
MarR_neg	
MatA_neg	gcvP//
MatA_pos	
MazE-MazF_neg	sucC//
MazE_neg	cysM//
McbR_neg	
McbR_pos	
MelR_neg	luxS//fbaB//
MelR_pos	rbsK//iscS//
MetJ_neg	nanA//murD//gnd//nanE//entC//mhpB//cyaA//srkA//mhpA//bcsB//
MetR_neg	glpB//
MetR_pos	gudD//ravA//fucA//astE//
MhpR_pos	mhpE//dmsC//appA//purH//trmA//edd//
Mlc_neg	ndh//nanA//purM//ansB//
MlrA_pos	fucA//
MngR_neg	pdxA//astB//
MntR_neg	mhpC//
MntR_pos	pck//
ModE_neg	pdeL//hcaB//malY//cysD//prmC//xdhA//aroG//purE//
ModE_pos	garL//purA//rsmH//idnD//astB//nfsB//pgaD//ynfG//lacZ//
MprA_neg	ttdB//leuB//allE//
MqsA_neg	preA//fabI//
MraZ_neg	glgC//argA//paaG//apaH//avtA//glpA//gadB//rutC//ccp//nagA//
MurR_neg	ilvI//rutD//paaG//
MurR_pos	
Nac_neg	tpiA//purB//xdhA//
Nac_pos	hcp//prpB//gapA//pspE//hcaC//alaA//pyrD//yeaE//
NadR_neg	glpA//gpmA//gltB//umuD//
NagC_neg	phnO//umuC//add//rimK//gudD//fabI//bcsB//patD//idnO//metK//tadA//fbaA//galE//aceF//tynA//trpA//tehB//gpmA//
NagC_pos	gatY//ndh//
NanR_neg	queA//cysN//deoB//asnA//mtlD//puuB//
NanR_pos	
NarL_neg	pgaC//mhpB//entH//idnO//galT//ftnA//putA//gadB//lysC//ldtD//ybjG//fabI//pgaC//garR//guaA//astE//manA//bacA//gapA//nadA//sdhB//moaD//ampC//ygeA//ldtD//rsmH//astA//sgbU//
NarL_pos	grxA//nanA//rffG//ubiG//sucB//pncB//torC//rffT//pgk//allE//malS//purA//mhpE//srlD//ndh//
NarP_neg	rutD//moeB//sufS//ttdB//ampC//
NarP_pos	gabT//pspE//lyxK//dkgA//tauD//ybjG//glpD//add//kbaY//tauD//ydcS//aroA//nemA//rnpB//
NemR_neg	fau//ravA//
NhaR_pos	yedX//asnA//rffC//rutE//uvrA//
NikR_neg	waaH//
NimR_neg	nrdE//
NorR_neg	
NorR_pos	dadX//
NrdR_neg	sucA//glpC//eda//ubiX//
NsrR_neg	dadX//fbaB//wecC//ilvM//phr//tynA//nirB//citX//uxaA//pykF//frdC//nadC//speA//glsA//aspC//arsC//ilvB//dmsC//polB//hemA//mdh//dusB//cysE//ychF//truB//rfe//ubiC//ilvM//rfe//nanA//ttdB//uidA//manA//gor//moeA//argE//pfkA//rpiB//gutQ//kbl//
NtrC_neg	prpE//paaG//
NtrC_pos	lpxC//pck//murQ//fadM//rutC//malY//nadA//xylA//uxuA//rtcA//putA//frdD//mhpB//preA//pck//phr//tdcB//lpxD//entH//hemF//nrdD//
OmpR_neg	pgm//bioD//ftnA//entD//murE//
OmpR_pos	bioC//leuB//ftsI//ydcS//
OxyR_neg	cyoE//paaZ//ubiG//carA//rimK//
OxyR_pos	astD//hemH//pdeR//mpl//garL//ruvB//acnA//glcF//nanM//treC//pflB//cyaA//
PaaX_neg	ribA//nrfD//puuA//glpC//deoB//tam//fabH//garD//pdeH//
PdeL_pos	idnO//
