# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	mhpC//icd//
Ada_neg	ubiC//slt//
Ada_pos	codA//waaY//rpiB//truB//
AdiY_pos	polA//ppc//ttdB//nirB//
AgaR_neg	gltA//
AidB_neg	rutD//
AlaS_neg	preA//
AllR_neg	phr//argI//paaG//ilvN//ssuE//aldB//
AllS_pos	phnL//ascB//nanE//
AlsR_neg	amn//nrfC//cynT//
AppY_pos	uxuB//alaS//
AraC_neg	trmD//entH//puuD//glgC//sodA//
AraC_pos	speC//amiA//gdhA//cysD//narI//pykF//
ArcA_neg	dhaL//purA//ansB//trpB//cysH//ruvA//puuB//ilvD//glgC//ampC//yqjH//gnd//cysE//sufS//glcE//dapB//aceE//murF//bioC//bglB//rtcA//fadA//purM//glyA//sgbH//leuC//rffG//pykF//eno//cysM//phnM//pncB//nrdE//ribA//lysU//cysI//nanA//glmU//tyrA//recD//caiA//pdxA//glcE//hemF//trpB//mhpA//lysU//ndh//waaY//polB//malP//srlD//deoD//ilvE//bioD//ilvE//tehB//rsmH//ilvM//entC//allC//sbcD//nrdE//dinB//sodA//gpmM//frc//hyaC//moaD//
ArcA_pos	astC//frc//serC//nrdD//argD//tyrA//ogt//gatZ//rffH//mhpC//hcaD//nrdD//uvrB//ttdB//psd//hcp//purM//katG//iscS//phoA//cysC//wecE//lpd//pagP//lsrK//caiA//fabA//wecC//hpt//hyaB//gltA//
ArgP_neg	
ArgP_pos	ilvH//tdcB//entH//ulaE//tdcG//ruvB//accC//sgbU//trmA//
ArgR_neg	dgcN//puuD//fabB//paaE//amn//nemA//ackA//gadA//ldtC//mhpB//wecE//galK//idnD//grxA//ulaD//nadC//hemH//moaC//
ArgR_pos	dmsC//wecB//purA//nrfC//citF//
ArsR_neg	gpmM//moaC//
AscG_neg	pdxA//moaD//
AsnC_neg	napG//
AsnC_pos	frdB//
AtoC_pos	nirD//sgbE//lacA//
BCCP_neg	phnN//
BaeR_pos	ynfG//malZ//
BasR_neg	trmA//
BasR_pos	citE//trpC//
BetI_neg	tyrB//caiB//rsmA//
BirA_neg	ftsI//paaK//malP//kbaY//phnJ//
BluR_neg	
BolA_neg	entE//napG//
BolA_pos	nadC//metK//
BtsR_pos	glpB//
