# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	hchA//gcvP//
Ada_neg	astC//gatY//
Ada_pos	torC//gltB//gapA//atoB//
AdiY_pos	murD//metB//rutC//purA//
AgaR_neg	trmA//
AidB_neg	ychF//
AlaS_neg	fadD//
AllR_neg	pncB//paaB//dmsA//gpmM//pyrC//malY//
AllS_pos	tdh//bioA//leuD//
AlsR_neg	fucA//metC//metL//
AppY_pos	uxuA//nanA//
AraC_neg	ldtC//metA//ravA//nadC//adhE//
AraC_pos	gltA//ynfE//lacA//ravA//citX//paaC//
ArcA_neg	xdhB//mtlD//katE//hemL//metL//tdcE//grxA//tynA//deoA//bglB//uxaC//bioB//sucD//ilvA//fabH//nrdD//bioF//hemH//nrdF//dadA//idnK//cysH//ulaD//fadA//bcsB//phnI//ttdA//manA//argI//gnd//ftnA//metK//pgaD//hyaC//hycG//glnA//ulaG//dkgB//murG//moaC//torA//gcvH//glcB//ppiA//bioC//glk//fruK//relA//accD//add//fabA//dhaK//umpH//mazG//glpB//lpxA//aldB//tdcD//cyaA//rffT//cysM//ttdB//moeB//rhaD//phnI//wecB//pdxA//tadA//dhaK//
ArcA_pos	aroA//patD//alsE//trpB//phnM//ulaE//murG//patA//hcp//pgpC//murE//hycB//araB//uxaB//sdhD//glgX//paaA//umuC//umuC//cynT//napB//rhaD//uxaC//araD//araD//ilvI//uxuB//phnO//oxc//dmsB//ycjG//
ArgP_neg	
ArgP_pos	gcvT//ubiA//cyaA//cynS//lacA//ahpF//bacA//pgaD//fau//
ArgR_neg	fadA//tehB//tnaA//nanA//patD//napH//sucB//murE//putA//mhpB//fadJ//edd//glgB//ugpQ//astB//puuA//rnpB//gadA//
ArgR_pos	ulaF//nadC//ugpQ//rsmA//paaI//
ArsR_neg	phnH//treC//
AscG_neg	phnO//torA//
AsnC_neg	ugpQ//
AsnC_pos	phnO//
AtoC_pos	aroA//allD//prpC//
BCCP_neg	aldA//
BaeR_pos	murF//caiC//
BasR_neg	mraY//
BasR_pos	ychF//mazG//
BetI_neg	nadB//aceA//moaE//
BirA_neg	ulaF//tktB//purC//rutC//prpD//
BluR_neg	
BolA_neg	mpaA//citG//
BolA_pos	xdhC//galK//
BtsR_pos	adeD//
CRP_neg	upp//kbaY//paaE//pfkA//rfe//mhpE//lysU//lsrK//ygeA//dkgA//alsE//entH//trpE//cdd//glpE//caiB//entA//dgcN//cysK//fumB//murQ//astE//hemF//pdxA//poxB//moaA//ubiC//pheT//eda//ilvM//murF//iscS//purF//malS//dadA//accD//tam//rutE//alaA//pgaB//add//metB//glsA//cysJ//ilvN//paaB//rnpB//paaE//aroG//aroH//treC//cysM//caiA//pyrC//gpmA//nanE//glpA//melA//dinB//carA//gloA//murQ//ynfH//cysJ//metA//hemF//ldtD//ilvM//glcF//alsE//asnA//
CRP_pos	pheS//waaY//bioD//aceA//poxB//sgbH//tdcB//umpH//hemF//glgC//cysJ//hcp//glpA//allD//fadI//poxB//tehB//ogt//alkA//cysE//nfsB//pheS//mngB//dusB//cysK//ldtB//cysN//phnP//fadJ//fabZ//accD//ubiX//dapD//ilvB//adeD//patD//ldtD//agp//murI//yiaK//rtcB//cpdB//lhgO//ulaG//nagB//trpB//paaC//uvrA//nrdB//murC//putA//alaC//araD//ilvB//caiC//sgbH//uvrA//fucK//pdeR//argF//puuB//aldB//araB//rhaB//paaI//ahpF//glgA//ulaD//mhpC//ppsA//caiB//bioF//bioD//sbcD//ahpF//mdh//glk//glsA//glyA//mhpE//cpdB//manA//sodB//dkgB//argI//rutE//lysC//pgm//ynfH//slt//prmC//cysN//amiA//ulaG//ruvA//atoD//hypF//phoA//feaB//allB//ldtC//entC//nrdB//xylA//mhpA//malZ//hyaC//paaE//prpC//glsA//rutB//tyrA//manA//gcl//ddlB//prpD//narG//alkB//leuB//araB//rsmA//pflB//napB//cueO//sgbE//rutB//metH//cysE//purK//upp//adiA//purH//recB//rbsD//pepD//ilvE//galM//trpE//trpB//hycE//rsmA//fbaA//srlD//folA//aroL//gcvT//arsC//ynfE//dkgB//nrdF//alkB//pflB//ilvD//cueO//alkA//hycG//tdcG//ilvC//phnJ//aldA//idnD//hmp//sbcC//fadJ//paaZ//udp//allA//napB//aceF//uxaA//sufS//leuA//poxB//hchA//fadE//patZ//gpmA//nrdD//cueO//nanA//gntK//accA//purE//napH//mhpC//alaA//rffT//guaB//astA//ychF//purA//aceB//cueO//hcaC//purA//sgbU//ilvC//aroF//cysI//gadB//codA//fau//astB//acs//lysC//cadA//moeA//mpl//lsrK//murD//cysH//puuC//gadA//ampD//aroL//xdhC//fadB//tdcG//torC//pspE//glcE//malS//sbcD//hcaE//sdhA//ygeA//srkA//pdeF//poxB//murC//phnO//alaA//asnB//arsC//alkA//fabA//allA//gatZ//malP//nagA//nanA//patD//glpA//murG//lsrK//icd//amn//purM//ulaE//
CadC_pos	puuD//napG//dmsB//
CaiF_pos	ascB//pykF//xylB//sdhA//pgpC//
Cbl_pos	rimK//add//pgk//mngB//dkgA//
CdaR_pos	glmS//gcvH//ldtD//hcp//allE//tyrA//rutC//narI//iscS//
CecR_neg	lacZ//
ChbR_neg	sucB//tdh//ldtD//
ChbR_pos	moeB//mazG//phnH//
ComR_neg	
CpxR_neg	putA//fabB//uvrC//
CpxR_pos	hemH//argI//hcaD//ilvE//ldtC//murF//phoA//sucA//patZ//napA//lldD//eno//glpD//katE//acnA//nadC//pgpC//phnH//
Cra_neg	hypB//glcF//ogt//nrdE//astE//sucC//ascB//narI//ravA//fau//codA//pspE//tadA//ubiC//ndh//gadA//gapA//entF//glcD//trpA//purC//ansB//cheR//cynT//ychF//torC//amn//dadX//preA//xdhC//phnI//waaY//leuB//trpE//dhaM//hyaB//torA//ycjG//ravA//preA//amiA//phnL//lsrK//pagP//aroL//
Cra_pos	glcF//mdh//murF//gltA//gatD//sdhA//murF//sucB//uidA//fabD//glpA//fes//lacZ//pdxA//nemA//moeA//rhaB//
CreB_neg	yqhD//
CreB_pos	bacA//
CsgD_neg	ynfH//sdhC//
CsgD_pos	mtlD//gltX//nrdE//
CsiR_neg	mngB//glcF//pgk//chbG//
CspA_pos	tauD//
CueR_neg	phnJ//aroF//ubiX//
CueR_pos	tdcD//xylA//
CusR_pos	tyrB//wecC//recF//recB//
CynR_neg	
CynR_pos	lhgO//hemL//lsrG//
