# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	rutC//ttdB//
Ada_neg	uvrA//puuB//
Ada_pos	ilvA//poxB//prmC//wrbA//
AdiY_pos	ndh//yfdE//gabD//murE//
AgaR_neg	rffC//
AidB_neg	sucA//
AlaS_neg	aroA//
AllR_neg	fumC//alkA//gapA//recD//udp//metF//
AllS_pos	glxR//uvrC//waaZ//
AlsR_neg	rutA//murG//serA//
AppY_pos	argG//gatZ//
AraC_neg	thrS//yiaK//trmA//dapD//tauD//
AraC_pos	sdhD//lsrK//yeaE//gnd//wzc//argD//
ArcA_neg	xylB//paaY//mraY//argD//nfsB//entA//metA//metK//rffH//dinB//wecC//hcaE//upp//pncB//paaH//tynA//glxK//sodA//paaJ//pgpC//pepD//rnpB//uidA//malQ//pspE//add//hycF//slt//malZ//amn//alsE//cynT//aceB//rffH//glcF//katE//frdA//gntK//pspE//hemH//ftnA//guaB//hcaF//ampD//ygeA//argB//acnA//ilvG_1//katE//gpmM//glk//tdh//dmsA//ilvD//nanA//ogt//ubiX//guaB//galK//nirD//paaH//glmS//kbl//adiA//leuC//glpA//sdhC//ada//pflB//
ArcA_pos	ahpF//fumC//dinB//ribA//murC//citD//paaE//frdA//prpE//frdD//lpxC//bglB//rbsK//tnaA//phnP//ldtB//ahpC//cpdB//galT//cynS//rffC//recB//srkA//accD//mhpF//acs//icd//alkB//astA//gatD//aceA//
ArgP_neg	
ArgP_pos	ackA//astD//cadA//leuD//glpB//fbaA//lysA//rffM//cmoM//
ArgR_neg	paaC//adiA//cyoE//gntK//leuD//prpE//uvrC//paaY//icd//malY//chiA//relA//purA//mtlD//yiaK//speC//xdhB//deoA//
ArgR_pos	metF//trpB//tktB//kbl//pdxA//
ArsR_neg	sucA//ynfF//
AscG_neg	amiA//zwf//
AsnC_neg	tpiA//
AsnC_pos	ulaE//
AtoC_pos	paaH//sucA//xdhB//
BCCP_neg	caiA//
BaeR_pos	pgpC//astA//
BasR_neg	fabH//
BasR_pos	aceB//metC//
BetI_neg	fabH//fumC//hemH//
