# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	ynfG//bioC//
Ada_neg	nirB//purL//
Ada_pos	carA//cyoE//ilvN//pdeL//
AdiY_pos	tdcD//cmoM//folE//galT//
AgaR_neg	glnA//
AidB_neg	garD//
AlaS_neg	mpaA//
AllR_neg	entF//ybjG//ldtC//entD//speB//gltB//
AllS_pos	chbG//ampC//carA//
AlsR_neg	phnN//gpmA//hmp//
AppY_pos	fabD//malZ//
AraC_neg	gltD//gdhA//mhpA//srlD//pdeR//
AraC_pos	moaE//alaC//fadI//lysA//citF//purC//
ArcA_neg	entA//codA//pgaD//ynfH//tadA//rnpB//asnB//kbl//hmp//dgcN//ttdA//lysU//lyxK//edd//accD//moaD//dadX//rbsD//mngB//ulaE//patZ//idnD//allC//metH//nanM//aspA//recF//nagA//hyaA//tauD//dkgA//hflX//uxuA//rffG//rtcB//sucB//purL//trmD//agp//fadA//relA//ssuE//ubiC//dgkA//argB//hmp//gpmM//glcD//ynfE//glnA//xdhC//purB//garR//leuB//hemL//moaD//ssuE//garD//lacZ//alkB//fabI//glcE//ampD//gcvT//leuD//malY//sdaA//argC//glgB//
ArcA_pos	murC//uvrC//murF//paaB//ulaE//purM//patA//pdeL//umuC//gltB//glgP//acnA//phnG//moeB//chbG//glgB//katG//apaH//torA//lyxK//fumA//purB//cysG//pgaC//glk//aroH//sdaA//gpsA//pyrD//lpd//ilvD//
ArgP_neg	
ArgP_pos	ilvE//rffH//glpX//nrdA//accD//ldtD//tdcD//guaB//mngB//
ArgR_neg	nadB//entD//gabD//ruvB//icd//pagP//alsE//cysN//icd//hyaC//uxuA//fumA//rffH//rbsK//metK//aldB//tehB//argE//
ArgR_pos	ndh//allA//hflX//cysC//wrbA//
ArsR_neg	bcsZ//ampC//
AscG_neg	kbaZ//dhaL//
AsnC_neg	metE//
AsnC_pos	rhaB//
AtoC_pos	cysD//rfe//rffM//
BCCP_neg	frdD//
BaeR_pos	frdB//recD//
BasR_neg	dapB//
BasR_pos	yiaK//gabD//
BetI_neg	gabD//frdB//pdeR//
BirA_neg	ssuD//ycjG//sdhB//ahpF//rsmH//
BluR_neg	
BolA_neg	aroG//mhpE//
BolA_pos	umuD//caiD//
BtsR_pos	uvrB//
