# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	atoD//metC//
Ada_neg	tdcB//pgaD//
Ada_pos	astA//mraY//fabG//fbaA//
AdiY_pos	murC//ulaD//cueO//ilvE//
AgaR_neg	pykF//
AidB_neg	metB//
AlaS_neg	cpdB//
AllR_neg	murQ//lpxA//glnA//bcsZ//fau//glpX//
AllS_pos	lhgO//fabD//uidA//
AlsR_neg	hemH//ssuD//hcaF//
AppY_pos	fadB//phnN//
AraC_neg	gcl//metF//gatZ//malZ//tdcD//
AraC_pos	hmp//aroA//leuA//talA//hcaC//xdhB//
ArcA_neg	pncB//rutB//ccp//waaZ//gudD//ribA//gcvT//guaB//aroG//tdcE//patA//recF//hycE//lacA//fucA//aceF//citG//mraY//uvrC//purA//grxA//glsA//hemL//entB//ybjG//mazG//hcaD//tdcD//uxaC//citG//carB//aldB//napH//garD//hycC//eno//alkA//paaI//hycB//ackA//paaJ//avtA//ilvD//gcvH//speA//appA//dadX//phr//fadJ//fabZ//frc//metH//dhaM//polA//nirD//ampD//rutE//fadB//lsrG//bacA//pagP//torC//patZ//cysM//uvrC//dusB//umuC//nrdD//dgcZ//
ArcA_pos	glgX//fadA//aroG//idnK//glxK//glpC//cyaA//mpaA//uidA//ndh//sdhD//fumC//moaA//mraY//hemH//fabD//kbl//rpiB//ynfF//cysN//murG//ybjG//trpB//entF//lpxC//chbG//mngB//paaE//aspA//glmU//araA//
ArgP_neg	
ArgP_pos	dgcZ//hcp//polB//hypF//citG//nanM//ruvA//ssuD//trmA//
ArgR_neg	gutQ//chiA//prpB//speB//entD//nrdA//prpD//folE//fadH//ubiX//prpD//hcp//fucU//astD//ada//puuA//rutD//entC//
ArgR_pos	purM//chbF//argC//metA//cysJ//
ArsR_neg	dgcC//pyrC//
AscG_neg	hycG//lsrF//
AsnC_neg	chbG//
AsnC_pos	purE//
AtoC_pos	phnP//fucK//purL//
BCCP_neg	ung//
BaeR_pos	nrfD//prpC//
BasR_neg	apaH//
BasR_pos	alaC//sgbU//
BetI_neg	metH//cdd//garK//
BirA_neg	upp//dadA//asnB//pfkA//umpH//
BluR_neg	
BolA_neg	napH//yqjH//
