# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	hyaB//trpA//
Ada_neg	dacC//mtlD//
Ada_pos	grxA//hpt//fabD//uxaC//
AdiY_pos	rutB//tdcG//argF//tdcD//
AgaR_neg	hcaB//
AidB_neg	mhpA//
AlaS_neg	fadE//
AllR_neg	speA//pdeL//cysI//rbsD//metH//wrbA//
AllS_pos	yqhD//recB//gadB//
AlsR_neg	srlD//gabT//galT//
AppY_pos	feaB//nanK//
AraC_neg	phnI//adhE//ung//rutB//polB//
AraC_pos	glcD//fumA//hypF//fes//asnA//bcsZ//
ArcA_neg	atoA//yedX//dadX//astA//astE//nrdF//purE//rbsK//citC//gnd//nrdA//fbaA//glpQ//glcF//glxR//treC//rffG//fadA//mazG//bglB//ada//cpdB//tnaA//astE//pgaC//sbcC//tdcE//fucU//mraY//dmsA//ccp//polB//caiD//caiB//paaI//cmoM//dapD//cysM//cysC//pyrD//carB//paaG//idnO//hcaF//rsmH//argA//gapA//speB//eda//preT//hcp//phnI//glpX//phnN//yiaK//araD//rtcA//mltF//xapA//carB//aldA//argF//ascB//aspC//astD//phnJ//gcvT//metA//adhE//
ArcA_pos	asnA//ynfF//acnB//dusB//guaB//gcvT//bioF//ldtC//metE//hcaC//rffH//xylB//glcE//gudD//dmsC//leuC//cdd//astB//fadA//mhpC//murF//dadX//rutA//patZ//deoB//gloA//frdB//glxR//fes//rutA//acs//
ArgP_neg	
ArgP_pos	tauD//hcaB//ilvG_1//tktB//lacA//pheS//feaB//aceE//fabB//
ArgR_neg	cysC//purN//purC//lacZ//allE//rbsK//icd//gadA//fucK//pspE//cysC//lysC//fumB//prpE//leuB//aroF//prmC//aroG//
ArgR_pos	speC//mtlD//lacZ//talA//wzc//
ArsR_neg	ynfH//rutE//
AscG_neg	hycD//purM//
AsnC_neg	phoA//
AsnC_pos	xdhA//
AtoC_pos	icd//puuC//ahpF//
BCCP_neg	mhpF//
BaeR_pos	kbaY//narH//
BasR_neg	patA//
BasR_pos	fucO//narI//
BetI_neg	pflB//patD//nanK//
BirA_neg	fdhF//argH//metK//cdd//bglB//
BluR_neg	
BolA_neg	nirD//moeA//
BolA_pos	phnJ//glgA//
BtsR_pos	rbsK//
CRP_neg	ydcS//citC//trmA//hemL//metA//lhgO//umuC//puuE//trmD//eda//paaG//ilvA//carB//pagP//metL//ychF//cueO//mhpB//trpA//tynA//nirB//narI//gadA//dmsC//mazG//narG//xylA//nanM//hycG//hcp//gloA//ftsI//icd//argH//grxA//recF//edd//edd//allC//hemF//purH//glcE//talA//ynfF//ruvB//hemF//fadA//fadH//pflB//purF//nanK//rutA//araD//paaJ//amiA//atoA//sucC//napG//glpD//glxR//ssuE//pheS//rutB//iscS//hemF//acs//codA//ycjG//hyi//pagP//nrdB//
