# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	psd//ttdB//
Ada_neg	patA//fdhF//
Ada_pos	epd//glxR//nirB//purF//
AdiY_pos	rutE//metL//glgC//citF//
AgaR_neg	pykF//
AidB_neg	lysC//
AlaS_neg	trmA//
AllR_neg	metE//rutC//ndh//rbsD//deoA//phnI//
AllS_pos	gloA//gltX//murE//
AlsR_neg	glpD//argA//eno//
AppY_pos	leuB//gadA//
AraC_neg	dmsC//pykF//cysG//sgbH//kbl//
AraC_pos	sdhB//sbcD//gadA//rbsK//hpt//dkgA//
ArcA_neg	ascB//nrfD//sdhA//frdB//gcvP//mltF//eno//frdB//ulaE//gpsA//purF//napG//mhpE//dacC//kbl//hycB//ilvA//paaF//hcaC//purN//fumB//nadA//fucO//hycE//idnK//argI//prmC//tktB//murD//appA//mnmG//hflX//moeA//gltD//bioF//katE//glxK//waaY//trpD//frc//speC//mdh//grxA//umuD//recB//mdh//rbsK//pdeR//rpiB//xylB//dusB//deoD//accD//hyaB//dgcC//tam//metB//lsrG//bglB//uxaC//hyaB//glk//ilvI//nrfA//hypB//psd//ravA//prs//glpB//
ArcA_pos	tnaA//purH//ilvH//guaA//nanK//astC//frdD//fbaB//dkgA//lacA//gltD//metC//fabI//hcp//hcaD//ygeA//kbl//psd//ruvA//tadA//allC//atoB//ruvA//patZ//ubiA//rffT//eno//fabG//yeaE//paaK//ugpQ//
ArgP_neg	
ArgP_pos	tdh//nadB//recF//phnP//aceE//nirB//lsrK//lyxK//caiC//
ArgR_neg	paaI//caiC//hflX//prpD//glpK//dinB//melA//citG//mdh//umpH//tam//leuA//hpt//glgB//nagA//ttdA//rpiB//pyrC//
ArgR_pos	ascB//phnJ//fadD//umuC//aroA//
ArsR_neg	aspA//argB//
AscG_neg	katG//fabB//
AsnC_neg	phoA//
AsnC_pos	purH//
AtoC_pos	lhgO//ruvB//aceB//
BCCP_neg	purD//
BaeR_pos	puuD//rutD//
BasR_neg	pgaD//
BasR_pos	folA//folE//
BetI_neg	rimK//ubiA//lhgO//
BirA_neg	carA//rbsK//bacA//hyaC//glmU//
BluR_neg	
BolA_neg	tyrB//recB//
BolA_pos	recB//waaY//
BtsR_pos	rhaA//
CRP_neg	purE//rimK//astB//allD//ampD//aldB//moaC//frc//moaC//mhpF//zwf//glpX//gatD//sucB//ybjG//yiaK//gatY//gcvH//glpX//ribA//hycD//cysH//glcE//gapA//relA//murD//prpE//fabD//srkA//glk//glpA//hycF//pdeH//lysU//alaC//glpX//adiA//dinB//uxaB//glyA//trpE//malY//ubiG//mhpE//glmU//recB//tynA//accA//idnD//gpsA//adeD//metA//pgaC//purN//nrdB//ubiC//truB//mpl//metH//sufS//frc//recD//idnD//ttdA//leuC//purN//purB//uvrC//accA//sbcC//entD//
