# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	cysN//appA//
Ada_neg	udp//prpD//
Ada_pos	appA//speB//zwf//ung//
AdiY_pos	frdD//accD//wzb//tdh//
AgaR_neg	mltF//
AidB_neg	mltF//
AlaS_neg	glpQ//
AllR_neg	tdh//ttdB//ilvC//ccp//garD//aroF//
AllS_pos	chiA//nfsA//idnK//
AlsR_neg	yqjH//ugpQ//trpC//
AppY_pos	paaG//ldtB//
AraC_neg	paaK//atoB//hycF//tynA//fadH//
AraC_pos	hyi//mpl//araA//kbaZ//entB//cmoM//
ArcA_neg	mngB//truB//gcvH//dadA//xdhC//speA//ppc//eda//nadB//malZ//entH//glpC//malS//lpxD//galK//aceA//phnH//pyrC//glsA//ilvG_1//glnA//deoD//dadX//araD//aceE//purF//ulaD//purM//allA//nadB//gatY//sbcC//paaI//ung//sdaA//fucU//fumA//citF//asnA//paaB//fabB//fbaB//alkB//nfsA//dkgB//lysC//gatD//accA//nanE//mhpA//metH//pdeR//nanM//tauD//astD//rbsD//cheB//leuD//hycD//aroH//glpC//thrS//paaJ//gnd//accD//fumA//hycC//araA//moaC//
ArcA_pos	wecE//nrfA//ycjG//pdxA//ampC//napH//murC//sdhA//prmC//mpl//mhpA//hycB//metL//ttdA//glpB//murG//nirD//phnG//ynfG//dgkA//nfsA//hcp//glpK//nfsA//moaD//kbaZ//nrdD//entH//aceE//yedX//ubiC//
ArgP_neg	
ArgP_pos	katG//bioC//yiaK//tam//phnJ//nirB//dkgA//ftsI//glgP//
ArgR_neg	prpC//talA//ascB//kbl//ccp//ssuE//apaH//murG//srlD//guaB//sdhC//mnmG//yqhD//malS//queA//fabZ//trpB//sucC//
ArgR_pos	bioA//metF//mltF//lpxA//dapD//
ArsR_neg	fadJ//pgaB//
AscG_neg	epd//fadM//
AsnC_neg	aroA//
AsnC_pos	nrdF//
AtoC_pos	pepD//sgbE//sucA//
BCCP_neg	araA//
BaeR_pos	murF//nrdB//
BasR_neg	sbcD//
BasR_pos	ycjG//dgcZ//
BetI_neg	nrfD//xdhB//pspE//
BirA_neg	moeB//argH//lpxA//glxR//phr//
BluR_neg	
BolA_neg	garD//srlD//
