# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	pdeR//rutB//
Ada_neg	fadD//ada//
Ada_pos	citD//glmS//fucO//astD//
AdiY_pos	caiA//agp//wzc//hycB//
AgaR_neg	accD//
AidB_neg	mhpD//
AlaS_neg	hypB//
AllR_neg	citG//tdh//citE//frdD//nrdB//frc//
AllS_pos	citX//umuD//katE//
AlsR_neg	glyA//preT//polA//
AppY_pos	sgbE//malZ//
AraC_neg	fadA//ccp//wecC//gpmA//gabD//
AraC_pos	glgA//ftnA//avtA//citC//acnB//dgcC//
ArcA_neg	uvrA//purB//malS//rutD//cysI//ddlB//moeA//tauD//gutQ//paaI//dkgB//rhaA//cysC//nrdD//speA//ilvG_1//nadB//ung//cyaA//epd//idnK//dmsC//gudD//aroH//kbl//trmA//treC//sodA//dhaK//gpmM//fadD//fes//ada//glxR//purE//wecB//trmA//preT//ppc//atoD//astE//argE//mhpA//nrdD//prmC//ubiA//feaB//umuD//garD//ubiC//nanA//guaA//adiA//pck//gabD//kbaZ//paaZ//dkgB//patA//pgaC//ilvH//mhpD//serC//idnK//lyxK//edd//trpD//ycjG//leuD//
ArcA_pos	gudD//pheS//dmsB//ldtB//hycD//ddlB//yqjH//phnG//phoA//asnB//glgA//lpxA//cysJ//mnmG//glpE//purM//pyrC//apaH//wecE//moeB//ahpC//cysD//prpD//lacA//hyaC//nirD//phnL//astE//talA//ravA//paaB//
ArgP_neg	
ArgP_pos	ravA//paaA//lpxC//dapB//mhpF//metH//moaA//ndh//nrdB//
ArgR_neg	phnH//hemL//amn//phnH//cysG//sgbU//argH//nrfD//araD//eda//galM//alkA//murG//dgcN//cysJ//purM//glmS//wrbA//
ArgR_pos	puuA//rpiB//purB//fabZ//glpQ//
ArsR_neg	gpsA//allE//
AscG_neg	ldtB//puuA//
AsnC_neg	poxB//
AsnC_pos	gntK//
AtoC_pos	prmC//metL//dadA//
BCCP_neg	bioC//
BaeR_pos	queA//rtcB//
BasR_neg	rffG//
BasR_pos	aspA//glyA//
BetI_neg	ssuE//argF//atoD//
BirA_neg	yqjH//asnB//serC//ynfE//rffG//
BluR_neg	
BolA_neg	ampC//frc//
BolA_pos	cysC//mltF//
BtsR_pos	talA//
