# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	pgm//ubiX//
Ada_neg	yqjH//caiB//
Ada_pos	cysJ//sdhD//narH//ydcS//
AdiY_pos	udp//eda//lldD//xapA//
AgaR_neg	gapA//
AidB_neg	ttdA//
AlaS_neg	speB//
AllR_neg	glpA//sodA//glgA//glxR//accC//purH//
AllS_pos	thrS//hcaF//gltX//
AlsR_neg	waaH//pdeR//ttdB//
AppY_pos	gabD//katE//
AraC_neg	argA//glpB//ychF//tpiA//entB//
AraC_pos	deoD//hcp//aroG//fabD//metF//fadH//
ArcA_neg	gor//nanA//allD//phnL//purK//metE//ilvM//purE//alsE//mraY//uvrC//mngB//sbcD//wrbA//glmU//fumC//tynA//fucU//phnJ//purM//yfdE//ppiA//yeaE//sdhA//cysM//alkB//ttdA//adhE//psd//hyaB//acnB//aldB//malP//tauD//nrfA//pspE//acnB//paaG//cheR//lysU//sodA//purL//sodA//phnJ//trpB//ogt//malP//pgm//dapB//gntK//ldtC//patD//sgbE//carA//mltF//sdaA//apaH//rsmH//trpC//speB//ung//gltX//rutC//alaS//alsE//ulaE//paaZ//malP//sbcD//
ArcA_pos	nanA//preT//fbaA//dgcZ//acnB//xdhB//trpC//rffM//dhaM//lsrG//cysC//sgbH//wecE//dgcN//mhpF//aspC//ynfG//tdh//argF//murQ//araA//hemF//glxR//puuA//pgi//aceF//ilvN//alaA//srkA//phnI//tauD//
ArgP_neg	
ArgP_pos	gor//fabI//ubiA//uxuB//xdhC//ruvA//recB//rnpB//deoC//
ArgR_neg	atoD//fadJ//pfkA//hypF//paaJ//ravA//bioB//citF//adeD//cheB//ycjG//polB//caiB//nanE//nagB//sucB//alkB//hcp//
ArgR_pos	rtcA//sgbH//paaZ//dadA//citD//
ArsR_neg	puuE//phoA//
AscG_neg	purF//murD//
AsnC_neg	paaI//
AsnC_pos	sodB//
AtoC_pos	fadM//allE//gabT//
BCCP_neg	tpiA//
BaeR_pos	accC//rtcB//
BasR_neg	mazG//
BasR_pos	hyaB//rhaA//
BetI_neg	gatY//trpC//dmsA//
BirA_neg	murF//fbaB//pdeH//lpxA//cyaA//
BluR_neg	
BolA_neg	trpE//astE//
BolA_pos	pagP//cysH//
BtsR_pos	caiB//
