# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	wecC//frdC//
Ada_neg	gapA//cueO//
Ada_pos	ilvD//acnA//ssuD//cheB//
AdiY_pos	yedX//hmp//mhpF//ulaF//
AgaR_neg	dacC//
AidB_neg	dgcN//
AlaS_neg	nagA//
AllR_neg	glpX//speB//galM//torA//rffH//pgk//
AllS_pos	ftsI//leuA//amn//
AlsR_neg	paaH//puuA//uxuB//
AppY_pos	sdhB//argD//
AraC_neg	pykF//glgC//acnB//napB//glpE//
AraC_pos	sdhB//dusB//asnB//gcvH//rutE//lsrF//
ArcA_neg	ilvI//gatZ//pdeF//alaA//ulaF//gpmM//lsrG//edd//narG//rutB//glgX//fadA//ubiC//fucO//glsA//ampC//purH//pspE//xylA//ugpQ//hcaC//lysC//garL//bioD//aspC//uvrC//cyoE//ppc//rimK//purK//glgX//cysG//ackA//dinB//atoB//edd//fbaB//glpX//umpH//chbF//uxaB//entB//cpdB//pykF//leuB//preT//recD//gdhA//phnH//ppsA//ilvI//patZ//fucU//fabD//avtA//gdhA//fadD//chiA//ynfH//fumB//polB//galE//fadH//sdhD//yfdE//upp//ruvA//fabH//aceB//
ArcA_pos	yqjH//phr//ilvE//ravA//umuC//ackA//folA//icd//hflX//metB//lpxD//mltF//sufS//garD//ruvB//dkgA//fucI//hycC//chbF//gabD//ogt//treC//cmoM//pfkA//uxaC//trpC//hycG//nadC//xdhC//tauD//ccp//
ArgP_neg	
ArgP_pos	ung//paaC//yeaG//glpK//fabD//araB//ilvI//ilvG_1//metK//
ArgR_neg	trpA//psd//nirD//malP//fbaA//serA//gatD//moaA//phnI//sdhA//nfsB//tdcG//argI//udp//aspC//torC//entF//trpE//
ArgR_pos	glgB//kbaZ//nfsB//serC//ung//
ArsR_neg	nrfC//sdhC//
AscG_neg	pgaB//ansB//
AsnC_neg	metA//
AsnC_pos	rimK//
AtoC_pos	ruvA//hycD//galT//
BCCP_neg	cysN//
BaeR_pos	malQ//pgpC//
BasR_neg	ravA//
BasR_pos	ldtC//rutB//
BetI_neg	citC//ynfH//pdeR//
BirA_neg	pfkA//rffC//nanM//dusB//nrfC//
BluR_neg	
BolA_neg	bioD//agp//
BolA_pos	acnB//aceE//
BtsR_pos	citD//
CRP_neg	carB//dmsC//fadE//asnB//uidA//nadB//glcE//fadE//argA//aspA//gadA//gadB//paaY//galK//glgX//mhpC//ubiC//allB//pgk//dinB//rffH//fadB//dadX//entC//eno//wecE//citG//putA//caiA//fabZ//cynT//wecB//adhE//queA//phoA//pgpC//truB//srkA//cysJ//nanK//cynS//fes//hemH//gdhA//dhaK//wzc//cpdB//mltF//malQ//napG//mraY//allB//sucD//frc//hypB//cdd//preT//lpxD//hcaB//hycF//lysA//cysJ//malS//metK//lsrF//puuA//garR//gcvP//allA//recD//fadD//
