# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	argF//ccp//
Ada	mpaA//ssuD//rbsK//ybjG//
AdiY	eda//malY//glpB//hcaF//
AgaR	argC//
AidB	moaE//
AlaS	ttdA//
AllR	dkgA//hcaD//phr//ubiC//ung//rfe//
AllS	sucC//ilvC//paaH//
AlsR	ycjG//pgm//hcaD//
AppY	gdhA//polA//
AraC	torA//katG//nrdD//ilvG_1//sgbU//bioA//dmsB//mtlD//
ArgP	paaY//rhaA//nrfC//purL//citC//melA//wecB//ssuD//udp//
ArgR	ldtD//ubiA//codA//cadA//lpxD//waaY//mhpE//ada//tehB//metA//yqhD//phnL//garL//napG//cysH//aroG//uxaB//pagP//puuC//metE//glpA//fes//fabA//
ArsR	umuC//torA//
AscG	gadA//avtA//
AsnC	wecC//purE//
AtoC	glpB//glgB//murC//
BCCP	hyi//
BaeR	nadB//gpmA//
BasR	eno//waaY//citG//
BetI	dmsB//oxc//ttdB//
BirA	lpxC//prs//wecE//uxaC//phnH//
BluR	
BolA	purN//metK//
BtsR	gdhA//
CadC	adhE//fadI//frdC//
CaiF	cysK//moeA//ahpF//gatD//ccp//
Cbl	dgcC//tktB//glsA//folA//ppiA//
CdaR	nanM//metB//rpiB//gapA//rsmH//cysM//umuC//phnN//dmsC//
CecR	malQ//
ChbR	xapA//fucK//metK//
ComR	
CpxR	fabA//cysC//astC//aceE//gudD//serC//pgm//murE//gatZ//glgP//codA//astA//cueO//polB//zwf//fadH//ulaF//lsrF//hyaA//glpC//lpxA//
Cra	bioB//glcD//caiC//cysN//ilvD//pflB//nrfC//ampC//glpX//allA//fumC//hycC//metB//hcaE//lacZ//glcE//paaG//argG//ogt//carB//garD//ydcS//lysU//uvrA//glcB//slt//cysC//narG//frdD//bioC//lpxD//tktB//ulaD//polB//allA//glcE//glsA//malQ//ppc//nfsA//lhgO//fucO//hycF//dgcC//hypB//murE//dadX//ychF//lpxD//mltF//ruvA//tktB//ulaE//fadH//deoC//phnN//galT//thrS//uvrC//
CreB	nagB//uvrB//
CsgD	moeA//eno//citE//glsA//hcaE//
CsiR	entF//paaJ//wzb//purA//
CspA	ilvI//
CueR	srkA//ynfG//pyrC//polA//gloA//
CusR	pgaC//mhpC//hycC//adiA//
CynR	argF//nrfD//purE//
CysB	idnD//dsdA//trpE//murG//tyrA//pgi//dapD//metL//dhaM//malP//guaB//tadA//puuD//pgaB//ulaF//mhpC//ampC//
CytR	gabT//ilvM//glgX//glxR//rnpB//folA//citC//nemA//cysH//hyi//
DcuR	dadA//sdaA//lsrK//fabI//
DeoR	tdh//bioB//sucD//dmsB//adiA//dadA//
DhaR	appA//
DicA	
DinJ-YafQ	astE//
DnaA	idnD//mhpF//fucU//pgm//aspC//galM//
DpiA	fumB//malS//ilvD//metH//amn//
DsdC	bioF//argA//
EbgR	
EnvR	accA//dapD//
EnvY	araA//mhpD//
EvgA	gcvH//hypF//ldtB//wzc//bglB//malS//
ExuR	icd//ydcS//ruvA//phnO//yeaG//pspE//
FabR	argC//bioD//murQ//
FadR	sbcC//ilvG_1//fabB//tam//sucB//accD//trpD//metC//nadA//ynfE//ydcS//pfkA//phnP//rpiB//mltF//glcE//oxc//glpX//tktB//
FeaR	malQ//xylA//
FhlA	garR//ilvI//ndh//entH//fumC//astD//citG//glyA//
FlhDC	nrdB//tehB//argH//mhpB//nfsA//ribA//gpmA//betA//tnaA//srlD//glpQ//narG//glpD//glsA//
FliZ	glyA//betA//nrfC//mpl//leuD//
FucR	ynfF//torC//ascB//entF//pdeH//polA//
Fur	folA//yqhD//metB//nrdD//polB//umuC//nanM//glk//ppsA//ilvI//hcaB//ilvA//lpxC//atoA//trpC//glcE//poxB//aroH//moaA//prpE//sdhA//caiB//trpD//rutB//hycE//eno//gpmA//nadB//sucC//yeaE//moeB//ppc//purL//rffG//glcF//ubiX//glgC//purF//acnA//purC//polA//serA//moeB//alkB//caiD//ilvD//lysU//wzc//aroF//caiA//aspA//nirB//ilvM//purH//hycC//ssuD//chbG//malQ//rutC//eno//leuD//hycC//
GadE	atoD//glpK//purC//citG//recD//glcE//folA//eda//gltD//purN//
GadE-RcsB	mhpE//hemH//kbl//fabI//hcaC//
GadW	bioB//aroF//gntK//malQ//
GadX	purK//cadA//cdd//icd//wecC//bacA//ulaE//paaA//rutB//serA//pgaB//ppc//argA//
GalR	serC//pheT//hycG//waaZ//leuA//hycE//
GalS	araD//rffC//fucI//accD//fucO//accA//
GatR	pgi//pfkA//paaZ//
GcvA	recB//nfsA//purL//
GlcC	purF//astE//entF//
GlpR	cysD//gntK//uxuA//purC//icd//rbsD//glmS//
GlrR	
GntR	allD//wecE//fadM//rbsK//citG//serA//dmsB//add//uxaC//
GutM	purN//ribA//grxA//
HU	paaH//leuD//kbaZ//rfe//ubiC//folE//acnB//
HcaR	wrbA//mazG//
HdfR	
HigA	rhaD//
HigB-HigA	aroF//
HipAB	pdeL//pgk//
HipB	ubiA//lhgO//lldD//
HprR	psd//glmS//alkB//ynfH//
HyfR	argD//
HypT	xylA//ilvH//tdh//paaZ//ldtC//katE//caiA//
IclR	astA//paaJ//ribA//
IdnR	nirB//citF//tadA//fabB//pgaB//thrS//
IlvY	yeaE//
IscR	fucA//purD//mhpB//tadA//glk//lyxK//tdcB//ppc//
KdgR	gpmA//prpD//
KdpE	garD//
LacI	entE//deoC//uxaC//
LeuO	tynA//rpiB//moaE//argF//bioD//cdd//
LexA	lldD//purF//katG//ilvH//asnB//prs//rhaD//mltF//phr//kbl//carA//phr//murF//glnA//ahpC//pgaC//phnI//yiaK//aroH//lhgO//tyrB//fadJ//gor//
LldR	rbsD//purB//
LrhA	
Lrp	bioB//prs//dacC//lsrF//gpmM//uxaB//tnaA//glnA//glpB//nanM//phnL//putA//bioC//iscS//paaJ//aroL//narH//ilvC//cueO//sdhD//uxaB//argE//moeA//carB//tadA//atoA//murG//bglB//dgcZ//dsdA//gor//lsrK//ddlB//prpD//lacZ//prpC//nrfD//ulaE//argE//paaJ//
LsrR	chbF//yfdE//argG//frdD//hyi//
LysR	waaZ//
MalI	argA//hcaD//
MalT	aldA//rimK//narI//yiaK//phnG//ugpQ//
MarA	cysI//ulaF//yqjH//accA//caiA//kbaZ//epd//paaY//wecC//xapA//pck//idnO//glpK//lpxD//pdeR//argB//gadB//puuD//puuB//trpC//gatY//serA//kbaY//rtcB//
MarR	
MatA	carA//
MazE	fadB//
MazE-MazF	narG//
McbR	
MelR	caiA//tktB//
MetJ	glyA//glgP//aroL//galK//ruvB//cynS//entF//ynfE//araA//avtA//
MetR	murE//metH//purK//folE//
MhpR	psd//entD//dkgB//ung//narH//phnH//
Mlc	pncB//glk//araB//metF//
MlrA	glgC//
MngR	puuB//atoD//
MntR	gcvT//argF//
ModE	pgaD//purB//mhpD//nrdD//garL//astA//lpxA//alaA//argD//folE//add//mhpE//glpB//trpA//umpH//phnJ//ccp//
MprA	idnD//hcaE//pheT//
MqsA	truB//sgbU//
MraZ	hemH//dinB//alsE//entC//srlD//glpB//argF//pgpC//pfkA//nrdA//
MurR	umuD//rffT//hycD//
Nac	ssuE//fucU//paaH//cyoE//paaI//hycF//gadB//atoD//astC//glmS//pheS//
NadR	ilvG_1//uxaB//moaE//codA//
NagC	serC//lysA//appA//narI//glnA//lpxC//ribA//tpiA//atoB//rutD//thrS//nrfC//gpmA//phnO//nanA//metK//rutE//rutB//rutB//
NanR	fadE//guaA//paaJ//acnA//pflB//rutD//
NarL	arsC//frdD//ppsA//prpD//paaJ//prpB//mhpC//recB//sodA//malQ//pyrD//katE//fes//mpaA//gutQ//entD//garD//citF//aroH//aroL//phnJ//fabA//yqjH//paaB//glcE//wecE//eda//cysI//argB//gor//melA//garR//fabB//mhpF//accC//dmsC//dgcN//nrfD//tdcB//cysN//sdhA//
NarP	rffG//prpB//fucU//dacC//katE//rutE//fumB//nanE//mhpE//fabI//tdcE//sucA//nfsB//fumB//glgX//
NemR	tynA//ascB//
NhaR	leuB//rnpB//zwf//aroF//idnD//
NikR	prpB//
NimR	ssuD//
NorR	recD//
NrdR	torC//argE//argE//glpQ//
NsrR	allA//thrS//yedX//entA//arsC//nanA//dgcN//phnJ//oxc//fucO//entA//rtcA//lpxC//wzb//phnN//pspE//cysE//pgaD//narI//malS//ruvB//yfdE//ung//puuB//argE//pgm//galT//purE//mnmG//ldtB//rutB//gadB//amn//cynT//gcvP//accA//ybjG//phnJ//argH//cynT//
NtrC	waaY//nadB//cysM//zwf//aroG//ybjG//ybjG//leuA//glxK//glgA//ulaF//nrfD//fadA//dapD//hypB//mhpA//frdC//paaE//polB//phnJ//lpd//
OmpR	trpA//glcD//carA//uxuA//dapD//cysM//lhgO//aroH//
OxyR	puuC//ssuE//entD//phnM//glnA//murC//hemL//hycG//cysK//rpiB//rhaB//guaA//purE//cysC//ynfE//metA//tdcB//
PaaX	ilvA//nfsB//tpiA//fadE//mhpE//gadA//uxuA//pheT//uxaA//
PdeL	ftsI//
PdhR	iscS//moeA//pheT//wzc//rtcA//gcl//cysI//rutA//purC//ftsI//betB//yiaK//pncB//malS//uidA//idnO//paaE//lpxD//hycE//gltB//bioC//tauD//rutA//purE//purM//
PepA	ldtC//galK//
PgrR	psd//phnL//
PhoB	katG//nrdD//purL//pgpC//allB//hemL//dinB//nagB//pdeR//mhpA//fbaB//glxR//hycG//aceB//sucC//gatZ//fumC//bacA//ruvB//hycG//
