# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	astC//malP//
Ada	rnpB//hmp//ilvC//cysD//
AdiY	ubiC//sdhC//gadB//sucD//
AgaR	nrfD//
AidB	dadA//
AlaS	entC//
AllR	nemA//wzc//folA//ygeA//sdhB//fabI//
AllS	ppc//dkgA//accA//
AlsR	polB//hemH//poxB//
AppY	atoA//glnA//
AraC	citD//glgP//metB//allB//glpA//trpE//leuD//nadB//
ArgP	allB//ynfF//dadX//rbsK//wrbA//feaB//pgaC//garD//gcvT//
ArgR	mnmG//moaD//yfdE//pgaB//trpC//atoB//aspC//ascB//pheT//gatZ//sucB//fumC//tktB//hyaC//gatD//wzb//rtcA//dhaL//tnaA//rtcB//galM//phnM//luxS//
ArsR	hypB//sdhA//
AscG	metL//nanK//
AsnC	allE//argI//
AtoC	leuB//mngB//dinB//
BCCP	dadA//
BaeR	ada//paaG//
BasR	ulaF//ydcS//fumC//
BetI	bioA//prpB//mnmG//
BirA	rsmH//lsrK//tam//rffM//phnP//
BluR	
BolA	malP//mnmG//
BtsR	pfkA//
CadC	hycD//fadE//ydcS//
CaiF	dmsA//malQ//sufS//phnH//murC//
Cbl	hyaC//speB//sdhD//bacA//udp//
CdaR	rffC//asnA//patD//dmsB//oxc//tpiA//pheS//ilvE//fucI//
CecR	aroG//
ChbR	hemH//ttdA//paaH//
ComR	
CpxR	cysE//hyi//aceA//sucA//hmp//mltF//yedX//ubiC//gabT//argB//ulaG//metH//ydcS//citX//fadD//nanE//mltF//tdcE//galE//allE//paaH//
Cra	uxaC//cueO//leuD//yeaE//paaY//cadA//sucB//phnH//leuA//betB//uxaA//rbsK//hcp//lhgO//hycE//cysC//amn//paaJ//rutB//lhgO//rhaB//betA//nrfA//paaY//glpK//dmsB//araB//bioD//pncB//serC//accA//ubiA//mpl//avtA//fabB//tdcE//yqjH//rhaB//gltB//malP//glgP//moaD//glk//mnmG//waaH//adiA//pspE//bioA//uxaA//hycB//cysG//bacA//alkA//paaK//ilvG_1//rffM//allD//dgcZ//argB//
CreB	hypB//fadI//
CsgD	ribA//tdcG//treC//glgP//xapA//
CsiR	ccp//tam//uxaC//pyrD//
CspA	garK//
CueR	hcaE//adhE//hcaC//araB//nrdE//
CusR	cynS//gadB//sucC//pfkA//
CynR	ugpQ//lpxC//argD//
