# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	feaB//purE//
Ada	glgP//leuD//ruvB//glyA//
AdiY	fbaA//glgP//trpA//moaA//
AgaR	glmU//
AidB	lacZ//
AlaS	ldtC//
AllR	gpmA//aceE//idnK//ulaG//napH//galK//
AllS	tyrB//dmsA//gadB//
AlsR	trpE//rimK//amn//
AppY	araB//bioA//
AraC	mhpE//rhaD//allB//lacZ//fucI//polB//ilvI//ccp//
ArgP	acnA//mazG//lpd//fabH//glxK//codA//srlD//fucA//uxaA//
ArgR	cdd//idnD//sgbE//gatZ//aroG//ynfF//dapB//wecB//gatD//amn//tnaA//glcE//ychF//fruK//truB//gnd//xylB//purC//uvrC//pheT//trpD//tehB//ldtD//
ArsR	atoA//tktB//
AscG	hypF//citX//
AsnC	acnA//trpD//
AtoC	tdcD//gapA//argD//
BCCP	mhpD//
BaeR	paaC//amn//
BasR	murC//lysC//ruvA//
BetI	fau//tynA//murI//
BirA	murE//gutQ//rutA//metB//dgcC//
BluR	
BolA	allC//hyi//
BtsR	araB//
CadC	acnB//recB//glmU//
CaiF	ampC//katE//frdA//ruvB//dadA//
Cbl	hyaC//sgbU//nadB//rutC//sucA//
CdaR	paaF//gcvT//cdd//lyxK//putA//gltD//fdhF//entH//leuB//
CecR	tam//
ChbR	leuD//bioF//moaD//
ComR	
CpxR	katG//gatZ//ssuE//tktB//nadB//aspA//fadD//gudD//idnO//metA//adhE//aspA//ynfG//asnA//ampC//prpE//sdaA//wzb//ppsA//alaC//gcvP//
Cra	rutA//ruvA//lldD//rffH//fadM//uxuA//gabT//rhaB//lsrF//fadM//gcvH//pheS//acnA//hycD//hcaF//hycF//galE//phnG//fadI//uidA//citC//hemL//glxK//kbaY//murI//gloA//trpC//trpB//dadA//glpQ//dkgB//alaC//aldA//bioB//uxaA//hcaE//ynfG//astA//truB//puuD//ada//dmsC//fumC//aceF//lsrG//lysC//talA//appA//udp//metB//aspA//dkgB//pyrC//garD//pyrC//ampC//sucB//allB//aspA//
CreB	astC//rtcA//
CsgD	dmsB//waaZ//ung//uvrA//chbF//
CsiR	puuC//accA//dmsA//trpA//
CspA	tdcG//
CueR	argB//murG//pgaC//pnp//pheS//
CusR	malY//sucC//ybjG//metC//
CynR	cueO//mazG//hycF//
CysB	hmp//astC//metE//speA//lsrG//hypB//idnK//nrdB//luxS//serC//hemH//fabG//paaI//fadM//bglB//dmsC//zwf//
CytR	phnL//pncB//phnP//paaH//wecE//dapD//paaJ//dhaM//mhpA//wrbA//
DcuR	idnD//fabG//glgP//fruK//
DeoR	aceB//dhaM//gntK//polB//polA//nanM//
DhaR	feaB//
DicA	
DinJ-YafQ	pflB//
DnaA	tnaA//nirD//wecB//sucC//glgC//fadD//
DpiA	rutE//tdcG//kbaZ//bioC//trpD//
DsdC	fucO//uidA//
EbgR	
EnvR	ilvE//dsdA//
EnvY	glmS//fadE//
EvgA	gabT//glpQ//galK//fadJ//fabD//caiB//
ExuR	napA//ynfF//paaI//sucD//hypB//asnB//
FabR	nanE//puuD//serC//
FadR	uidA//gadA//katG//trpC//pgi//lpxA//gltD//ilvH//mpaA//mhpA//tdcB//aroL//rutE//phoA//nrdE//napA//dmsA//pheT//pflB//
FeaR	lsrF//nadB//
FhlA	iscS//fumB//glcB//kbaY//caiA//rfe//pyrC//glgX//
FlhDC	patA//uvrC//argE//entA//alsE//tyrA//purA//adiA//grxA//rutE//fdhF//glgX//argD//gatY//
FliZ	fes//ulaF//folE//yqjH//pdeL//
FucR	rffH//phnM//fabH//moaA//metH//lsrK//
Fur	nemA//glyA//hcaF//napG//rutD//srlD//alkA//dinB//glpA//fabD//allB//murE//mhpA//murE//fadI//polA//malZ//betA//paaC//entF//pheS//pgaD//lpxD//sdhB//argG//pfkA//carA//umpH//wecE//pspE//bioC//fadA//hcaC//purB//srkA//accD//puuD//rnpB//frdA//poxB//dmsA//chbG//ttdA//malP//allE//garK//fumC//pagP//hemL//idnO//leuB//gabT//pagP//phnJ//glyA//zwf//ftnA//rpiB//ychF//rhaB//argE//mazG//
GadE	ugpQ//yedX//hemH//trpB//gadB//phnM//eda//malZ//dacC//deoC//
GadE-RcsB	ogt//mngB//alaA//lsrK//galK//
GadW	argF//gcvP//mtlD//alsE//
GadX	fucU//nemA//metA//allC//entB//codA//rutA//metH//pdeL//tyrA//guaA//bioA//phnG//
GalR	mltF//appA//sbcC//moaE//prs//narH//
GalS	uidA//rbsD//asnA//napH//xylB//ilvC//
GatR	pgi//rsmH//frc//
GcvA	dapB//glcF//fadA//
GlcC	bglB//gabD//cyoE//
GlpR	thrS//garR//ilvH//rbsD//ppiA//nrfA//moaA//
GlrR	
GntR	fucO//citE//amn//glpB//rffT//argA//glpC//tam//fabI//
GutM	moaE//umuC//nanE//
HU	garL//lacA//tadA//tdcB//moaA//fadA//entC//
HcaR	purA//allB//
HdfR	
HigA	yqjH//
HigB-HigA	sodA//
HipAB	folE//murQ//
HipB	prpC//tpiA//nadB//
HprR	sdhB//oxc//amn//nirB//
HyfR	pheS//
HypT	rsmH//ssuE//gutQ//deoA//ftsI//tdcB//pgk//
IclR	paaC//chbG//paaH//
IdnR	dhaK//tadA//ada//hycF//hycD//rpiB//
IlvY	dgcN//
IscR	ttdB//aldA//ynfF//trpC//hyaA//citE//sodA//paaH//
KdgR	glmU//srkA//
KdpE	sucD//
LacI	dmsC//ung//ygeA//
LeuO	mraY//mhpD//gudD//ahpC//lsrF//nirD//
LexA	ilvE//ilvE//aroH//recB//glgA//malZ//mhpC//katG//glgX//galT//paaJ//xylB//citX//pepD//nirB//hcaB//ydcS//ybjG//leuC//ubiA//glpQ//pfkA//yeaE//
LldR	pgm//aceE//
LrhA	
Lrp	ftsI//lsrG//hcaE//hcp//purK//sbcD//garD//dkgA//lpxA//hycF//malS//glcD//hcaF//pncB//frc//fbaB//cysI//hcp//uxuA//sucA//gcvH//leuB//lpxC//malQ//lpd//ilvI//deoC//purK//purC//accD//rbsD//ung//glxR//pgk//katG//entA//ascB//hcaF//phnI//puuB//
LsrR	polA//citG//gnd//alaA//rimK//
LysR	udp//
MalI	srlD//aceA//
MalT	alaS//allB//entE//mhpA//pgaC//napG//
MarA	frdB//alaS//ssuD//metE//patA//fbaA//alaS//glgC//appA//ldtD//caiC//dhaM//mhpB//ulaE//purH//uvrB//aroA//phnN//leuB//murI//dapB//glmS//ubiA//cysN//
MarR	
MatA	tktB//
MazE	glgP//
MazE-MazF	gabD//
McbR	
MelR	allC//psd//
MetJ	gltD//ung//dgcC//hcaE//tadA//ssuE//putA//hypF//yedX//pspE//
MetR	umpH//prs//mazG//rsmH//
MhpR	ada//mhpA//mraY//yqhD//carA//pdeL//
Mlc	puuE//udp//dhaL//phnI//
MlrA	sgbU//
MngR	metE//garD//
MntR	chbF//prpD//
ModE	ldtB//garR//feaB//mhpD//fadE//phoA//paaY//ulaG//katE//metL//gpmM//patA//torC//puuE//appA//hemH//fadD//
MprA	folE//aroG//frc//
MqsA	purL//aroL//
MraZ	mtlD//uvrB//astD//uxaC//idnK//puuA//hycD//ybjG//allB//glgP//
MurR	murC//pdeH//leuC//
Nac	pfkA//gltD//malS//hycC//glcE//yqhD//serA//fabI//ttdB//treC//dmsC//
NadR	patA//bioD//pgm//glcF//
NagC	purK//sucA//rpiB//pdeL//galK//argE//dapD//idnO//metH//malP//uvrB//aceF//paaB//ldtC//srkA//metA//mpaA//paaK//ccp//
NanR	glmS//nanE//nrfD//cueO//narH//moaD//
